city,FAIL,PASS,WARN,overall
Avdiivka,38,135,5,FAIL
Borodyanka,59,46,0,FAIL
Bucha,82,111,2,FAIL
Chernihiv,77,94,10,FAIL
Chornobaivka,80,118,6,FAIL
Dmytrivka,82,107,3,FAIL
Hostomel,82,116,3,FAIL
Irpin,78,113,3,FAIL
Kharkiv,75,106,0,FAIL
Kherson,81,120,2,FAIL
Kramatorsk,77,133,6,FAIL
Lysychansk,79,103,3,FAIL
Makariv,91,73,2,FAIL
Mariupol,85,118,4,FAIL
Moschun,84,114,2,FAIL
Mykolaiv,66,13,56,FAIL
Okhtyrka,81,118,2,FAIL
Rubizhne,72,113,2,FAIL
Sievierodonetsk,83,113,1,FAIL
Trostianets,91,76,38,FAIL
Volnovakha,80,108,2,FAIL
