city,modality,product_type,check_name,status,detail,filepath,val_min,val_max,val_mean,val_std,pct_nodata,crs_epsg,width_px,height_px
Avdiivka,MASK,building_labels,OK,PASS,,/mnt/f/PROJECTS/masterthesis/data_stack/Avdiivka/building_labels.tif,1.0,13360.0,6669.39092920354,4158.541301624222,94.8272705078125,32637.0,1024.0,1024.0
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20220702.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20241009.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20220508.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20230930.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20201209.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20221005.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20230727.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20231015.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20220831.tif,,,,,,,,
Avdiivka,MS,cloud_mask,OK,PASS,unchecked type=cloud_mask,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__cloud_mask__20221114.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__mndwi.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__mndwi.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__b8a.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__b8a.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__landuse.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__landuse.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__mndwi.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__mndwi.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__b8a.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__b8a.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__b08.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__composite__b08.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/post_winter_baseline/s2__composite__ndbi.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/post_winter_baseline/s2__composite__ndbi.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__b05.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__b05.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/post_winter_baseline/s2__composite__b07.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/post_winter_baseline/s2__composite__b07.tif,,,,,,,,
Avdiivka,MS,composite,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__cire.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__composite__cire.tif,,,,,,,,
Avdiivka,MASK,damage_mask,OK,PASS,,/mnt/f/PROJECTS/masterthesis/data_stack/Avdiivka/damage_mask.tif,-1.0,1.0,-0.029830383480825957,0.3214818209490825,94.8272705078125,32637.0,1024.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20220702.tif,0.0,9.0,0.03847332632797271,0.5355787956053709,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20241009.tif,0.0,9.0,0.04526548032407408,0.5731079471622123,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20220508.tif,0.0,9.0,0.04297255726120858,0.5645385842862902,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20230930.tif,0.0,9.0,0.016855697185672515,0.3598672925641795,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20201209.tif,0.0,9.0,0.05770856176900585,0.6808327430211494,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20221005.tif,0.0,9.0,0.01851471125730994,0.36487020334188236,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20230727.tif,0.0,9.0,0.03326308936403509,0.49812574637167495,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20231015.tif,0.0,9.0,0.02365070662768031,0.41967155607980416,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20220831.tif,0.0,9.0,0.026928758528265106,0.45868637092411396,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,fire_visibility,OK,PASS,unchecked type=fire_visibility,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/s2__visibility__20221114.tif,0.0,9.0,0.024309362816764133,0.4407136423494648,0.0,32637.0,1026.0,1024.0
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220702.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220702.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20241009.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20241009.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220508.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220508.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20230930.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20230930.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20201209.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20201209.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20221005.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20221005.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20230727.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20230727.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20231015.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20231015.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220831.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20220831.tif,,,,,,,,
Avdiivka,MS,nbr,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20221114.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/nbr/s2__nbr__20221114.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/crossbattle/s2__qa__cloud_freq.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/post_winter_baseline/s2__obs_count.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/postbattle/s2__qa__cloud_freq.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle/s2__qa__cloud_freq.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/prebattle_baseline/s2__obs_count.tif,,,,,,,,
Avdiivka,MS,qa_layer,OK,PASS,unchecked type=qa_layer,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/composites/winter_baseline/s2__obs_count.tif,,,,,,,,
Avdiivka,MS,rgb,OK,PASS,unchecked type=rgb,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/rgb/s2__rgb__20220702.tif,,,,,,,,
Avdiivka,MS,rgb,OK,PASS,unchecked type=rgb,/content/drive_f/masterthesis/data/satellite/MS/Avdiivka/rgb/s2__rgb__20241009.tif,,,,,,,,
