city,modality,product_type,check_name,status,detail,filepath,val_min,val_max,val_mean,val_std,pct_nodata,pct_nodata_leak,crs_epsg,width_px,height_px
Chernihiv,CARD,flat,NODATA_LEAK,FAIL,30.1% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Chernihiv/s1__vh__o138__20211207.tif,-100.00000762939453,13.074258804321289,-42.275271438705445,39.295840456208424,4.608903519377953,30.075712032246305,4326.0,1463.0,913.0
Chernihiv,CARD,flat,NODATA_LEAK,FAIL,30.1% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Chernihiv/s1__vh__o138__20211219.tif,-100.00000762939453,15.375484466552734,-41.51742360169232,39.819214008741426,4.608903519377953,30.098920506483775,4326.0,1463.0,913.0
Chernihiv,CARD,flat,NODATA_LEAK,FAIL,30.1% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Chernihiv/s1__vv__o138__20211207.tif,-100.00000762939453,24.636144638061523,-37.32473205339398,42.62034965739195,4.608903519377953,30.075712032246305,4326.0,1463.0,913.0
Chernihiv,CARD,flat,NODATA_LEAK,FAIL,30.1% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Chernihiv/s1__vv__o138__20211219.tif,-100.00000762939453,22.74173355102539,-37.02322831540947,42.88503147068222,4.608903519377953,30.098920506483775,4326.0,1463.0,913.0
Chornobaivka,CARD,flat,NODATA_LEAK,FAIL,98.9% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Chornobaivka/s1__vh__o138__20211207.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,1.1346096980242613,98.86539030197574,4326.0,1303.0,898.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20211223.tif,-100.00000762939453,13.066195487976074,-20.69146902160698,8.14602371145594,7.739795918367347,0.7945011337868481,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220104.tif,-100.00000762939453,12.864076614379883,-16.229283723809655,8.49571284529654,7.739795918367347,0.8239795918367347,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220116.tif,-100.00000762939453,12.849609375,-19.24404460830667,8.573101930834257,7.739795918367347,0.8022959183673469,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220128.tif,-100.00000762939453,12.256021499633789,-19.732295244850604,8.320249250364517,7.739795918367347,0.7577947845804989,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.7% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220209.tif,-100.00000762939453,12.931024551391602,-18.84093169466882,8.24770156378237,7.739795918367347,0.7429138321995464,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220305.tif,-100.00000762939453,13.21760368347168,-20.15653755993439,8.577110161695195,7.739795918367347,0.8344671201814059,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220317.tif,-100.00000762939453,12.7537841796875,-21.81769853390715,8.243170273512252,7.739795918367347,0.8204365079365079,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220410.tif,-100.00000762939453,12.972260475158691,-17.783618627009876,8.540801837677279,7.739795918367347,0.7950680272108843,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vh__o109__20220422.tif,-100.00000762939453,13.034926414489746,-16.314443989550735,8.499726079541988,7.739795918367347,0.7950680272108843,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20211223.tif,-100.00000762939453,19.058574676513672,-11.598649918092455,8.845037826971996,7.739795918367347,0.7945011337868481,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220104.tif,-100.00000762939453,22.04131317138672,-8.902487258965678,9.33563454978102,7.739795918367347,0.8239795918367347,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220116.tif,-100.00000762939453,18.2187557220459,-10.969196388578654,8.876495780898455,7.739795918367347,0.8022959183673469,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220128.tif,-100.00000762939453,18.21814727783203,-12.280964239943051,8.507077760365078,7.739795918367347,0.7577947845804989,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.7% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220209.tif,-100.00000762939453,18.208696365356445,-11.213736401603295,8.417708597846472,7.739795918367347,0.7429138321995464,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220305.tif,-100.00000762939453,20.814273834228516,-11.75528913326337,9.027276557110982,7.739795918367347,0.8344671201814059,4326.0,1200.0,588.0
