city,modality,product_type,check_name,status,detail,filepath
Avdiivka,CARD,flat,plan_gap,WARN,CARD: 1/66 not yet downloaded (expected gap),
Avdiivka,MS,flat,plan_gap,PASS,MS: 28/28 complete,
Bakhmut,CARD,flat,plan_gap,WARN,CARD: 2/38 not yet downloaded (expected gap),
Bakhmut,MS,flat,plan_gap,PASS,MS: 21/21 complete,
Balakliia,CARD,flat,plan_gap,PASS,CARD: 23/23 complete,
Balakliia,MS,flat,plan_gap,PASS,MS: 37/37 complete,
Borodyanka,CARD,flat,plan_gap,PASS,CARD: 10/10 complete,
Bucha,CARD,flat,plan_gap,PASS,CARD: 9/9 complete,
Bucha,MS,flat,plan_gap,PASS,MS: 14/14 complete,
Chasiv Yar,CARD,flat,plan_gap,FAIL,CARD: 2 TIFs missing on disk but plan says on_disk/extracted,
Chasiv Yar,MS,flat,plan_gap,PASS,MS: 37/37 complete,
Chernihiv,CARD,flat,plan_gap,PASS,CARD: 10/10 complete,
Chernihiv,MS,flat,plan_gap,PASS,MS: 17/17 complete,
Chornobaivka,CARD,flat,plan_gap,FAIL,CARD: 1 TIFs missing on disk but plan says on_disk/extracted,
Chornobaivka,MS,flat,plan_gap,PASS,MS: 19/19 complete,
Chuhuiv,CARD,flat,plan_gap,FAIL,CARD: 1 TIFs missing on disk but plan says on_disk/extracted,
Chuhuiv,MS,flat,plan_gap,PASS,MS: 20/20 complete,
Dmytrivka,CARD,flat,plan_gap,PASS,CARD: 9/9 complete,
Dmytrivka,MS,flat,plan_gap,PASS,MS: 11/11 complete,
Dnipro,CARD,flat,plan_gap,WARN,CARD: 129/129 not yet downloaded (expected gap),
Dnipro,MS,flat,plan_gap,PASS,MS: 63/63 complete,
Hirske,CARD,flat,plan_gap,PASS,CARD: 10/10 complete,
Hirske,MS,flat,plan_gap,PASS,MS: 7/7 complete,
Hostomel,CARD,flat,plan_gap,PASS,CARD: 10/10 complete,
Hostomel,MS,flat,plan_gap,PASS,MS: 15/15 complete,
Huliaipole,CARD,flat,plan_gap,WARN,CARD: 7/129 not yet downloaded (expected gap),
Huliaipole,MS,flat,plan_gap,PASS,MS: 89/89 complete,
Irpin,CARD,flat,plan_gap,PASS,CARD: 10/10 complete,
Irpin,MS,flat,plan_gap,PASS,MS: 14/14 complete,
