feature,H_statistic,p_value,significant,n_groups
s2__composite__b08__post_winter_baseline_std,91.96107719252251,8.304161095720556e-20,True,4
s2__composite__b04__post_winter_baseline_std,86.97535336987937,9.77439886463957e-19,True,4
s2__composite__b02__post_winter_baseline_std,84.61659458284292,3.136550217265415e-18,True,4
s2__composite__b03__post_winter_baseline_std,84.19322439380328,3.866532356790045e-18,True,4
s2__composite__b07__post_winter_baseline_std,84.12214680193888,4.004762493874173e-18,True,4
s2__composite__ndbi__post_winter_baseline_std,83.77015819828537,4.765632710283916e-18,True,4
s2__composite__b8a__post_winter_baseline_std,83.36631240518102,5.818210798018597e-18,True,4
s2__composite__ndwi__post_winter_baseline_max,78.53672492620899,6.32224338621853e-17,True,4
s2__composite__b05__post_winter_baseline_std,75.66613673002857,2.6081223051985765e-16,True,4
s2__composite__ndwi__winter_baseline_max,74.3014292538092,5.114693909866632e-16,True,4
s2__composite__ndwi__prebattle_baseline_max,74.3014292538092,5.114693909866632e-16,True,4
s2__composite__mndwi__post_winter_baseline_std,73.83203300308347,6.447737016876099e-16,True,4
s2__composite__b12__post_winter_baseline_std,72.58045699702932,1.1955521669011994e-15,True,4
s2__composite__b02__post_winter_baseline_max,69.1432555850178,6.511753652064964e-15,True,4
s2__composite__b11__prebattle_baseline_std,68.13001322455708,1.0730121443541962e-14,True,4
s2__composite__b11__winter_baseline_std,68.13001322455708,1.0730121443541962e-14,True,4
s2__composite__b04__post_winter_baseline_max,67.94807493020963,1.1736746860953052e-14,True,4
s2__composite__b03__post_winter_baseline_max,67.54089578033388,1.43448933176218e-14,True,4
s2__composite__b05__winter_baseline_std,66.66648063062149,2.207116758112559e-14,True,4
s2__composite__b05__prebattle_baseline_std,66.66648063062149,2.207116758112559e-14,True,4
s2__composite__b07__prebattle_baseline_std,66.43525772658806,2.47344343823303e-14,True,4
s2__composite__b07__winter_baseline_std,66.43525772658806,2.47344343823303e-14,True,4
s2__composite__b8a__winter_baseline_std,65.98962090562449,3.080715263164834e-14,True,4
s2__composite__b8a__prebattle_baseline_std,65.98962090562449,3.080715263164834e-14,True,4
s2__composite__b11__post_winter_baseline_std,65.12273953914116,4.721769816537502e-14,True,4
s2__composite__b08__post_winter_baseline_max,64.62675433060868,6.028307982474208e-14,True,4
s2__composite__mndwi__post_winter_baseline_max,63.659793987938244,9.704926248662176e-14,True,4
s2__composite__b12__winter_baseline_std,58.61228774638182,1.1632324443638992e-12,True,4
s2__composite__b12__prebattle_baseline_std,58.61228774638182,1.1632324443638992e-12,True,4
s2__composite__ndwi__post_winter_baseline_mean,57.884921773659926,1.6633706933460012e-12,True,4
s2__composite__ndvi__post_winter_baseline_mean,54.38232847112298,9.299784293085902e-12,True,4
s2__composite__b05__post_winter_baseline_max,54.22946897694214,1.002480712503177e-11,True,4
s2__composite__ndbi__prebattle_baseline_max,53.61737600390894,1.3539796413996104e-11,True,4
s2__composite__ndbi__winter_baseline_max,53.61737600390894,1.3539796413996104e-11,True,4
s2__composite__b07__post_winter_baseline_max,53.512329630428326,1.4256466247192271e-11,True,4
s2__composite__ndbi__prebattle_baseline_std,53.023909882921494,1.8119686991484856e-11,True,4
s2__composite__ndbi__winter_baseline_std,53.023909882921494,1.8119686991484856e-11,True,4
s2__composite__ndre__post_winter_baseline_mean,51.86148764617716,3.2057373964215856e-11,True,4
s2__composite__ndwi__winter_baseline_mean,50.13946221775873,7.461056669408704e-11,True,4
s2__composite__ndwi__prebattle_baseline_mean,50.13946221775873,7.461056669408704e-11,True,4
s2__composite__b8a__post_winter_baseline_max,48.84306012202847,1.408766864996739e-10,True,4
s2__composite__ndvi__winter_baseline_mean,47.030230991223966,3.424523134818031e-10,True,4
