feature,H_statistic,p_value,significant,n_groups
s2__composite__b03__post_winter_baseline_std,62.58341466908314,1.6486716097920394e-13,True,4
s2__composite__b05__post_winter_baseline_std,60.263939271869226,5.162449942180125e-13,True,4
s2__composite__b02__post_winter_baseline_max,57.31675038376512,2.199351853793267e-12,True,4
s2__composite__b02__post_winter_baseline_std,57.097123321384856,2.4500795231447697e-12,True,4
s2__composite__b04__post_winter_baseline_std,53.98175858958698,1.1321562016829782e-11,True,4
s2__composite__b12__post_winter_baseline_std,53.33451613212941,1.5557023237822045e-11,True,4
s2__composite__mndwi__post_winter_baseline_std,53.01262856541564,1.8220313483542527e-11,True,4
s2__composite__b11__post_winter_baseline_std,52.60641651096198,2.2240947867710423e-11,True,4
s2__composite__ndbi__post_winter_baseline_max,52.102600620775526,2.8480096601316134e-11,True,4
s2__composite__b03__post_winter_baseline_max,50.045839299769504,7.811595710964929e-11,True,4
s2__composite__b12__prebattle_baseline_std,47.60401620502543,2.585429186773679e-10,True,4
s2__composite__b12__winter_baseline_std,47.60401620502543,2.585429186773679e-10,True,4
s2__composite__b05__winter_baseline_std,47.583665510972274,2.6113348809080076e-10,True,4
s2__composite__b05__prebattle_baseline_std,47.583665510972274,2.6113348809080076e-10,True,4
s2__composite__b07__prebattle_baseline_std,45.742156770708945,6.434521260250058e-10,True,4
s2__composite__b07__winter_baseline_std,45.742156770708945,6.434521260250058e-10,True,4
s2__composite__b07__post_winter_baseline_std,45.11403462073599,8.750501536164803e-10,True,4
s2__composite__b11__prebattle_baseline_std,44.600171635078944,1.1252096157609002e-09,True,4
s2__composite__b11__winter_baseline_std,44.600171635078944,1.1252096157609002e-09,True,4
s2__composite__b04__post_winter_baseline_max,44.537274300846455,1.1603736957762348e-09,True,4
s2__composite__b8a__prebattle_baseline_std,40.543532721208955,8.171947582812441e-09,True,4
s2__composite__b8a__winter_baseline_std,40.543532721208955,8.171947582812441e-09,True,4
s2__composite__b08__post_winter_baseline_std,39.650141649641824,1.263890813043388e-08,True,4
s2__composite__ndwi__post_winter_baseline_max,37.892255617983935,2.9788946107951456e-08,True,4
s2__composite__b8a__post_winter_baseline_std,37.79529923618121,3.123057042568741e-08,True,4
s2__composite__ndre__post_winter_baseline_std,33.69421995510953,2.2986345057685066e-07,True,4
s2__composite__b05__post_winter_baseline_max,31.026358789770352,8.392539950456314e-07,True,4
s2__composite__b02__post_winter_baseline_mean,30.983400111000996,8.569168042581659e-07,True,4
s2__composite__ndbi__post_winter_baseline_std,30.978631751568226,8.58900087958492e-07,True,4
s2__composite__ndbi__prebattle_baseline_std,30.864093022515885,9.079410130997589e-07,True,4
s2__composite__ndbi__winter_baseline_std,30.864093022515885,9.079410130997589e-07,True,4
s2__composite__b08__winter_baseline_std,30.290284893729186,1.199021383908164e-06,True,4
s2__composite__b08__prebattle_baseline_std,30.290284893729186,1.199021383908164e-06,True,4
s2__composite__b04__prebattle_baseline_std,28.616356514408018,2.6960942860055986e-06,True,4
s2__composite__b04__winter_baseline_std,28.616356514408018,2.6960942860055986e-06,True,4
s2__composite__b03__winter_baseline_std,27.566427788200965,4.4784885258045265e-06,True,4
s2__composite__b03__prebattle_baseline_std,27.566427788200965,4.4784885258045265e-06,True,4
s2__composite__mndwi__post_winter_baseline_max,25.082752132210324,1.4837409736361128e-05,True,4
s2__composite__b12__post_winter_baseline_max,24.69273979183523,1.7901540950729788e-05,True,4
s2__composite__mndwi__winter_baseline_std,24.179894727903477,2.2910242409275788e-05,True,4
s2__composite__mndwi__prebattle_baseline_std,24.179894727903477,2.2910242409275788e-05,True,4
s2__composite__b08__prebattle_baseline_max,23.635820260271476,2.9757828841959438e-05,True,4
s2__composite__b08__winter_baseline_max,23.635820260271476,2.9757828841959438e-05,True,4
s2__composite__b04__winter_baseline_max,23.362439573981337,3.393364364723005e-05,True,4
s2__composite__b04__prebattle_baseline_max,23.362439573981337,3.393364364723005e-05,True,4
s2__composite__b02__prebattle_baseline_std,23.18896172336737,3.6881290769061045e-05,True,4
s2__composite__b02__winter_baseline_std,23.18896172336737,3.6881290769061045e-05,True,4
s2__composite__b05__winter_baseline_max,22.894541239390644,4.247938727977779e-05,True,4
s2__composite__b05__prebattle_baseline_max,22.894541239390644,4.247938727977779e-05,True,4
s2__composite__ndwi__post_winter_baseline_mean,22.542679311377263,5.0290254583099855e-05,True,4
s2__composite__b07__prebattle_baseline_max,22.146074187832863,6.082148269745525e-05,True,4
s2__composite__b07__winter_baseline_max,22.146074187832863,6.082148269745525e-05,True,4
s2__composite__b03__winter_baseline_max,22.02801433760467,6.43614364342949e-05,True,4
s2__composite__b03__prebattle_baseline_max,22.02801433760467,6.43614364342949e-05,True,4
s2__composite__b11__post_winter_baseline_max,21.925292784281737,6.760801584289359e-05,True,4
s2__composite__ndwi__post_winter_baseline_std,21.39274488226575,8.724401986575876e-05,True,4
s2__composite__b8a__winter_baseline_max,21.30380669857258,9.103710761521652e-05,True,4
s2__composite__b8a__prebattle_baseline_max,21.30380669857258,9.103710761521652e-05,True,4
s2__composite__ndwi__prebattle_baseline_max,21.081536847575723,0.00010125015073258758,True,4
s2__composite__ndwi__winter_baseline_max,21.081536847575723,0.00010125015073258758,True,4
s2__composite__cire__post_winter_baseline_mean,21.057923393750116,0.00010240007060728615,True,4
s2__composite__ndre__post_winter_baseline_mean,20.7151634128012,0.00012063304223342197,True,4
s2__composite__b08__post_winter_baseline_max,20.57253827495421,0.00012914107465255968,True,4
s2__composite__ndvi__post_winter_baseline_mean,20.507598876245535,0.00013321035141329997,True,4
s2__composite__mndwi__winter_baseline_max,20.248273369931045,0.00015077325822220676,True,4
s2__composite__mndwi__prebattle_baseline_max,20.248273369931045,0.00015077325822220676,True,4
s2__composite__b02__prebattle_baseline_max,17.884034851268847,0.00046474782561204726,True,4
s2__composite__b02__winter_baseline_max,17.884034851268847,0.00046474782561204726,True,4
s2__composite__cire__post_winter_baseline_std,17.445833823920037,0.0005721504707495545,True,4
s2__composite__b03__post_winter_baseline_mean,17.422877086321932,0.000578412327122056,True,4
s2__composite__b07__post_winter_baseline_max,16.40969648486427,0.0009344492285464956,True,4
s2__composite__b05__post_winter_baseline_mean,16.25449835332113,0.0010055612214365578,True,4
s2__composite__ndbi__post_winter_baseline_mean,15.596365001168396,0.0013718387394174262,True,4
s2__composite__cire__winter_baseline_std,14.977635707207604,0.001835860871768091,True,4
s2__composite__cire__prebattle_baseline_std,14.977635707207604,0.001835860871768091,True,4
s2__composite__b04__post_winter_baseline_mean,13.554430354630894,0.0035788811708632722,True,4
s2__composite__b8a__post_winter_baseline_max,13.263359919156755,0.0041003447690824224,True,4
s2__composite__ndvi__prebattle_baseline_mean,13.165245714952631,0.004292543886342608,True,4
s2__composite__ndvi__winter_baseline_mean,13.165245714952631,0.004292543886342608,True,4
s2__composite__ndre__prebattle_baseline_mean,12.125124008149196,0.006966601018566533,True,4
s2__composite__ndre__winter_baseline_mean,12.125124008149196,0.006966601018566533,True,4
s2__composite__b12__prebattle_baseline_max,12.11057969652165,0.007013802839487837,True,4
s2__composite__b12__winter_baseline_max,12.11057969652165,0.007013802839487837,True,4
s2__composite__b12__post_winter_baseline_mean,11.24234019260491,0.010485094723721753,True,4
s2__composite__b11__post_winter_baseline_mean,11.220316986351644,0.010592285137955678,True,4
s2__composite__ndwi__winter_baseline_mean,11.188644527874336,0.010748337130397924,True,4
s2__composite__ndwi__prebattle_baseline_mean,11.188644527874336,0.010748337130397924,True,4
s2__composite__b11__winter_baseline_max,10.947934823398752,0.012010769002817737,True,4
s2__composite__b11__prebattle_baseline_max,10.947934823398752,0.012010769002817737,True,4
s2__composite__b07__post_winter_baseline_mean,10.606167136838591,0.014057731330926764,True,4
s2__composite__b08__post_winter_baseline_mean,10.289572424922639,0.016258446890928778,True,4
s2__composite__mndwi__post_winter_baseline_mean,10.064198785438828,0.018028231394205077,True,4
s2__composite__cire__winter_baseline_mean,9.668286965272378,0.021606845865301316,True,4
s2__composite__cire__prebattle_baseline_mean,9.668286965272378,0.021606845865301316,True,4
s2__composite__b8a__post_winter_baseline_mean,9.650009656633753,0.021787911280609112,True,4
s2__composite__ndre__post_winter_baseline_max,9.390369017577074,0.024526710434427786,True,4
s2__composite__b08__winter_baseline_mean,8.4887983949137,0.03691941847736782,True,4
s2__composite__b08__prebattle_baseline_mean,8.4887983949137,0.03691941847736782,True,4
s2__composite__ndwi__winter_baseline_std,8.26301772868928,0.04087745395773962,True,4
s2__composite__ndwi__prebattle_baseline_std,8.26301772868928,0.04087745395773962,True,4
s2__composite__b04__winter_baseline_mean,7.847417239163261,0.0492726649672226,True,4
s2__composite__b04__prebattle_baseline_mean,7.847417239163261,0.0492726649672226,True,4
s2__composite__b11__prebattle_baseline_mean,7.793692921776188,0.05047353859548877,False,4
s2__composite__b11__winter_baseline_mean,7.793692921776188,0.05047353859548877,False,4
s2__composite__ndre__winter_baseline_std,7.785242817363617,0.050664992758710455,False,4
s2__composite__ndre__prebattle_baseline_std,7.785242817363617,0.050664992758710455,False,4
s2__composite__b03__prebattle_baseline_mean,7.7137617932928295,0.052313046834209447,False,4
s2__composite__b03__winter_baseline_mean,7.7137617932928295,0.052313046834209447,False,4
s2__composite__ndbi__prebattle_baseline_max,7.321180029691779,0.06233557337364377,False,4
s2__composite__ndbi__winter_baseline_max,7.321180029691779,0.06233557337364377,False,4
s2__composite__mndwi__prebattle_baseline_mean,7.160832744692222,0.06694438065407955,False,4
s2__composite__mndwi__winter_baseline_mean,7.160832744692222,0.06694438065407955,False,4
s2__composite__cire__post_winter_baseline_max,7.054428078657556,0.07018305003725661,False,4
s2__composite__b02__prebattle_baseline_mean,6.87890421649639,0.0758593179235773,False,4
s2__composite__b02__winter_baseline_mean,6.87890421649639,0.0758593179235773,False,4
s2__composite__ndvi__post_winter_baseline_std,6.874764119963741,0.07599841861744396,False,4
s2__composite__ndvi__post_winter_baseline_max,6.521371434491778,0.08882346711336532,False,4
s2__composite__b05__winter_baseline_mean,6.44214316111733,0.0919723744797157,False,4
s2__composite__b05__prebattle_baseline_mean,6.44214316111733,0.0919723744797157,False,4
s2__composite__b07__prebattle_baseline_mean,6.068348213296407,0.10833187417060182,False,4
s2__composite__b07__winter_baseline_mean,6.068348213296407,0.10833187417060182,False,4
s2__composite__b8a__winter_baseline_mean,5.760279706118848,0.12387378480396613,False,4
s2__composite__b8a__prebattle_baseline_mean,5.760279706118848,0.12387378480396613,False,4
s2__composite__b12__prebattle_baseline_mean,5.575291817813781,0.13420404798318228,False,4
s2__composite__b12__winter_baseline_mean,5.575291817813781,0.13420404798318228,False,4
s2__composite__ndre__prebattle_baseline_max,4.948775967146025,0.1755866769435177,False,4
s2__composite__ndre__winter_baseline_max,4.948775967146025,0.1755866769435177,False,4
s2__composite__ndbi__winter_baseline_mean,4.496910110434914,0.21256606410078466,False,4
s2__composite__ndbi__prebattle_baseline_mean,4.496910110434914,0.21256606410078466,False,4
s2__composite__ndvi__prebattle_baseline_max,2.9899316312564603,0.39318012706727845,False,4
s2__composite__ndvi__winter_baseline_max,2.9899316312564603,0.39318012706727845,False,4
s2__composite__ndvi__winter_baseline_std,2.5967453857377794,0.45806040850854635,False,4
s2__composite__ndvi__prebattle_baseline_std,2.5967453857377794,0.45806040850854635,False,4
s2__composite__cire__prebattle_baseline_max,1.7795002178816564,0.6194060461951569,False,4
s2__composite__cire__winter_baseline_max,1.7795002178816564,0.6194060461951569,False,4
