feature,H_statistic,p_value,significant,n_groups
s2__composite__b11__prebattle_baseline_std,64.37270097236107,6.831758010557765e-14,True,4
s2__composite__b11__winter_baseline_std,64.37270097236107,6.831758010557765e-14,True,4
s2__composite__b02__post_winter_baseline_std,63.433989906378585,1.0846174370840696e-13,True,4
s2__composite__ndwi__winter_baseline_max,57.469251776693014,2.0405033908071492e-12,True,4
s2__composite__ndwi__prebattle_baseline_max,57.469251776693014,2.0405033908071492e-12,True,4
s2__composite__b03__post_winter_baseline_std,57.388851011623636,2.1227663302835307e-12,True,4
s2__composite__b07__winter_baseline_std,56.15219491925055,3.898223331758059e-12,True,4
s2__composite__b07__prebattle_baseline_std,56.15219491925055,3.898223331758059e-12,True,4
s2__composite__b8a__prebattle_baseline_std,55.011718212217126,6.8267597722577e-12,True,4
s2__composite__b8a__winter_baseline_std,55.011718212217126,6.8267597722577e-12,True,4
s2__composite__b12__winter_baseline_std,54.393028026095045,9.251043536616182e-12,True,4
s2__composite__b12__prebattle_baseline_std,54.393028026095045,9.251043536616182e-12,True,4
s2__composite__b05__prebattle_baseline_std,54.16643608072823,1.033998100347107e-11,True,4
s2__composite__b05__winter_baseline_std,54.16643608072823,1.033998100347107e-11,True,4
s2__composite__b03__post_winter_baseline_max,52.28603601501792,2.6028218210444427e-11,True,4
s2__composite__mndwi__post_winter_baseline_std,52.21048614414432,2.701141125603598e-11,True,4
s2__composite__ndwi__prebattle_baseline_std,49.78703275636917,8.868611450966074e-11,True,4
s2__composite__ndwi__winter_baseline_std,49.78703275636917,8.868611450966074e-11,True,4
s2__composite__b04__post_winter_baseline_std,49.51722807017309,1.0122968694958736e-10,True,4
s2__composite__ndwi__post_winter_baseline_max,49.284185519746856,1.1348206263430102e-10,True,4
s2__composite__b02__post_winter_baseline_max,46.394124949445654,4.676176172701689e-10,True,4
s2__composite__b11__post_winter_baseline_std,46.37622068130419,4.717352282922978e-10,True,4
s2__composite__b05__post_winter_baseline_std,46.03776577076485,5.567587484950692e-10,True,4
s2__composite__ndbi__prebattle_baseline_std,45.66825414551351,6.671558792172052e-10,True,4
s2__composite__ndbi__winter_baseline_std,45.66825414551351,6.671558792172052e-10,True,4
s2__composite__mndwi__prebattle_baseline_std,45.25091199914776,8.183533876521413e-10,True,4
s2__composite__mndwi__winter_baseline_std,45.25091199914776,8.183533876521413e-10,True,4
s2__composite__ndre__post_winter_baseline_std,44.262172760854426,1.3275375915093213e-09,True,4
s2__composite__b07__post_winter_baseline_std,43.3886610810859,2.035093795879603e-09,True,4
s2__composite__b08__winter_baseline_std,41.599646142121664,4.87891852683495e-09,True,4
s2__composite__b08__prebattle_baseline_std,41.599646142121664,4.87891852683495e-09,True,4
s2__composite__b12__post_winter_baseline_std,41.31326723096187,5.611481300384936e-09,True,4
s2__composite__ndbi__prebattle_baseline_max,40.34709528543036,8.994466504984757e-09,True,4
s2__composite__ndbi__winter_baseline_max,40.34709528543036,8.994466504984757e-09,True,4
s2__composite__ndvi__winter_baseline_std,40.14573056984676,9.923504966590145e-09,True,4
s2__composite__ndvi__prebattle_baseline_std,40.14573056984676,9.923504966590145e-09,True,4
s2__composite__b04__post_winter_baseline_max,39.982654099861115,1.0745681276507416e-08,True,4
s2__composite__ndre__prebattle_baseline_std,39.68610538159299,1.2419032233741416e-08,True,4
s2__composite__ndre__winter_baseline_std,39.68610538159299,1.2419032233741416e-08,True,4
s2__composite__cire__winter_baseline_mean,39.67865793156833,1.2464248747558655e-08,True,4
s2__composite__cire__prebattle_baseline_mean,39.67865793156833,1.2464248747558655e-08,True,4
s2__composite__mndwi__post_winter_baseline_max,39.63191876654485,1.2751799491360057e-08,True,4
s2__composite__b04__prebattle_baseline_std,39.14407086868437,1.61787107537827e-08,True,4
s2__composite__b04__winter_baseline_std,39.14407086868437,1.61787107537827e-08,True,4
s2__composite__b03__winter_baseline_std,38.878550035546006,1.841592638292391e-08,True,4
s2__composite__b03__prebattle_baseline_std,38.878550035546006,1.841592638292391e-08,True,4
s2__composite__b8a__post_winter_baseline_std,38.70026235537936,2.008898713941754e-08,True,4
s2__composite__cire__prebattle_baseline_std,37.30147377928093,3.972812204131357e-08,True,4
s2__composite__cire__winter_baseline_std,37.30147377928093,3.972812204131357e-08,True,4
s2__composite__b08__post_winter_baseline_std,36.50886609832283,5.8449538339882865e-08,True,4
s2__composite__b05__post_winter_baseline_max,36.27835824427752,6.539278926717219e-08,True,4
s2__composite__ndwi__post_winter_baseline_mean,35.683049630131606,8.737585658884309e-08,True,4
s2__composite__ndre__winter_baseline_mean,34.314622188252486,1.7001940117735166e-07,True,4
s2__composite__ndre__prebattle_baseline_mean,34.314622188252486,1.7001940117735166e-07,True,4
s2__composite__b02__prebattle_baseline_std,34.05343385137983,1.9303903190459224e-07,True,4
s2__composite__b02__winter_baseline_std,34.05343385137983,1.9303903190459224e-07,True,4
s2__composite__ndbi__post_winter_baseline_max,33.48116241665382,2.5493698192055793e-07,True,4
s2__composite__b02__post_winter_baseline_mean,32.445400138895906,4.216020089040255e-07,True,4
s2__composite__ndwi__winter_baseline_mean,32.43692461154604,4.2334027556377843e-07,True,4
s2__composite__ndwi__prebattle_baseline_mean,32.43692461154604,4.2334027556377843e-07,True,4
s2__composite__ndvi__prebattle_baseline_mean,31.91812744109381,5.445571659617257e-07,True,4
s2__composite__ndvi__winter_baseline_mean,31.91812744109381,5.445571659617257e-07,True,4
s2__composite__mndwi__winter_baseline_max,30.233446026667448,1.2324976005047194e-06,True,4
s2__composite__mndwi__prebattle_baseline_max,30.233446026667448,1.2324976005047194e-06,True,4
s2__composite__b12__post_winter_baseline_max,27.67192504214148,4.255965342710884e-06,True,4
