feature,H_statistic,p_value,significant,n_groups
s2__composite__b12__prebattle_baseline_std,45.62736157951906,6.806447653684659e-10,True,4
s2__composite__b12__winter_baseline_std,45.62736157951906,6.806447653684659e-10,True,4
s2__composite__b05__winter_baseline_std,45.09634498208025,8.826582519833258e-10,True,4
s2__composite__b05__prebattle_baseline_std,45.09634498208025,8.826582519833258e-10,True,4
s2__composite__b11__prebattle_baseline_std,44.713359608661364,1.0645896243749966e-09,True,4
s2__composite__b11__winter_baseline_std,44.713359608661364,1.0645896243749966e-09,True,4
s2__composite__b07__winter_baseline_std,43.660659374713255,1.7816374630092278e-09,True,4
s2__composite__b07__prebattle_baseline_std,43.660659374713255,1.7816374630092278e-09,True,4
s2__composite__b8a__prebattle_baseline_std,42.44406847751241,3.2294536580286723e-09,True,4
s2__composite__b8a__winter_baseline_std,42.44406847751241,3.2294536580286723e-09,True,4
s2__composite__b08__winter_baseline_std,32.126111656066996,4.922773761942031e-07,True,4
s2__composite__b08__prebattle_baseline_std,32.126111656066996,4.922773761942031e-07,True,4
s2__composite__ndbi__prebattle_baseline_std,31.696758535988977,6.063019230280045e-07,True,4
s2__composite__ndbi__winter_baseline_std,31.696758535988977,6.063019230280045e-07,True,4
s2__composite__b08__prebattle_baseline_max,30.16903521512147,1.2715621355349244e-06,True,4
s2__composite__b08__winter_baseline_max,30.16903521512147,1.2715621355349244e-06,True,4
s2__composite__b04__winter_baseline_std,29.573425218100517,1.6967079783944098e-06,True,4
s2__composite__b04__prebattle_baseline_std,29.573425218100517,1.6967079783944098e-06,True,4
s2__composite__b04__prebattle_baseline_max,28.631385543842683,2.6765683656331993e-06,True,4
s2__composite__b04__winter_baseline_max,28.631385543842683,2.6765683656331993e-06,True,4
s2__composite__b05__winter_baseline_max,27.756703666778172,4.085163822842079e-06,True,4
s2__composite__b05__prebattle_baseline_max,27.756703666778172,4.085163822842079e-06,True,4
s2__composite__b03__prebattle_baseline_max,26.38834802985987,7.908598901867946e-06,True,4
s2__composite__b03__winter_baseline_max,26.38834802985987,7.908598901867946e-06,True,4
s2__composite__b03__winter_baseline_std,26.36164037657857,8.011137585566338e-06,True,4
s2__composite__b03__prebattle_baseline_std,26.36164037657857,8.011137585566338e-06,True,4
s2__composite__b02__winter_baseline_std,25.564998468605754,1.1762011593488365e-05,True,4
s2__composite__b02__prebattle_baseline_std,25.564998468605754,1.1762011593488365e-05,True,4
s2__composite__ndwi__winter_baseline_max,25.388923095444532,1.2803272993617537e-05,True,4
s2__composite__ndwi__prebattle_baseline_max,25.388923095444532,1.2803272993617537e-05,True,4
s2__composite__b8a__winter_baseline_max,24.053288054030354,2.4348178951072783e-05,True,4
s2__composite__b8a__prebattle_baseline_max,24.053288054030354,2.4348178951072783e-05,True,4
s2__composite__b07__prebattle_baseline_max,23.481394557973502,3.2049310493050044e-05,True,4
s2__composite__b07__winter_baseline_max,23.481394557973502,3.2049310493050044e-05,True,4
