feature,H_statistic,p_value,significant,n_groups
s2__composite__b02__post_winter_baseline_max,65.40141489899142,4.116150806141386e-14,True,4
s2__composite__b04__post_winter_baseline_std,65.23742868060559,4.4624282913973016e-14,True,4
s2__composite__b02__post_winter_baseline_std,56.57126223098563,3.1726890946227175e-12,True,4
s2__composite__b03__post_winter_baseline_std,56.521045808681556,3.251962413082394e-12,True,4
s2__composite__b04__post_winter_baseline_max,55.20293644081808,6.214692314292965e-12,True,4
s2__composite__b03__post_winter_baseline_max,53.94290039745295,1.1539671029780354e-11,True,4
s2__composite__ndbi__post_winter_baseline_std,49.346823059895904,1.100502163384771e-10,True,4
s2__composite__b12__post_winter_baseline_max,48.97803186319252,1.3185800474236328e-10,True,4
s2__composite__mndwi__post_winter_baseline_std,48.95841065735776,1.3313233047449827e-10,True,4
s2__composite__b02__post_winter_baseline_mean,46.966917370768336,3.5323820872866605e-10,True,4
s2__composite__b05__post_winter_baseline_max,46.96640459710803,3.5332693449705563e-10,True,4
s2__composite__ndbi__post_winter_baseline_max,42.71204016301164,2.8329983545212203e-09,True,4
s2__composite__b12__post_winter_baseline_mean,42.6466396029205,2.925025915350277e-09,True,4
s2__composite__b11__post_winter_baseline_max,41.68430828022142,4.681241882880323e-09,True,4
s2__composite__b11__post_winter_baseline_mean,39.47766793812002,1.3748638467710093e-08,True,4
s2__composite__b05__post_winter_baseline_mean,37.38751562088414,3.8096908788615564e-08,True,4
s2__composite__b05__prebattle_baseline_mean,37.12304695610147,4.333648101403851e-08,True,4
s2__composite__b05__winter_baseline_mean,37.12304695610147,4.333648101403851e-08,True,4
s2__composite__b04__prebattle_baseline_max,36.4690891525224,5.959280697876623e-08,True,4
s2__composite__b04__winter_baseline_max,36.4690891525224,5.959280697876623e-08,True,4
s2__composite__mndwi__post_winter_baseline_max,36.33228615330838,6.369798062701864e-08,True,4
s2__composite__b05__prebattle_baseline_max,36.19109949934604,6.823098702238257e-08,True,4
s2__composite__b05__winter_baseline_max,36.19109949934604,6.823098702238257e-08,True,4
s2__composite__b04__post_winter_baseline_mean,35.72224018616001,8.57249693770953e-08,True,4
s2__composite__b03__post_winter_baseline_mean,35.48614644767463,9.616328773959512e-08,True,4
s2__composite__b03__winter_baseline_max,35.30857025165246,1.0484241405406561e-07,True,4
s2__composite__b03__prebattle_baseline_max,35.30857025165246,1.0484241405406561e-07,True,4
s2__composite__b03__prebattle_baseline_mean,34.340243636471136,1.6791450901158315e-07,True,4
s2__composite__b03__winter_baseline_mean,34.340243636471136,1.6791450901158315e-07,True,4
s2__composite__b08__winter_baseline_mean,33.67399626299352,2.321337003244193e-07,True,4
s2__composite__b08__prebattle_baseline_mean,33.67399626299352,2.321337003244193e-07,True,4
s2__composite__b08__post_winter_baseline_std,33.630325759914925,2.3711266369624839e-07,True,4
s2__composite__b04__winter_baseline_mean,30.84870913426804,9.147372335540993e-07,True,4
s2__composite__b04__prebattle_baseline_mean,30.84870913426804,9.147372335540993e-07,True,4
s2__composite__b07__winter_baseline_mean,30.110632621277556,1.3080497306836418e-06,True,4
s2__composite__b07__prebattle_baseline_mean,30.110632621277556,1.3080497306836418e-06,True,4
s2__composite__b8a__prebattle_baseline_mean,27.822223305187823,3.957862090770749e-06,True,4
s2__composite__b8a__winter_baseline_mean,27.822223305187823,3.957862090770749e-06,True,4
s2__composite__ndwi__post_winter_baseline_max,27.560997226208663,4.4902521109301025e-06,True,4
s2__composite__mndwi__post_winter_baseline_mean,27.2647888473496,5.180838676059964e-06,True,4
s2__composite__b02__prebattle_baseline_max,26.793557806616786,6.5041998341391704e-06,True,4
s2__composite__b02__winter_baseline_max,26.793557806616786,6.5041998341391704e-06,True,4
s2__composite__b12__prebattle_baseline_mean,26.524381111963347,7.406290573669833e-06,True,4
s2__composite__b12__winter_baseline_mean,26.524381111963347,7.406290573669833e-06,True,4
s2__composite__b12__winter_baseline_max,25.509387417361335,1.2081415066176977e-05,True,4
s2__composite__b12__prebattle_baseline_max,25.509387417361335,1.2081415066176977e-05,True,4
s2__composite__b08__winter_baseline_max,25.46685572853275,1.2331520922336424e-05,True,4
s2__composite__b08__prebattle_baseline_max,25.46685572853275,1.2331520922336424e-05,True,4
s2__composite__b05__post_winter_baseline_std,25.451727851904906,1.2421718979422856e-05,True,4
s2__composite__b07__post_winter_baseline_std,25.15417373638937,1.4335815571353588e-05,True,4
s2__composite__b02__winter_baseline_mean,24.714614938768406,1.7714081019769995e-05,True,4
s2__composite__b02__prebattle_baseline_mean,24.714614938768406,1.7714081019769995e-05,True,4
s2__composite__b11__winter_baseline_max,24.29796126186843,2.1645695349955638e-05,True,4
s2__composite__b11__prebattle_baseline_max,24.29796126186843,2.1645695349955638e-05,True,4
s2__composite__b11__prebattle_baseline_mean,24.285723355864473,2.1773469055889652e-05,True,4
s2__composite__b11__winter_baseline_mean,24.285723355864473,2.1773469055889652e-05,True,4
s2__composite__b07__prebattle_baseline_max,24.281832685613093,2.181424812267917e-05,True,4
s2__composite__b07__winter_baseline_max,24.281832685613093,2.181424812267917e-05,True,4
s2__composite__ndre__prebattle_baseline_std,24.125085682358208,2.3522041875125024e-05,True,4
s2__composite__ndre__winter_baseline_std,24.125085682358208,2.3522041875125024e-05,True,4
s2__composite__b07__post_winter_baseline_mean,23.851108100747386,2.6833235427722173e-05,True,4
s2__composite__b08__post_winter_baseline_max,22.81537147630605,4.412411765581193e-05,True,4
s2__composite__b12__post_winter_baseline_std,22.158087445496417,6.047232993428283e-05,True,4
s2__composite__cire__post_winter_baseline_mean,21.83641355025211,7.054842654622883e-05,True,4
s2__composite__b8a__post_winter_baseline_mean,21.735150332889663,7.405407170834967e-05,True,4
s2__composite__ndbi__post_winter_baseline_mean,21.71006783449173,7.494888989367339e-05,True,4
s2__composite__cire__post_winter_baseline_std,21.369524088467113,8.82188980328365e-05,True,4
s2__composite__b8a__prebattle_baseline_max,21.357483883937324,8.87286451972694e-05,True,4
s2__composite__b8a__winter_baseline_max,21.357483883937324,8.87286451972694e-05,True,4
s2__composite__b8a__post_winter_baseline_std,20.94398329342906,0.00010813410238742054,True,4
s2__composite__b11__post_winter_baseline_std,20.850682703881944,0.0001130667171950065,True,4
s2__composite__b07__post_winter_baseline_max,20.817160671734754,0.00011489314238758713,True,4
s2__composite__ndre__post_winter_baseline_mean,20.16719649136463,0.00015672355653823504,True,4
s2__composite__cire__prebattle_baseline_std,18.782179656112827,0.00030326510843969325,True,4
s2__composite__cire__winter_baseline_std,18.782179656112827,0.00030326510843969325,True,4
s2__composite__ndwi__post_winter_baseline_std,18.5716281851805,0.000335214391633926,True,4
