feature,H_statistic,p_value,significant,n_groups
s2__composite__b8a__prebattle_baseline_std,47.63196438785431,2.5502701196311245e-10,True,4
s2__composite__b8a__winter_baseline_std,47.63196438785431,2.5502701196311245e-10,True,4
s2__composite__b11__winter_baseline_std,46.968369361946316,3.529870899060525e-10,True,4
s2__composite__b11__prebattle_baseline_std,46.968369361946316,3.529870899060525e-10,True,4
s2__composite__b07__prebattle_baseline_std,46.868011177511846,3.7077076520125304e-10,True,4
s2__composite__b07__winter_baseline_std,46.868011177511846,3.7077076520125304e-10,True,4
s2__composite__b05__winter_baseline_std,42.877951245151706,2.612306987633903e-09,True,4
s2__composite__b05__prebattle_baseline_std,42.877951245151706,2.612306987633903e-09,True,4
s2__composite__b12__prebattle_baseline_std,40.25853655555901,9.391838774832506e-09,True,4
s2__composite__b12__winter_baseline_std,40.25853655555901,9.391838774832506e-09,True,4
s2__composite__ndbi__prebattle_baseline_std,39.30987567717975,1.4921556673594362e-08,True,4
s2__composite__ndbi__winter_baseline_std,39.30987567717975,1.4921556673594362e-08,True,4
s2__composite__ndwi__prebattle_baseline_max,35.24047576576292,1.0837430275318703e-07,True,4
s2__composite__ndwi__winter_baseline_max,35.24047576576292,1.0837430275318703e-07,True,4
s2__composite__b08__winter_baseline_std,34.18112554732067,1.8142036939917093e-07,True,4
s2__composite__b08__prebattle_baseline_std,34.18112554732067,1.8142036939917093e-07,True,4
s2__composite__b04__prebattle_baseline_std,31.940361709879536,5.387135459458468e-07,True,4
s2__composite__b04__winter_baseline_std,31.940361709879536,5.387135459458468e-07,True,4
s2__composite__b03__winter_baseline_std,31.844692626813465,5.643106379951882e-07,True,4
s2__composite__b03__prebattle_baseline_std,31.844692626813465,5.643106379951882e-07,True,4
s2__composite__mndwi__prebattle_baseline_std,31.48546104902252,6.717434583870771e-07,True,4
s2__composite__mndwi__winter_baseline_std,31.48546104902252,6.717434583870771e-07,True,4
s2__composite__b05__prebattle_baseline_max,29.048621206842867,2.187360182502518e-06,True,4
s2__composite__b05__winter_baseline_max,29.048621206842867,2.187360182502518e-06,True,4
s2__composite__b04__winter_baseline_max,28.984209825058848,2.2566034325168966e-06,True,4
s2__composite__b04__prebattle_baseline_max,28.984209825058848,2.2566034325168966e-06,True,4
s2__composite__mndwi__prebattle_baseline_max,28.807784725285188,2.4576673249865124e-06,True,4
s2__composite__mndwi__winter_baseline_max,28.807784725285188,2.4576673249865124e-06,True,4
s2__composite__b08__winter_baseline_max,28.80600342151235,2.459785972542109e-06,True,4
s2__composite__b08__prebattle_baseline_max,28.80600342151235,2.459785972542109e-06,True,4
s2__composite__b03__prebattle_baseline_max,26.863114027703958,6.289484029034416e-06,True,4
s2__composite__b03__winter_baseline_max,26.863114027703958,6.289484029034416e-06,True,4
s2__composite__b07__winter_baseline_max,26.386436222825274,7.915895206793942e-06,True,4
s2__composite__b07__prebattle_baseline_max,26.386436222825274,7.915895206793942e-06,True,4
s2__composite__b8a__prebattle_baseline_max,25.89497934618978,1.0032689051129907e-05,True,4
s2__composite__b8a__winter_baseline_max,25.89497934618978,1.0032689051129907e-05,True,4
s2__composite__b02__prebattle_baseline_std,24.590271900924865,1.880631480650345e-05,True,4
s2__composite__b02__winter_baseline_std,24.590271900924865,1.880631480650345e-05,True,4
s2__composite__b02__winter_baseline_max,23.620174007769577,2.9982361997633792e-05,True,4
s2__composite__b02__prebattle_baseline_max,23.620174007769577,2.9982361997633792e-05,True,4
s2__composite__ndre__winter_baseline_mean,23.608489841556757,3.0151137404553606e-05,True,4
s2__composite__ndre__prebattle_baseline_mean,23.608489841556757,3.0151137404553606e-05,True,4
s2__composite__ndvi__prebattle_baseline_mean,22.822819711294315,4.3966716024552637e-05,True,4
s2__composite__ndvi__winter_baseline_mean,22.822819711294315,4.3966716024552637e-05,True,4
s2__composite__cire__prebattle_baseline_mean,19.861432106634602,0.00018134387975603366,True,4
s2__composite__cire__winter_baseline_mean,19.861432106634602,0.00018134387975603366,True,4
s2__composite__mndwi__winter_baseline_mean,19.02696116189816,0.0002699118423678669,True,4
s2__composite__mndwi__prebattle_baseline_mean,19.02696116189816,0.0002699118423678669,True,4
s2__composite__b12__prebattle_baseline_max,18.991029775745012,0.0002745689675488389,True,4
s2__composite__b12__winter_baseline_max,18.991029775745012,0.0002745689675488389,True,4
s2__composite__ndwi__prebattle_baseline_mean,18.794088837177227,0.0003015513766672205,True,4
s2__composite__ndwi__winter_baseline_mean,18.794088837177227,0.0003015513766672205,True,4
s2__composite__b11__winter_baseline_max,18.668125489462987,0.0003201761781673532,True,4
s2__composite__b11__prebattle_baseline_max,18.668125489462987,0.0003201761781673532,True,4
s2__composite__b11__prebattle_baseline_mean,16.62173319472555,0.0008453023991056295,True,4
s2__composite__b11__winter_baseline_mean,16.62173319472555,0.0008453023991056295,True,4
s2__composite__cire__winter_baseline_std,16.08444919673537,0.0010896600608153572,True,4
s2__composite__cire__prebattle_baseline_std,16.08444919673537,0.0010896600608153572,True,4
s2__composite__b02__winter_baseline_mean,15.953131627983943,0.0011593515239981885,True,4
s2__composite__b02__prebattle_baseline_mean,15.953131627983943,0.0011593515239981885,True,4
s2__composite__b04__prebattle_baseline_mean,15.778202058211138,0.0012591070822749314,True,4
s2__composite__b04__winter_baseline_mean,15.778202058211138,0.0012591070822749314,True,4
s2__composite__ndwi__prebattle_baseline_std,15.765223070998173,0.0012668393537077177,True,4
s2__composite__ndwi__winter_baseline_std,15.765223070998173,0.0012668393537077177,True,4
s2__composite__b03__winter_baseline_mean,15.630982713022522,0.0013496312490839837,True,4
s2__composite__b03__prebattle_baseline_mean,15.630982713022522,0.0013496312490839837,True,4
s2__composite__b08__prebattle_baseline_mean,15.383004351857256,0.0015169435677126503,True,4
s2__composite__b08__winter_baseline_mean,15.383004351857256,0.0015169435677126503,True,4
s2__composite__b05__winter_baseline_mean,15.273409595831488,0.0015972988959395236,True,4
s2__composite__b05__prebattle_baseline_mean,15.273409595831488,0.0015972988959395236,True,4
s2__composite__b8a__prebattle_baseline_mean,14.552097537164494,0.002242320607095376,True,4
s2__composite__b8a__winter_baseline_mean,14.552097537164494,0.002242320607095376,True,4
s2__composite__b07__winter_baseline_mean,14.206226888392804,0.0026374672938801525,True,4
s2__composite__b07__prebattle_baseline_mean,14.206226888392804,0.0026374672938801525,True,4
s2__composite__ndre__prebattle_baseline_max,11.853999692628639,0.007900402661706739,True,4
s2__composite__ndre__winter_baseline_max,11.853999692628639,0.007900402661706739,True,4
s2__composite__ndre__prebattle_baseline_std,11.400295847514995,0.00974703277784493,True,4
s2__composite__ndre__winter_baseline_std,11.400295847514995,0.00974703277784493,True,4
s2__composite__b12__prebattle_baseline_mean,11.245478382649242,0.01046990799869264,True,4
s2__composite__b12__winter_baseline_mean,11.245478382649242,0.01046990799869264,True,4
s2__composite__ndbi__prebattle_baseline_mean,10.600536297543586,0.014094182908361425,True,4
s2__composite__ndbi__winter_baseline_mean,10.600536297543586,0.014094182908361425,True,4
s2__composite__ndvi__winter_baseline_max,9.900167776422572,0.019434089017872195,True,4
s2__composite__ndvi__prebattle_baseline_max,9.900167776422572,0.019434089017872195,True,4
s2__composite__ndbi__prebattle_baseline_max,9.335055416866185,0.025152410836923395,True,4
s2__composite__ndbi__winter_baseline_max,9.335055416866185,0.025152410836923395,True,4
s2__composite__ndvi__winter_baseline_std,6.0084476139258,0.11119995285528066,False,4
s2__composite__ndvi__prebattle_baseline_std,6.0084476139258,0.11119995285528066,False,4
s2__composite__cire__prebattle_baseline_max,4.350836441329717,0.22598751349040344,False,4
s2__composite__cire__winter_baseline_max,4.350836441329717,0.22598751349040344,False,4
