feature,H_statistic,p_value,significant,n_groups
s2__composite__b02__post_winter_baseline_max,89.79207437494125,1.4577195520845015e-18,True,5
s2__composite__b03__post_winter_baseline_max,83.3401453539647,3.4122493400518917e-17,True,5
s2__composite__b04__post_winter_baseline_max,79.86950810369892,1.856302991192112e-16,True,5
s2__composite__b02__post_winter_baseline_mean,78.62499349132614,3.405958017321735e-16,True,5
s2__composite__b02__post_winter_baseline_std,77.55868502673168,5.72800166169041e-16,True,5
s2__composite__b03__post_winter_baseline_std,75.05165213509814,1.9430893418137146e-15,True,5
s2__composite__ndwi__post_winter_baseline_max,74.60589594304209,2.414169382983995e-15,True,5
s2__composite__mndwi__post_winter_baseline_max,73.85403094444437,3.4813654591339467e-15,True,5
s2__composite__b04__post_winter_baseline_std,70.17147953365861,2.0882978369714404e-14,True,5
s2__composite__b12__post_winter_baseline_std,67.52789029375067,7.544561297592936e-14,True,5
s2__composite__b03__post_winter_baseline_mean,66.6415520434755,1.1601868536802176e-13,True,5
s2__composite__b11__post_winter_baseline_std,66.46716349924003,1.2626738101583516e-13,True,5
s2__composite__ndbi__post_winter_baseline_max,63.59340225516569,5.089771900480864e-13,True,5
s2__composite__ndwi__post_winter_baseline_mean,62.60866635503511,8.202790544957991e-13,True,5
s2__composite__ndre__post_winter_baseline_mean,62.48940982213208,8.69071434333045e-13,True,5
s2__composite__b04__post_winter_baseline_mean,61.99680006997321,1.1033014285547462e-12,True,5
s2__composite__b05__post_winter_baseline_std,61.79595823048815,1.2160217353494412e-12,True,5
s2__composite__ndvi__post_winter_baseline_mean,59.912153646139004,3.026823185715426e-12,True,5
s2__composite__b05__post_winter_baseline_max,58.90820500582185,4.919167590453839e-12,True,5
s2__composite__ndwi__winter_baseline_max,58.5723036526422,5.78668658238923e-12,True,5
s2__composite__ndwi__prebattle_baseline_max,58.5723036526422,5.78668658238923e-12,True,5
s2__composite__b11__prebattle_baseline_std,57.545574167884254,9.505103103644282e-12,True,5
s2__composite__b11__winter_baseline_std,57.545574167884254,9.505103103644282e-12,True,5
s2__composite__mndwi__post_winter_baseline_mean,57.47599330321659,9.830109180841605e-12,True,5
s2__composite__cire__post_winter_baseline_mean,57.24547383009148,1.098824875063009e-11,True,5
s2__composite__ndvi__prebattle_baseline_mean,56.65823028478915,1.4592193399385567e-11,True,5
s2__composite__ndvi__winter_baseline_mean,56.65823028478915,1.4592193399385567e-11,True,5
s2__composite__b12__winter_baseline_std,53.815903812093865,5.7511266782580615e-11,True,5
s2__composite__b12__prebattle_baseline_std,53.815903812093865,5.7511266782580615e-11,True,5
s2__composite__ndre__winter_baseline_mean,53.51836732062472,6.638055609953807e-11,True,5
s2__composite__ndre__prebattle_baseline_mean,53.51836732062472,6.638055609953807e-11,True,5
s2__composite__mndwi__post_winter_baseline_std,53.437001964557886,6.903545611731244e-11,True,5
s2__composite__b12__post_winter_baseline_max,53.20584425993885,7.717075988767814e-11,True,5
s2__composite__ndwi__prebattle_baseline_mean,52.794192005045076,9.410038480226653e-11,True,5
s2__composite__ndwi__winter_baseline_mean,52.794192005045076,9.410038480226653e-11,True,5
s2__composite__b07__post_winter_baseline_std,51.511452603952876,1.7452069520061335e-10,True,5
s2__composite__b05__winter_baseline_std,51.09410636278035,2.133399034816471e-10,True,5
s2__composite__b05__prebattle_baseline_std,51.09410636278035,2.133399034816471e-10,True,5
s2__composite__cire__winter_baseline_mean,50.692842966867765,2.5876804756200005e-10,True,5
s2__composite__cire__prebattle_baseline_mean,50.692842966867765,2.5876804756200005e-10,True,5
s2__composite__b08__post_winter_baseline_std,50.09621330461882,3.447638010360141e-10,True,5
s2__composite__b08__post_winter_baseline_mean,49.88036410551096,3.8246313145259324e-10,True,5
s2__composite__mndwi__winter_baseline_mean,49.362896714054266,4.904589749827185e-10,True,5
s2__composite__mndwi__prebattle_baseline_mean,49.362896714054266,4.904589749827185e-10,True,5
s2__composite__b05__post_winter_baseline_mean,46.0442944323701,2.4111283338711895e-09,True,5
s2__composite__mndwi__prebattle_baseline_max,44.80045352366766,4.374467456210984e-09,True,5
s2__composite__mndwi__winter_baseline_max,44.80045352366766,4.374467456210984e-09,True,5
s2__composite__b08__post_winter_baseline_max,44.50346679478743,5.042551094334968e-09,True,5
s2__composite__ndbi__prebattle_baseline_max,43.40293062922733,8.535466363390544e-09,True,5
s2__composite__ndbi__winter_baseline_max,43.40293062922733,8.535466363390544e-09,True,5
s2__composite__b04__prebattle_baseline_max,43.055235389507814,1.007835597676657e-08,True,5
s2__composite__b04__winter_baseline_max,43.055235389507814,1.007835597676657e-08,True,5
s2__composite__b8a__post_winter_baseline_std,40.42679653245054,3.532180739640179e-08,True,5
s2__composite__b05__prebattle_baseline_max,39.9289376269307,4.477393074148952e-08,True,5
s2__composite__b05__winter_baseline_max,39.9289376269307,4.477393074148952e-08,True,5
s2__composite__ndbi__post_winter_baseline_mean,39.00068045324938,6.96419484046668e-08,True,5
s2__composite__ndbi__post_winter_baseline_std,38.41951450591972,9.180567400923894e-08,True,5
s2__composite__b02__winter_baseline_max,37.29726485312919,1.5643508782597426e-07,True,5
