feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_mean,6.968888888888898,0.008293898079160096,True,2
s2__composite__ndre__post_winter_baseline_max,6.722222222222243,0.009521891184098748,True,2
s2__composite__ndre__prebattle_baseline_max,6.480000000000018,0.010909498364269186,True,2
s2__composite__cire__prebattle_baseline_max,6.480000000000018,0.010909498364269186,True,2
s2__composite__ndre__winter_baseline_max,6.480000000000018,0.010909498364269186,True,2
s2__composite__cire__winter_baseline_max,6.480000000000018,0.010909498364269186,True,2
s2__composite__cire__post_winter_baseline_max,5.555555555555571,0.018422125454098853,True,2
s2__composite__ndvi__post_winter_baseline_max,5.11999999999999,0.023651616655356124,True,2
s2__composite__b08__prebattle_baseline_std,4.500000000000014,0.033894853524689066,True,2
s2__composite__b08__winter_baseline_std,4.500000000000014,0.033894853524689066,True,2
s2__composite__ndvi__prebattle_baseline_max,4.500000000000014,0.033894853524689066,True,2
s2__composite__ndvi__winter_baseline_max,4.500000000000014,0.033894853524689066,True,2
s2__composite__b04__post_winter_baseline_std,4.302222222222241,0.03806260703244455,True,2
s2__composite__ndbi__post_winter_baseline_max,3.5555555555555713,0.05934643879191933,False,2
s2__composite__ndre__post_winter_baseline_mean,3.380000000000024,0.06599205505934658,False,2
s2__composite__ndvi__post_winter_baseline_mean,3.208888888888893,0.0732392033326245,False,2
s2__composite__ndre__post_winter_baseline_std,3.208888888888893,0.0732392033326245,False,2
s2__composite__ndbi__winter_baseline_std,3.042222222222236,0.08112479188354799,False,2
s2__composite__ndbi__prebattle_baseline_std,3.042222222222236,0.08112479188354799,False,2
s2__composite__cire__post_winter_baseline_std,3.0422222222222217,0.08112479188354828,False,2
s2__composite__cire__post_winter_baseline_mean,2.880000000000024,0.08968602177036297,False,2
s2__composite__ndvi__post_winter_baseline_std,2.7222222222222427,0.09896015401940522,False,2
s2__composite__ndbi__prebattle_baseline_max,2.4200000000000017,0.11979493042591796,False,2
s2__composite__ndre__winter_baseline_mean,2.4200000000000017,0.11979493042591796,False,2
s2__composite__ndre__prebattle_baseline_mean,2.4200000000000017,0.11979493042591796,False,2
s2__composite__ndbi__winter_baseline_max,2.4200000000000017,0.11979493042591796,False,2
s2__composite__ndbi__winter_baseline_mean,2.27555555555557,0.1314280218348365,False,2
s2__composite__ndbi__prebattle_baseline_mean,2.27555555555557,0.1314280218348365,False,2
s2__composite__cire__prebattle_baseline_std,2.1355555555555696,0.14391831366538824,False,2
s2__composite__cire__winter_baseline_std,2.1355555555555696,0.14391831366538824,False,2
s2__composite__b08__post_winter_baseline_mean,2.1355555555555696,0.14391831366538824,False,2
s2__composite__cire__winter_baseline_mean,2.1355555555555696,0.14391831366538824,False,2
s2__composite__cire__prebattle_baseline_mean,2.1355555555555696,0.14391831366538824,False,2
s2__composite__b8a__post_winter_baseline_mean,1.868888888888904,0.17160239070177996,False,2
s2__composite__b04__winter_baseline_std,1.868888888888904,0.17160239070177996,False,2
s2__composite__b04__prebattle_baseline_std,1.868888888888904,0.17160239070177996,False,2
s2__composite__b8a__post_winter_baseline_max,1.7422222222222246,0.1868575026630363,False,2
s2__composite__b03__post_winter_baseline_std,1.6199999999999903,0.20309178757716562,False,2
s2__composite__ndwi__post_winter_baseline_mean,1.6199999999999903,0.20309178757716562,False,2
s2__composite__ndvi__winter_baseline_mean,1.6199999999999903,0.20309178757716562,False,2
s2__composite__ndvi__prebattle_baseline_mean,1.6199999999999903,0.20309178757716562,False,2
s2__composite__b04__post_winter_baseline_max,1.502643130662191,0.22026512057871225,False,2
s2__composite__b07__post_winter_baseline_mean,1.5022222222222297,0.22032975309767952,False,2
s2__composite__b03__prebattle_baseline_std,1.3888888888889,0.2385928293164302,False,2
s2__composite__b03__winter_baseline_std,1.3888888888889,0.2385928293164302,False,2
s2__composite__b02__winter_baseline_std,1.2800000000000296,0.2578990352923308,False,2
s2__composite__ndwi__post_winter_baseline_std,1.2800000000000296,0.2578990352923308,False,2
s2__composite__b08__post_winter_baseline_std,1.2800000000000296,0.2578990352923308,False,2
s2__composite__b02__prebattle_baseline_std,1.2800000000000296,0.2578990352923308,False,2
s2__composite__b08__post_winter_baseline_max,1.1755555555555617,0.2782626569190713,False,2
s2__composite__mndwi__post_winter_baseline_mean,1.0755555555555532,0.29969394046637954,False,2
s2__composite__ndvi__prebattle_baseline_std,1.0755555555555532,0.29969394046637954,False,2
s2__composite__ndvi__winter_baseline_std,1.0755555555555532,0.29969394046637954,False,2
s2__composite__mndwi__winter_baseline_max,0.8888888888888999,0.3457785861511571,False,2
s2__composite__mndwi__prebattle_baseline_max,0.8888888888888999,0.3457785861511571,False,2
s2__composite__b8a__prebattle_baseline_max,0.802222222222241,0.3704297910485552,False,2
s2__composite__mndwi__winter_baseline_mean,0.802222222222241,0.3704297910485552,False,2
s2__composite__b12__post_winter_baseline_mean,0.802222222222241,0.3704297910485552,False,2
s2__composite__mndwi__prebattle_baseline_mean,0.802222222222241,0.3704297910485552,False,2
s2__composite__b8a__winter_baseline_max,0.802222222222241,0.3704297910485552,False,2
s2__composite__b02__post_winter_baseline_std,0.802222222222241,0.3704297910485552,False,2
s2__composite__b11__post_winter_baseline_mean,0.7199999999999989,0.39614390915207454,False,2
s2__composite__b07__post_winter_baseline_max,0.7199999999999989,0.39614390915207454,False,2
s2__composite__mndwi__post_winter_baseline_std,0.7199999999999989,0.39614390915207454,False,2
s2__composite__mndwi__prebattle_baseline_std,0.6422222222222445,0.42290724209538744,False,2
s2__composite__b11__post_winter_baseline_max,0.6422222222222445,0.42290724209538744,False,2
s2__composite__ndbi__post_winter_baseline_std,0.6422222222222445,0.42290724209538744,False,2
s2__composite__mndwi__winter_baseline_std,0.6422222222222445,0.42290724209538744,False,2
s2__composite__ndwi__prebattle_baseline_max,0.5000000000000142,0.47950012218694715,False,2
s2__composite__ndre__winter_baseline_std,0.5000000000000142,0.47950012218694715,False,2
s2__composite__ndwi__winter_baseline_max,0.5000000000000142,0.47950012218694715,False,2
s2__composite__b07__winter_baseline_std,0.5000000000000142,0.47950012218694715,False,2
s2__composite__ndre__prebattle_baseline_std,0.5000000000000142,0.47950012218694715,False,2
s2__composite__b07__prebattle_baseline_std,0.5000000000000142,0.47950012218694715,False,2
s2__composite__b04__prebattle_baseline_mean,0.4355555555555668,0.509275437124078,False,2
s2__composite__b04__winter_baseline_mean,0.4355555555555668,0.509275437124078,False,2
s2__composite__b8a__prebattle_baseline_mean,0.3755555555555503,0.5399914786295621,False,2
s2__composite__b8a__winter_baseline_mean,0.3755555555555503,0.5399914786295621,False,2
s2__composite__mndwi__post_winter_baseline_max,0.3755555555555503,0.5399914786295621,False,2
s2__composite__b04__prebattle_baseline_max,0.3200448242050639,0.5715807084957205,False,2
s2__composite__b04__winter_baseline_max,0.3200448242050639,0.5715807084957205,False,2
s2__composite__b12__post_winter_baseline_max,0.3199999999999932,0.5716076449533356,False,2
s2__composite__b07__winter_baseline_max,0.3199999999999932,0.5716076449533356,False,2
s2__composite__b07__prebattle_baseline_max,0.3199999999999932,0.5716076449533356,False,2
s2__composite__b12__prebattle_baseline_mean,0.3199999999999932,0.5716076449533356,False,2
s2__composite__b12__winter_baseline_mean,0.3199999999999932,0.5716076449533356,False,2
s2__composite__b05__post_winter_baseline_max,0.2688888888888954,0.6040780906072385,False,2
s2__composite__b05__post_winter_baseline_std,0.2688888888888954,0.6040780906072385,False,2
s2__composite__b05__winter_baseline_std,0.22222222222224275,0.6373518882339215,False,2
s2__composite__b05__prebattle_baseline_std,0.22222222222224275,0.6373518882339215,False,2
s2__composite__b07__post_winter_baseline_std,0.22222222222224275,0.6373518882339215,False,2
s2__composite__b03__post_winter_baseline_mean,0.18000000000002103,0.6713732405408545,False,2
s2__composite__ndwi__prebattle_baseline_mean,0.14222222222223024,0.7060817412140635,False,2
s2__composite__b05__prebattle_baseline_mean,0.14222222222223024,0.7060817412140635,False,2
s2__composite__b11__prebattle_baseline_std,0.14222222222223024,0.7060817412140635,False,2
s2__composite__b11__winter_baseline_std,0.14222222222223024,0.7060817412140635,False,2
s2__composite__b05__winter_baseline_mean,0.14222222222223024,0.7060817412140635,False,2
s2__composite__ndwi__winter_baseline_mean,0.14222222222223024,0.7060817412140635,False,2
s2__composite__b02__prebattle_baseline_max,0.12501750945511997,0.7236550502930942,False,2
s2__composite__b02__winter_baseline_max,0.12501750945511997,0.7236550502930942,False,2
s2__composite__b11__prebattle_baseline_max,0.1088888888888846,0.7414126830400208,False,2
s2__composite__b12__winter_baseline_max,0.1088888888888846,0.7414126830400208,False,2
