feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_max,13.921270651117595,0.0030142992590800246,True,4
s2__composite__b12__prebattle_baseline_std,12.609675655976673,0.005561441473827509,True,4
s2__composite__b12__winter_baseline_std,12.609675655976673,0.005561441473827509,True,4
s2__composite__mndwi__post_winter_baseline_max,12.300097181729825,0.006422767490765005,True,4
s2__composite__b04__post_winter_baseline_std,12.095159135082582,0.00706419356543044,True,4
s2__composite__b8a__prebattle_baseline_std,11.801154033041797,0.008096310585634238,True,4
s2__composite__b8a__winter_baseline_std,11.801154033041797,0.008096310585634238,True,4
s2__composite__b03__post_winter_baseline_std,11.755448250728847,0.008269613043127367,True,4
s2__composite__b12__prebattle_baseline_max,11.701032555879465,0.008480721992178824,True,4
s2__composite__b12__winter_baseline_max,11.701032555879465,0.008480721992178824,True,4
s2__composite__ndvi__post_winter_baseline_mean,11.534165451895007,0.009161824936030842,True,4
s2__composite__b08__winter_baseline_max,11.253553206997054,0.010430930946744764,True,4
s2__composite__b08__prebattle_baseline_max,11.253553206997054,0.010430930946744764,True,4
s2__composite__b11__post_winter_baseline_max,10.956936345966938,0.01196103075040791,True,4
s2__composite__b11__prebattle_baseline_max,10.939127793974734,0.012059629840616206,True,4
s2__composite__b11__winter_baseline_max,10.939127793974734,0.012059629840616206,True,4
s2__composite__b11__prebattle_baseline_std,10.922120991253621,0.012154537520026631,True,4
s2__composite__b11__winter_baseline_std,10.922120991253621,0.012154537520026631,True,4
s2__composite__b08__winter_baseline_std,10.79203109815353,0.012905274414486986,True,4
s2__composite__b08__prebattle_baseline_std,10.79203109815353,0.012905274414486986,True,4
s2__composite__b05__winter_baseline_std,10.667711370262367,0.013665323629171243,True,4
s2__composite__b05__prebattle_baseline_std,10.667711370262367,0.013665323629171243,True,4
s2__composite__b07__prebattle_baseline_std,10.579853012633606,0.014228877932874246,True,4
s2__composite__b07__winter_baseline_std,10.579853012633606,0.014228877932874246,True,4
s2__composite__b02__post_winter_baseline_std,10.049580903790059,0.018149347315301583,True,4
s2__composite__b12__post_winter_baseline_max,9.936206268221582,0.01911626222620041,True,4
s2__composite__b04__winter_baseline_max,9.892523080660794,0.019502172819553014,True,4
s2__composite__b04__prebattle_baseline_max,9.892523080660794,0.019502172819553014,True,4
