feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_max,81.04888539608955,1.8282447938796395e-17,True,4
s2__composite__ndbi__post_winter_baseline_mean,76.51815682071006,1.712711003125053e-16,True,4
s2__composite__mndwi__post_winter_baseline_std,73.35486875595922,8.159265444014689e-16,True,4
s2__composite__b03__winter_baseline_max,72.98012882694194,9.81616538293976e-16,True,4
s2__composite__b04__prebattle_baseline_max,70.26205026705163,3.750976337247721e-15,True,4
s2__composite__b03__post_winter_baseline_std,69.24854406837296,6.182385901966837e-15,True,4
s2__composite__b04__winter_baseline_max,68.91461062234718,7.288670413995023e-15,True,4
s2__composite__ndwi__post_winter_baseline_mean,68.07727725763179,1.1012671699078003e-14,True,4
s2__composite__ndwi__post_winter_baseline_max,67.36720104987211,1.5626847829220454e-14,True,4
s2__composite__b05__winter_baseline_max,67.20658600439185,1.6913945344294023e-14,True,4
s2__composite__ndvi__post_winter_baseline_mean,65.73013889474304,3.500795080250938e-14,True,4
s2__composite__b02__post_winter_baseline_std,64.4979985233135,6.422944608331023e-14,True,4
s2__composite__b03__prebattle_baseline_max,63.456304613595826,1.0727661923802152e-13,True,4
s2__composite__b05__winter_baseline_std,63.12205654687899,1.264660446497334e-13,True,4
s2__composite__b04__winter_baseline_std,62.360121534619594,1.8402177980482697e-13,True,4
s2__composite__b02__winter_baseline_max,62.33615979673424,1.8620509240787165e-13,True,4
s2__composite__b04__post_winter_baseline_std,62.13825808978382,2.0525609690299199e-13,True,4
s2__composite__b11__prebattle_baseline_std,62.076959128686056,2.115432810251295e-13,True,4
s2__composite__b03__winter_baseline_std,61.847874916622246,2.367915242109077e-13,True,4
s2__composite__b08__post_winter_baseline_mean,60.129201372594096,5.516240245506844e-13,True,4
s2__composite__b12__prebattle_baseline_max,59.33454674759988,8.15461614575569e-13,True,4
s2__composite__b02__prebattle_baseline_max,59.196428738761284,8.727817911298496e-13,True,4
s2__composite__b04__winter_baseline_mean,58.80783239649009,1.0565846853873533e-12,True,4
s2__composite__b04__prebattle_baseline_std,58.18642782249144,1.4341974889148368e-12,True,4
s2__composite__b03__winter_baseline_mean,57.94033376380146,1.6186666793708144e-12,True,4
s2__composite__ndre__post_winter_baseline_mean,57.65614303508755,1.861384594142101e-12,True,4
s2__composite__cire__post_winter_baseline_mean,57.46633170922012,2.043434573068317e-12,True,4
s2__composite__b05__post_winter_baseline_std,57.4298822223153,2.0803788541567742e-12,True,4
s2__composite__b8a__winter_baseline_std,57.41881995249385,2.0917227829888246e-12,True,4
s2__composite__b05__prebattle_baseline_std,57.35950413795436,2.1536116688752933e-12,True,4
s2__composite__b05__prebattle_baseline_max,57.09035607757754,2.4582428706244725e-12,True,4
s2__composite__b07__winter_baseline_std,56.787121316038835,2.853340228763374e-12,True,4
s2__composite__cire__winter_baseline_mean,56.71281274487672,2.9594748586954e-12,True,4
s2__composite__b04__prebattle_baseline_mean,56.64940666625375,3.0531514514997744e-12,True,4
s2__composite__ndbi__post_winter_baseline_std,55.614064728372604,5.078088379917001e-12,True,4
s2__composite__b12__prebattle_baseline_std,54.300177833879474,9.682663720128781e-12,True,4
s2__composite__b05__winter_baseline_mean,54.10373094310341,1.066334055791019e-11,True,4
s2__composite__b11__winter_baseline_std,53.13482839418826,1.7159420105002055e-11,True,4
s2__composite__b03__prebattle_baseline_std,52.895053962007,1.930287340910062e-11,True,4
s2__composite__b12__prebattle_baseline_mean,52.68801286262693,2.136777535017712e-11,True,4
s2__composite__ndre__winter_baseline_mean,52.199924758452944,2.7151780522820826e-11,True,4
s2__composite__b08__winter_baseline_std,52.07206316139643,2.8910120577439268e-11,True,4
s2__composite__b8a__post_winter_baseline_mean,51.63692567575421,3.579176579079105e-11,True,4
s2__composite__b12__winter_baseline_std,51.51326829122768,3.8030624064199673e-11,True,4
s2__composite__b11__post_winter_baseline_std,50.75703881647988,5.51129911646836e-11,True,4
s2__composite__b02__winter_baseline_std,50.64914510947662,5.810827125144464e-11,True,4
s2__composite__b12__post_winter_baseline_std,50.10824216407174,7.576166908048242e-11,True,4
s2__composite__b12__winter_baseline_max,49.604936917202515,9.696875184189973e-11,True,4
s2__composite__b02__winter_baseline_mean,49.417957580562636,1.0627841618138066e-10,True,4
s2__composite__b02__prebattle_baseline_mean,49.15308283186837,1.21015104617927e-10,True,4
s2__composite__mndwi__prebattle_baseline_max,49.11331131900893,1.2339763455743694e-10,True,4
s2__composite__mndwi__post_winter_baseline_max,48.789112375133215,1.4465153072160466e-10,True,4
s2__composite__ndvi__post_winter_baseline_max,48.500948421616386,1.665944707628381e-10,True,4
s2__composite__b05__prebattle_baseline_mean,47.39916823948515,2.858350753320477e-10,True,4
s2__composite__b02__prebattle_baseline_std,46.84819130669264,3.743873406358092e-10,True,4
s2__composite__mndwi__winter_baseline_max,46.648504355594596,4.12850124177771e-10,True,4
