feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__winter_baseline_std,8.880597970964818,0.030921255111067174,True,4
s2__composite__ndbi__prebattle_baseline_std,8.880597970964818,0.030921255111067174,True,4
s2__composite__b12__prebattle_baseline_std,8.785355856196205,0.032285107270368485,True,4
s2__composite__b12__winter_baseline_std,8.785355856196205,0.032285107270368485,True,4
s2__composite__mndwi__prebattle_baseline_std,8.712317315101364,0.03337070739065144,True,4
s2__composite__mndwi__winter_baseline_std,8.712317315101364,0.03337070739065144,True,4
s2__composite__b08__winter_baseline_max,8.52829580576207,0.03626658236380815,True,4
s2__composite__b08__prebattle_baseline_max,8.52829580576207,0.03626658236380815,True,4
s2__composite__ndwi__winter_baseline_std,8.47596906600718,0.03713392835630039,True,4
s2__composite__ndwi__prebattle_baseline_std,8.47596906600718,0.03713392835630039,True,4
s2__composite__b04__prebattle_baseline_max,8.433986063022054,0.037844439217194645,True,4
s2__composite__b04__winter_baseline_max,8.433986063022054,0.037844439217194645,True,4
s2__composite__ndbi__prebattle_baseline_max,8.352795725722466,0.039256338614278984,True,4
s2__composite__ndbi__winter_baseline_max,8.352795725722466,0.039256338614278984,True,4
s2__composite__b04__winter_baseline_std,7.587478849864028,0.05535284005708896,False,4
s2__composite__b04__prebattle_baseline_std,7.587478849864028,0.05535284005708896,False,4
s2__composite__b03__prebattle_baseline_std,7.018819415003129,0.0713003466029152,False,4
s2__composite__b03__winter_baseline_std,7.018819415003129,0.0713003466029152,False,4
s2__composite__ndbi__winter_baseline_mean,6.790382769065554,0.07888774307674065,False,4
s2__composite__ndbi__prebattle_baseline_mean,6.790382769065554,0.07888774307674065,False,4
s2__composite__b11__winter_baseline_std,6.438247077046803,0.09212996037468474,False,4
s2__composite__b11__prebattle_baseline_std,6.438247077046803,0.09212996037468474,False,4
s2__composite__b08__prebattle_baseline_std,6.419206035626177,0.09290385903717235,False,4
s2__composite__b08__winter_baseline_std,6.419206035626177,0.09290385903717235,False,4
s2__composite__b11__winter_baseline_max,6.045855969566134,0.10940042148439082,False,4
s2__composite__b11__prebattle_baseline_max,6.045855969566134,0.10940042148439082,False,4
s2__composite__mndwi__prebattle_baseline_max,5.985823260533204,0.11230199508123838,False,4
s2__composite__mndwi__winter_baseline_max,5.985823260533204,0.11230199508123838,False,4
s2__composite__b12__winter_baseline_max,5.758217278469821,0.12398466826892914,False,4
s2__composite__b12__prebattle_baseline_max,5.758217278469821,0.12398466826892914,False,4
s2__composite__b04__prebattle_baseline_mean,5.2844326410468945,0.1521157289599643,False,4
s2__composite__b04__winter_baseline_mean,5.2844326410468945,0.1521157289599643,False,4
s2__composite__b03__winter_baseline_max,5.14121506597939,0.1617439568448219,False,4
s2__composite__b03__prebattle_baseline_max,5.14121506597939,0.1617439568448219,False,4
s2__composite__mndwi__prebattle_baseline_mean,4.811043491996789,0.18616801081313206,False,4
s2__composite__mndwi__winter_baseline_mean,4.811043491996789,0.18616801081313206,False,4
s2__composite__ndvi__winter_baseline_std,4.709129349023692,0.19437790346851266,False,4
s2__composite__ndvi__prebattle_baseline_std,4.709129349023692,0.19437790346851266,False,4
s2__composite__b03__prebattle_baseline_mean,4.2667128397184735,0.23406696201244453,False,4
s2__composite__b03__winter_baseline_mean,4.2667128397184735,0.23406696201244453,False,4
s2__composite__b02__winter_baseline_std,4.213280340189346,0.2393356302680909,False,4
s2__composite__b02__prebattle_baseline_std,4.213280340189346,0.2393356302680909,False,4
s2__composite__b08__prebattle_baseline_mean,4.189936166625033,0.2416713991080313,False,4
s2__composite__b08__winter_baseline_mean,4.189936166625033,0.2416713991080313,False,4
s2__composite__ndwi__winter_baseline_max,3.971145672298769,0.26459678009104987,False,4
s2__composite__ndwi__prebattle_baseline_max,3.971145672298769,0.26459678009104987,False,4
s2__composite__cire__winter_baseline_std,3.960926981351704,0.26571433799015726,False,4
s2__composite__cire__prebattle_baseline_std,3.960926981351704,0.26571433799015726,False,4
s2__composite__b02__winter_baseline_mean,3.8342925797782965,0.2799224469026011,False,4
s2__composite__b02__prebattle_baseline_mean,3.8342925797782965,0.2799224469026011,False,4
s2__composite__b12__prebattle_baseline_mean,3.372713286399067,0.3376498523266074,False,4
s2__composite__b12__winter_baseline_mean,3.372713286399067,0.3376498523266074,False,4
s2__composite__b02__winter_baseline_max,3.3561254486414343,0.33990710886014386,False,4
s2__composite__b02__prebattle_baseline_max,3.3561254486414343,0.33990710886014386,False,4
s2__composite__b11__prebattle_baseline_mean,2.9967639943680173,0.39212437382420606,False,4
s2__composite__b11__winter_baseline_mean,2.9967639943680173,0.39212437382420606,False,4
s2__composite__b05__winter_baseline_mean,2.1172259260658803,0.5484357099376611,False,4
s2__composite__b05__prebattle_baseline_mean,2.1172259260658803,0.5484357099376611,False,4
s2__composite__b07__prebattle_baseline_std,2.113620370897749,0.5491621880379114,False,4
s2__composite__b07__winter_baseline_std,2.113620370897749,0.5491621880379114,False,4
s2__composite__b8a__winter_baseline_std,2.0083576816910105,0.5706738497845469,False,4
s2__composite__b8a__prebattle_baseline_std,2.0083576816910105,0.5706738497845469,False,4
s2__composite__b05__prebattle_baseline_std,2.0048363750684857,0.5714035037877283,False,4
s2__composite__b05__winter_baseline_std,2.0048363750684857,0.5714035037877283,False,4
s2__composite__b8a__winter_baseline_mean,1.4839599156209897,0.6859772908361994,False,4
s2__composite__b8a__prebattle_baseline_mean,1.4839599156209897,0.6859772908361994,False,4
s2__composite__b07__prebattle_baseline_mean,1.435578488313583,0.6972165347575217,False,4
s2__composite__b07__winter_baseline_mean,1.435578488313583,0.6972165347575217,False,4
s2__composite__ndre__winter_baseline_mean,1.331762150817583,0.7216050116869419,False,4
s2__composite__ndre__prebattle_baseline_mean,1.331762150817583,0.7216050116869419,False,4
s2__composite__ndvi__prebattle_baseline_mean,1.0047500640961544,0.8001025826063456,False,4
s2__composite__ndvi__winter_baseline_mean,1.0047500640961544,0.8001025826063456,False,4
s2__composite__ndre__winter_baseline_std,0.8415882895275686,0.8394959532525628,False,4
s2__composite__ndre__prebattle_baseline_std,0.8415882895275686,0.8394959532525628,False,4
s2__composite__cire__prebattle_baseline_mean,0.816837996908516,0.8454355122776709,False,4
s2__composite__cire__winter_baseline_mean,0.816837996908516,0.8454355122776709,False,4
s2__composite__cire__winter_baseline_max,0.7831773329474878,0.8534864165337368,False,4
s2__composite__cire__prebattle_baseline_max,0.7831773329474878,0.8534864165337368,False,4
s2__composite__b05__winter_baseline_max,0.605480247119709,0.8951766579550073,False,4
s2__composite__b05__prebattle_baseline_max,0.605480247119709,0.8951766579550073,False,4
s2__composite__ndwi__winter_baseline_mean,0.27791938151440054,0.9641263075466413,False,4
s2__composite__ndwi__prebattle_baseline_mean,0.27791938151440054,0.9641263075466413,False,4
s2__composite__b07__prebattle_baseline_max,0.23413780969009673,0.9718987609560306,False,4
s2__composite__b07__winter_baseline_max,0.23413780969009673,0.9718987609560306,False,4
s2__composite__ndvi__prebattle_baseline_max,0.1270390766299912,0.9884060004874922,False,4
s2__composite__ndvi__winter_baseline_max,0.1270390766299912,0.9884060004874922,False,4
s2__composite__b8a__winter_baseline_max,0.10801011591677173,0.9908591518948183,False,4
s2__composite__b8a__prebattle_baseline_max,0.10801011591677173,0.9908591518948183,False,4
s2__composite__ndre__prebattle_baseline_max,0.09697112611876925,0.9921984066017988,False,4
s2__composite__ndre__winter_baseline_max,0.09697112611876925,0.9921984066017988,False,4
