feature,H_statistic,p_value,significant,n_groups
s2__composite__b02__post_winter_baseline_std,621.3658181082283,3.679933450701264e-133,True,5
s2__composite__mndwi__post_winter_baseline_std,616.5935697197611,3.9699309439562336e-132,True,5
s2__composite__b02__post_winter_baseline_max,609.7589037867722,1.1969794662846854e-130,True,5
s2__composite__b04__post_winter_baseline_std,602.6256628971508,4.187516739419011e-129,True,5
s2__composite__b03__post_winter_baseline_std,600.1078849807132,1.4684961831512105e-128,True,5
s2__composite__mndwi__post_winter_baseline_max,561.3112627388359,3.6519634308308564e-120,True,5
s2__composite__b03__post_winter_baseline_max,547.9048067877983,2.905630744602334e-117,True,5
s2__composite__b04__post_winter_baseline_max,511.41517411190466,2.2753314269287304e-109,True,5
s2__composite__ndwi__post_winter_baseline_max,447.0287882068182,1.9062339705105055e-95,True,5
s2__composite__b02__post_winter_baseline_mean,342.7283594466244,6.515224231207532e-73,True,5
s2__composite__mndwi__post_winter_baseline_mean,339.8987597561048,2.6594366272438583e-72,True,5
s2__composite__ndwi__prebattle_baseline_max,318.3181065927156,1.2096309811107755e-67,True,5
s2__composite__ndwi__winter_baseline_max,316.31525937081364,3.2722134043414994e-67,True,5
s2__composite__b11__prebattle_baseline_std,310.88385870974145,4.861619755554988e-66,True,5
s2__composite__b11__winter_baseline_std,304.9444271053667,9.293702528983143e-65,True,5
s2__composite__b12__post_winter_baseline_std,288.6950632013496,2.9721533279954996e-61,True,5
s2__composite__ndre__post_winter_baseline_std,287.6266834292705,5.052052380082615e-61,True,5
s2__composite__b05__post_winter_baseline_std,283.138645158325,4.690838523511206e-60,True,5
s2__composite__b05__post_winter_baseline_max,271.18563900735853,1.7709837388887234e-57,True,5
s2__composite__ndwi__post_winter_baseline_mean,266.6441768340159,1.686941880165095e-56,True,5
s2__composite__b11__post_winter_baseline_std,266.5371886340389,1.778931885023859e-56,True,5
s2__composite__b8a__post_winter_baseline_std,264.66044822010747,4.514841299352921e-56,True,5
s2__composite__b12__prebattle_baseline_std,261.2387170069153,2.466341109947591e-55,True,5
s2__composite__b12__winter_baseline_std,260.5500395903567,3.47104197481427e-55,True,5
s2__composite__b8a__winter_baseline_std,256.971860897561,2.0487642427058375e-54,True,5
s2__composite__b8a__prebattle_baseline_std,255.5725604816669,4.1019770671034704e-54,True,5
s2__composite__b03__post_winter_baseline_mean,255.41159747847038,4.442980576692657e-54,True,5
s2__composite__b07__winter_baseline_std,252.9456123098602,1.5099957413803583e-53,True,5
s2__composite__b07__prebattle_baseline_std,249.22529615301107,9.55978084262587e-53,True,5
s2__composite__b05__winter_baseline_std,246.6699053309591,3.395501017458819e-52,True,5
s2__composite__b05__prebattle_baseline_std,246.65395758126309,3.42246504832649e-52,True,5
s2__composite__b07__post_winter_baseline_std,243.94012880726183,1.3148417102936611e-51,True,5
s2__composite__ndbi__post_winter_baseline_std,241.03744925878803,5.546590842365682e-51,True,5
s2__composite__b08__post_winter_baseline_std,240.85832909546843,6.061796934005222e-51,True,5
s2__composite__ndvi__post_winter_baseline_mean,237.77753138082403,2.7928241377091797e-50,True,5
s2__composite__ndbi__post_winter_baseline_max,231.76746627962154,5.496525271480187e-49,True,5
s2__composite__ndbi__prebattle_baseline_max,226.58944729109507,7.157360198073531e-48,True,5
s2__composite__ndwi__prebattle_baseline_mean,220.48379207790904,1.475099304441973e-46,True,5
s2__composite__ndbi__winter_baseline_max,219.39245509749605,2.5331826838675666e-46,True,5
