feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_max,18.231840748959872,0.0003939802101186419,True,4
s2__composite__mndwi__post_winter_baseline_std,17.022952173763915,0.0006991020663917785,True,4
s2__composite__ndwi__winter_baseline_std,14.909879963954237,0.0018953048959849724,True,4
s2__composite__ndwi__prebattle_baseline_std,14.909879963954237,0.0018953048959849724,True,4
s2__composite__b8a__prebattle_baseline_std,14.136978803163919,0.002724507795942278,True,4
s2__composite__b8a__winter_baseline_std,14.136978803163919,0.002724507795942278,True,4
s2__composite__b05__winter_baseline_std,14.039688844595304,0.0028516242023034323,True,4
s2__composite__b05__prebattle_baseline_std,14.039688844595304,0.0028516242023034323,True,4
s2__composite__ndbi__post_winter_baseline_std,13.313961074949999,0.004004575776914534,True,4
s2__composite__mndwi__winter_baseline_std,13.06256923545877,0.0045032312106711705,True,4
s2__composite__mndwi__prebattle_baseline_std,13.06256923545877,0.0045032312106711705,True,4
s2__composite__ndvi__prebattle_baseline_std,12.928682793800737,0.004793398909053108,True,4
s2__composite__ndvi__winter_baseline_std,12.928682793800737,0.004793398909053108,True,4
s2__composite__b04__post_winter_baseline_std,12.92785676754256,0.004795245352503878,True,4
s2__composite__b04__prebattle_baseline_std,12.573551811250969,0.005655742295315268,True,4
s2__composite__b04__winter_baseline_std,12.573551811250969,0.005655742295315268,True,4
s2__composite__mndwi__prebattle_baseline_max,12.134579051661698,0.006936084296500603,True,4
s2__composite__mndwi__winter_baseline_max,12.134579051661698,0.006936084296500603,True,4
s2__composite__b05__post_winter_baseline_std,11.10110631567533,0.011191531837251554,True,4
s2__composite__b02__winter_baseline_std,10.753192675354201,0.01313813431465643,True,4
s2__composite__b02__prebattle_baseline_std,10.753192675354201,0.01313813431465643,True,4
s2__composite__b08__post_winter_baseline_std,10.544898416020603,0.014459398061507247,True,4
s2__composite__b03__post_winter_baseline_std,10.53830986424171,0.014503258531798145,True,4
s2__composite__b02__post_winter_baseline_std,10.108303610290697,0.01766759761168775,True,4
s2__composite__ndwi__post_winter_baseline_max,9.716571312941166,0.021135590004793817,True,4
s2__composite__b04__post_winter_baseline_mean,9.473027987771445,0.023620035288410356,True,4
s2__composite__b02__winter_baseline_max,8.616391850143733,0.03485084760619565,True,4
s2__composite__b02__prebattle_baseline_max,8.616391850143733,0.03485084760619565,True,4
s2__composite__b03__prebattle_baseline_std,8.328175395363495,0.03969455461075846,True,4
s2__composite__b03__winter_baseline_std,8.328175395363495,0.03969455461075846,True,4
s2__composite__b03__post_winter_baseline_mean,8.073144947873232,0.04452396205984668,True,4
s2__composite__b12__prebattle_baseline_std,8.05275503800259,0.04493390781658305,True,4
s2__composite__b12__winter_baseline_std,8.05275503800259,0.04493390781658305,True,4
s2__composite__b08__prebattle_baseline_std,7.995408416904221,0.04610669524361847,True,4
s2__composite__b08__winter_baseline_std,7.995408416904221,0.04610669524361847,True,4
s2__composite__mndwi__prebattle_baseline_mean,7.968973582309949,0.04665729914985888,True,4
s2__composite__mndwi__winter_baseline_mean,7.968973582309949,0.04665729914985888,True,4
s2__composite__b08__post_winter_baseline_mean,7.948002232976686,0.04709865560997311,True,4
