feature,H_statistic,p_value,significant,n_groups
s2__composite__b04__post_winter_baseline_max,12.422567605241161,0.006067298980638949,True,4
s2__composite__b02__post_winter_baseline_max,12.159253489209705,0.006857066798445658,True,4
s2__composite__b03__post_winter_baseline_max,11.880096699956807,0.0078053907859316,True,4
s2__composite__ndbi__post_winter_baseline_max,11.634219916631892,0.008747213691583575,True,4
s2__composite__b05__post_winter_baseline_max,11.15160697398559,0.01093370072824379,True,4
s2__composite__b05__post_winter_baseline_std,10.516284780492136,0.014650834033501857,True,4
s2__composite__b11__post_winter_baseline_std,10.486914377930972,0.014849927698804633,True,4
s2__composite__b11__winter_baseline_std,10.41111967507942,0.015376105106877513,True,4
s2__composite__b11__prebattle_baseline_std,10.41111967507942,0.015376105106877513,True,4
s2__composite__b11__post_winter_baseline_max,10.220239830591343,0.0167838662714985,True,4
s2__composite__b02__post_winter_baseline_mean,10.178836020050646,0.017105561980120976,True,4
s2__composite__b8a__post_winter_baseline_std,10.073558930123495,0.01795109590541962,True,4
s2__composite__b04__post_winter_baseline_std,9.544836139703232,0.022859131951946127,True,4
s2__composite__b03__post_winter_baseline_mean,9.323445442359333,0.02528571514612277,True,4
s2__composite__mndwi__post_winter_baseline_mean,9.167213606627206,0.02714835220431997,True,4
s2__composite__b03__post_winter_baseline_std,9.116849243182097,0.027776984511405686,True,4
s2__composite__b04__post_winter_baseline_mean,9.00771003132226,0.029188552903403536,True,4
s2__composite__mndwi__post_winter_baseline_max,8.974674599573728,0.029629503434560098,True,4
s2__composite__ndbi__post_winter_baseline_std,8.92604913166829,0.03029043416396616,True,4
s2__composite__b08__post_winter_baseline_std,8.917890387887029,0.030402734963071824,True,4
s2__composite__b07__post_winter_baseline_std,8.346532853143735,0.03936736129716516,True,4
s2__composite__b05__winter_baseline_std,8.320933193151493,0.0398243643828285,True,4
s2__composite__b05__prebattle_baseline_std,8.320933193151493,0.0398243643828285,True,4
s2__composite__b05__post_winter_baseline_mean,8.026288497618802,0.045471514563127084,True,4
s2__composite__b04__prebattle_baseline_std,7.883743857174877,0.04847647689834235,True,4
s2__composite__b04__winter_baseline_std,7.883743857174877,0.04847647689834235,True,4
s2__composite__b12__post_winter_baseline_std,7.755910398418877,0.05133507502315063,False,4
s2__composite__ndwi__post_winter_baseline_max,7.717748763539127,0.05221976708618175,False,4
s2__composite__mndwi__post_winter_baseline_std,7.71150002763551,0.05236603543352299,False,4
s2__composite__b03__winter_baseline_std,7.661402635272727,0.05355318280582346,False,4
s2__composite__b03__prebattle_baseline_std,7.661402635272727,0.05355318280582346,False,4
s2__composite__cire__post_winter_baseline_mean,7.478461149041601,0.058114467528880824,False,4
s2__composite__b12__post_winter_baseline_max,7.467777826367688,0.05839218325020338,False,4
s2__composite__b08__prebattle_baseline_max,7.440041501840641,0.059119222076807226,False,4
s2__composite__b08__winter_baseline_max,7.440041501840641,0.059119222076807226,False,4
s2__composite__b02__post_winter_baseline_std,7.359133138123426,0.06129056457064566,False,4
s2__composite__ndbi__post_winter_baseline_mean,7.277092386996637,0.06357118392411049,False,4
s2__composite__ndre__post_winter_baseline_mean,7.0358508666918045,0.07076381965386054,False,4
s2__composite__b08__post_winter_baseline_max,6.79813282714815,0.07861801144194219,False,4
s2__composite__b03__winter_baseline_max,6.69689524262451,0.08221261736977048,False,4
s2__composite__b03__prebattle_baseline_max,6.69689524262451,0.08221261736977048,False,4
s2__composite__b07__prebattle_baseline_std,6.305498614277046,0.09765698297939836,False,4
s2__composite__b07__winter_baseline_std,6.305498614277046,0.09765698297939836,False,4
s2__composite__b12__winter_baseline_std,5.937790742168092,0.11467637975536782,False,4
s2__composite__b12__prebattle_baseline_std,5.937790742168092,0.11467637975536782,False,4
s2__composite__b02__prebattle_baseline_std,5.706377878723273,0.1268029819950562,False,4
s2__composite__b02__winter_baseline_std,5.706377878723273,0.1268029819950562,False,4
s2__composite__b11__winter_baseline_max,5.309313042194856,0.1504992221531721,False,4
s2__composite__b11__prebattle_baseline_max,5.309313042194856,0.1504992221531721,False,4
s2__composite__b05__prebattle_baseline_max,5.288635325579574,0.15184152978116955,False,4
s2__composite__b05__winter_baseline_max,5.288635325579574,0.15184152978116955,False,4
s2__composite__b8a__winter_baseline_std,5.257042254376573,0.1539142677546289,False,4
s2__composite__b8a__prebattle_baseline_std,5.257042254376573,0.1539142677546289,False,4
s2__composite__ndvi__post_winter_baseline_mean,5.251882007952955,0.15425534500745347,False,4
s2__composite__b8a__prebattle_baseline_max,5.251109231844699,0.15430648462468283,False,4
s2__composite__b8a__winter_baseline_max,5.251109231844699,0.15430648462468283,False,4
