feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_max,151.5180472133046,1.239609156245745e-32,True,4
s2__composite__b02__post_winter_baseline_max,149.06301696571208,4.19649666393603e-32,True,4
s2__composite__ndwi__post_winter_baseline_max,141.63098288188212,1.6818086301232173e-30,True,4
s2__composite__b03__post_winter_baseline_max,136.89128146580686,1.7688962957045938e-29,True,4
s2__composite__b04__post_winter_baseline_std,136.3128167674488,2.3572628604711097e-29,True,4
s2__composite__b03__post_winter_baseline_std,136.17504115755756,2.5241152081426205e-29,True,4
s2__composite__b12__post_winter_baseline_std,134.62891433172638,5.437541715636027e-29,True,4
s2__composite__b08__post_winter_baseline_std,132.18925547277254,1.824966668994908e-28,True,4
s2__composite__b02__post_winter_baseline_std,131.33511152852864,2.788323626728369e-28,True,4
s2__composite__b04__post_winter_baseline_max,126.62163609515001,2.890980904334812e-27,True,4
s2__composite__b05__post_winter_baseline_std,125.93019348572143,4.073985251061988e-27,True,4
s2__composite__b11__post_winter_baseline_std,122.57661899579051,2.150155820411583e-26,True,4
s2__composite__ndbi__post_winter_baseline_std,121.73068828877243,3.271008780998656e-26,True,4
s2__composite__b03__prebattle_baseline_std,120.3589696065433,6.458408571592889e-26,True,4
s2__composite__b11__prebattle_baseline_std,120.29169877886618,6.677497872270599e-26,True,4
s2__composite__b04__prebattle_baseline_std,120.25756549319934,6.791490256618281e-26,True,4
s2__composite__b12__prebattle_baseline_std,118.64867743270472,1.5081818684007076e-25,True,4
s2__composite__ndwi__winter_baseline_max,118.58316759259364,1.557976999458448e-25,True,4
s2__composite__b12__winter_baseline_std,118.48956689682973,1.63199013646804e-25,True,4
s2__composite__b04__winter_baseline_std,118.25868574820299,1.8299371876902553e-25,True,4
s2__composite__ndwi__prebattle_baseline_max,117.89817582245597,2.188103654352212e-25,True,4
s2__composite__b11__winter_baseline_std,117.46860302855134,2.707502941183057e-25,True,4
s2__composite__mndwi__post_winter_baseline_std,115.36722569799062,7.674025125272381e-25,True,4
s2__composite__b03__winter_baseline_std,114.85824565484613,9.876497454331682e-25,True,4
s2__composite__mndwi__post_winter_baseline_max,113.8102478282914,1.6604137648065823e-24,True,4
s2__composite__b07__post_winter_baseline_std,110.54460653926812,8.377785548269057e-24,True,4
s2__composite__b05__prebattle_baseline_std,106.48588335907326,6.258824547885153e-23,True,4
s2__composite__b05__winter_baseline_std,105.80627718693943,8.764003954831705e-23,True,4
s2__composite__b12__post_winter_baseline_max,105.32412146728424,1.112827454999379e-22,True,4
s2__composite__b8a__post_winter_baseline_std,103.29977625371487,3.0330051672542846e-22,True,4
s2__composite__b07__winter_baseline_std,102.5818454211599,4.327967724500198e-22,True,4
s2__composite__b02__winter_baseline_std,102.40564407680533,4.722581068680616e-22,True,4
s2__composite__b02__prebattle_baseline_std,101.69328939044811,6.720140400006093e-22,True,4
s2__composite__b07__prebattle_baseline_std,101.53232338554294,7.277701917685559e-22,True,4
s2__composite__b02__post_winter_baseline_mean,100.24670096702046,1.3754658050269247e-21,True,4
s2__composite__b08__winter_baseline_std,100.17026114585988,1.428519140006082e-21,True,4
s2__composite__b08__prebattle_baseline_std,99.30247155126833,2.1951873970347586e-21,True,4
s2__composite__b8a__winter_baseline_std,96.67495172707345,8.059769313925275e-21,True,4
s2__composite__b11__post_winter_baseline_max,96.3658956774443,9.391867519076184e-21,True,4
s2__composite__b8a__prebattle_baseline_std,96.14010393955208,1.0502263045825087e-20,True,4
s2__composite__ndre__post_winter_baseline_std,94.77533387985133,2.0634664162235578e-20,True,4
s2__composite__b04__winter_baseline_max,93.40862997949783,4.057740102359027e-20,True,4
s2__composite__b04__prebattle_baseline_max,93.40862997949783,4.057740102359027e-20,True,4
s2__composite__b03__winter_baseline_max,91.5424790570231,1.0214648485106781e-19,True,4
s2__composite__b03__prebattle_baseline_max,90.5025480055993,1.7084939697973927e-19,True,4
s2__composite__ndwi__post_winter_baseline_mean,88.40173432421975,4.828472043823681e-19,True,4
s2__composite__ndbi__post_winter_baseline_mean,87.41621858367752,7.860151972842193e-19,True,4
s2__composite__mndwi__winter_baseline_max,86.97197687421192,9.790728586299019e-19,True,4
s2__composite__mndwi__prebattle_baseline_max,86.97197687421192,9.790728586299019e-19,True,4
s2__composite__ndwi__post_winter_baseline_std,85.90310933890567,1.6607011867061937e-18,True,4
s2__composite__ndbi__prebattle_baseline_std,84.52496579898072,3.281854244385858e-18,True,4
s2__composite__b08__winter_baseline_max,84.16481035754455,3.9212096640130125e-18,True,4
s2__composite__ndbi__winter_baseline_std,84.07478668270822,4.09959926837307e-18,True,4
s2__composite__mndwi__winter_baseline_std,83.35255878897043,5.8578873330320044e-18,True,4
s2__composite__mndwi__prebattle_baseline_std,82.3852080126027,9.447628150550558e-18,True,4
