feature,H_statistic,p_value,significant,n_groups
s2__composite__ndbi__post_winter_baseline_max,89.60110637419854,2.6682839159748324e-19,True,4
s2__composite__b11__post_winter_baseline_std,84.50898847941384,3.307871332829638e-18,True,4
s2__composite__b11__prebattle_baseline_std,78.25616665488569,7.26165584923352e-17,True,4
s2__composite__b8a__post_winter_baseline_std,77.34232295886906,1.1402151185049877e-16,True,4
s2__composite__b11__winter_baseline_std,76.33931315826118,1.8707862617217495e-16,True,4
s2__composite__b12__post_winter_baseline_std,76.3334504911375,1.8762079749369472e-16,True,4
s2__composite__b08__prebattle_baseline_mean,70.48565497587184,3.3593891825840134e-15,True,4
s2__composite__b07__post_winter_baseline_std,68.5670624060633,8.650678993289246e-15,True,4
s2__composite__b8a__prebattle_baseline_std,68.01502567565502,1.1355791045357172e-14,True,4
s2__composite__ndwi__post_winter_baseline_max,67.90539514535222,1.1986239394575636e-14,True,4
s2__composite__b08__winter_baseline_mean,67.791832176687,1.2676216438661922e-14,True,4
s2__composite__b12__prebattle_baseline_std,65.16840195106718,4.616757665808541e-14,True,4
s2__composite__b8a__winter_baseline_std,64.50191240378108,6.410576307845216e-14,True,4
s2__composite__b08__post_winter_baseline_std,63.53580257352146,1.0315873389351226e-13,True,4
s2__composite__b8a__prebattle_baseline_mean,62.2060209340166,1.9852305776818267e-13,True,4
s2__composite__b12__winter_baseline_std,61.80538738342886,2.4179515092831866e-13,True,4
s2__composite__b05__post_winter_baseline_std,60.16514556004635,5.419555217488504e-13,True,4
s2__composite__b07__prebattle_baseline_std,60.05060154306633,5.733712128713814e-13,True,4
s2__composite__b07__winter_baseline_std,59.32565995217719,8.190337251850437e-13,True,4
s2__composite__b07__prebattle_baseline_mean,56.97428414645044,2.60256922096902e-12,True,4
s2__composite__b8a__winter_baseline_mean,56.37522324446871,3.493561717225476e-12,True,4
s2__composite__ndbi__post_winter_baseline_std,55.89286386497097,4.4280105854324275e-12,True,4
s2__composite__b07__winter_baseline_mean,54.840936611692484,7.424163685067071e-12,True,4
s2__composite__ndre__post_winter_baseline_std,54.21847145580106,1.0079096585878374e-11,True,4
s2__composite__ndwi__prebattle_baseline_max,53.052375949128816,1.786823863438886e-11,True,4
s2__composite__ndwi__winter_baseline_max,50.35546436187666,6.711111092610437e-11,True,4
s2__composite__ndbi__prebattle_baseline_max,48.56208879057716,1.616765570579554e-10,True,4
s2__composite__ndwi__post_winter_baseline_std,47.1067139609803,3.2986084875242997e-10,True,4
s2__composite__ndbi__post_winter_baseline_mean,46.8401990827675,3.758556519171041e-10,True,4
s2__composite__b05__prebattle_baseline_std,46.66102446369424,4.10326565226776e-10,True,4
s2__composite__mndwi__post_winter_baseline_max,46.117923298056276,5.353322385543913e-10,True,4
s2__composite__ndwi__post_winter_baseline_mean,45.147708750569215,8.607479176014572e-10,True,4
s2__composite__b12__prebattle_baseline_mean,44.49138751834656,1.1867183528911237e-09,True,4
s2__composite__mndwi__post_winter_baseline_std,44.22615528792805,1.3511346981560208e-09,True,4
s2__composite__ndbi__winter_baseline_max,42.59300627123451,3.0027196677199686e-09,True,4
s2__composite__b04__post_winter_baseline_std,42.572472713124505,3.0330075215086626e-09,True,4
