feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__post_winter_baseline_std,12.540443037315544,0.00574356015725845,True,4
s2__composite__ndwi__post_winter_baseline_std,10.627298953142782,0.013921759271855736,True,4
s2__composite__mndwi__winter_baseline_std,8.625559714033846,0.0347066574484903,True,4
s2__composite__mndwi__prebattle_baseline_std,8.625559714033846,0.0347066574484903,True,4
s2__composite__cire__post_winter_baseline_std,8.599019512236705,0.03512568354886254,True,4
s2__composite__b08__winter_baseline_std,8.4470950351682,0.037621172325237776,True,4
s2__composite__b08__prebattle_baseline_std,8.4470950351682,0.037621172325237776,True,4
s2__composite__ndwi__winter_baseline_std,8.434191339024764,0.03784093308538556,True,4
s2__composite__ndwi__prebattle_baseline_std,8.434191339024764,0.03784093308538556,True,4
s2__composite__ndbi__post_winter_baseline_std,8.337821207734443,0.03952230341473976,True,4
s2__composite__mndwi__post_winter_baseline_std,7.769004808707352,0.05103488245077742,False,4
s2__composite__b08__post_winter_baseline_max,7.37806343252141,0.06077570328343427,False,4
s2__composite__ndbi__winter_baseline_std,7.334808925127507,0.06195834000235196,False,4
s2__composite__ndbi__prebattle_baseline_std,7.334808925127507,0.06195834000235196,False,4
s2__composite__b08__post_winter_baseline_std,7.100837239599359,0.06875225909248218,False,4
s2__composite__ndre__post_winter_baseline_max,7.069709877495842,0.06970876167971181,False,4
s2__composite__b04__winter_baseline_std,6.926019566203292,0.074293537496612,False,4
s2__composite__b04__prebattle_baseline_std,6.926019566203292,0.074293537496612,False,4
s2__composite__b12__post_winter_baseline_mean,6.685772228791844,0.08261708578151512,False,4
s2__composite__ndvi__winter_baseline_std,6.1675719483549045,0.10373609033833399,False,4
s2__composite__ndvi__prebattle_baseline_std,6.1675719483549045,0.10373609033833399,False,4
s2__composite__cire__post_winter_baseline_max,5.210120534856269,0.1570420139639055,False,4
s2__composite__ndre__post_winter_baseline_mean,5.131999632648452,0.16238275568371305,False,4
s2__composite__b02__post_winter_baseline_std,5.067217567735174,0.16694079584175617,False,4
s2__composite__b8a__post_winter_baseline_max,4.76939109589106,0.18948351379962813,False,4
s2__composite__ndvi__post_winter_baseline_max,4.664138252940469,0.19810853522660535,False,4
s2__composite__ndre__winter_baseline_std,4.553765589954228,0.207544364674051,False,4
s2__composite__ndre__prebattle_baseline_std,4.553765589954228,0.207544364674051,False,4
s2__composite__b03__winter_baseline_std,4.33087693818176,0.22788091770186372,False,4
s2__composite__b03__prebattle_baseline_std,4.33087693818176,0.22788091770186372,False,4
s2__composite__b02__prebattle_baseline_std,4.30960330767869,0.22991504621512104,False,4
s2__composite__b02__winter_baseline_std,4.30960330767869,0.22991504621512104,False,4
s2__composite__cire__post_winter_baseline_mean,4.249484903082625,0.23575397108674379,False,4
s2__composite__b04__post_winter_baseline_std,4.196836800292352,0.2409787723279457,False,4
s2__composite__ndre__post_winter_baseline_std,4.189369528189992,0.24172835433134152,False,4
s2__composite__b11__post_winter_baseline_mean,4.088360542279036,0.25207950768798554,False,4
s2__composite__b8a__post_winter_baseline_std,3.8316585069810847,0.2802251283570658,False,4
s2__composite__b12__post_winter_baseline_max,3.630796745719844,0.30419021321493767,False,4
s2__composite__b03__post_winter_baseline_std,3.5968828139127864,0.3084124175099343,False,4
s2__composite__b02__post_winter_baseline_max,3.5511625066629784,0.3141868874049399,False,4
s2__composite__b02__post_winter_baseline_mean,3.450188551697643,0.3272801939787889,False,4
s2__composite__b07__post_winter_baseline_std,3.412337709676752,0.33231085962863427,False,4
s2__composite__ndre__winter_baseline_mean,3.1753829024369464,0.3653669740584855,False,4
