feature,H_statistic,p_value,significant,n_groups
s2__composite__b12__prebattle_baseline_max,48.451201082198416,1.7070604837240353e-10,True,4
s2__composite__b12__winter_baseline_max,48.451201082198416,1.7070604837240353e-10,True,4
s2__composite__b11__winter_baseline_max,48.03145102080473,2.0969153952277057e-10,True,4
s2__composite__b11__prebattle_baseline_max,48.03145102080473,2.0969153952277057e-10,True,4
s2__composite__b11__prebattle_baseline_mean,46.937488719438214,3.583664779209309e-10,True,4
s2__composite__b11__winter_baseline_mean,46.937488719438214,3.583664779209309e-10,True,4
s2__composite__ndbi__prebattle_baseline_mean,43.81962835022959,1.6483712619744532e-09,True,4
s2__composite__ndbi__winter_baseline_mean,43.81962835022959,1.6483712619744532e-09,True,4
s2__composite__b12__winter_baseline_mean,43.09797049801983,2.3459060529777044e-09,True,4
s2__composite__b12__prebattle_baseline_mean,43.09797049801983,2.3459060529777044e-09,True,4
s2__composite__ndbi__prebattle_baseline_max,40.62806295513916,7.841543146363625e-09,True,4
s2__composite__ndbi__winter_baseline_max,40.62806295513916,7.841543146363625e-09,True,4
s2__composite__b05__prebattle_baseline_mean,33.72961946187338,2.2594283740688746e-07,True,4
s2__composite__b05__winter_baseline_mean,33.72961946187338,2.2594283740688746e-07,True,4
s2__composite__b8a__winter_baseline_mean,26.644402649292772,6.98959830952531e-06,True,4
s2__composite__b8a__prebattle_baseline_mean,26.644402649292772,6.98959830952531e-06,True,4
s2__composite__b05__prebattle_baseline_max,25.987646865647413,9.594375590115665e-06,True,4
s2__composite__b05__winter_baseline_max,25.987646865647413,9.594375590115665e-06,True,4
s2__composite__b8a__winter_baseline_max,21.215707046158418,9.495630909631177e-05,True,4
s2__composite__b8a__prebattle_baseline_max,21.215707046158418,9.495630909631177e-05,True,4
s2__composite__mndwi__post_winter_baseline_mean,21.196693450259495,9.582394867937167e-05,True,4
s2__composite__b08__winter_baseline_mean,20.36718543045672,0.00014245070163158594,True,4
s2__composite__b08__prebattle_baseline_mean,20.36718543045672,0.00014245070163158594,True,4
s2__composite__b07__prebattle_baseline_mean,19.43243737238046,0.00022250404819068806,True,4
s2__composite__b07__winter_baseline_mean,19.43243737238046,0.00022250404819068806,True,4
s2__composite__b05__post_winter_baseline_std,19.42937352795581,0.00022282917727759158,True,4
s2__composite__mndwi__post_winter_baseline_max,18.22534932588405,0.00039519734197531093,True,4
s2__composite__b04__prebattle_baseline_mean,17.079636059789102,0.0006805829755002578,True,4
s2__composite__b04__winter_baseline_mean,17.079636059789102,0.0006805829755002578,True,4
s2__composite__b07__winter_baseline_max,16.4758739625008,0.0009056673025711165,True,4
s2__composite__b07__prebattle_baseline_max,16.4758739625008,0.0009056673025711165,True,4
s2__composite__b05__post_winter_baseline_max,16.3311778780059,0.0009697790873464757,True,4
s2__composite__b11__post_winter_baseline_mean,16.329185837000043,0.0009706924640525688,True,4
s2__composite__cire__prebattle_baseline_max,15.962732183553847,0.0011541097992244813,True,4
s2__composite__cire__winter_baseline_max,15.962732183553847,0.0011541097992244813,True,4
s2__composite__ndre__winter_baseline_mean,15.26071319865025,0.001606876759864215,True,4
s2__composite__ndre__prebattle_baseline_mean,15.26071319865025,0.001606876759864215,True,4
s2__composite__b08__post_winter_baseline_std,13.890833247072864,0.0030575767777446974,True,4
s2__composite__cire__prebattle_baseline_mean,13.337133988186629,0.003961460676383704,True,4
s2__composite__cire__winter_baseline_mean,13.337133988186629,0.003961460676383704,True,4
s2__composite__b04__winter_baseline_max,13.215893278316416,0.004192240775868832,True,4
s2__composite__b04__prebattle_baseline_max,13.215893278316416,0.004192240775868832,True,4
s2__composite__ndre__prebattle_baseline_max,13.108103533216598,0.004408562959744338,True,4
s2__composite__ndre__winter_baseline_max,13.108103533216598,0.004408562959744338,True,4
s2__composite__b12__post_winter_baseline_mean,12.766333107542863,0.005170163440103984,True,4
s2__composite__b03__prebattle_baseline_mean,12.015241159593712,0.0073311326715865925,True,4
s2__composite__b03__winter_baseline_mean,12.015241159593712,0.0073311326715865925,True,4
s2__composite__b05__post_winter_baseline_mean,11.892704890893853,0.007759893081669287,True,4
s2__composite__b02__winter_baseline_mean,11.82189337565597,0.008018860868931318,True,4
s2__composite__b02__prebattle_baseline_mean,11.82189337565597,0.008018860868931318,True,4
s2__composite__b03__prebattle_baseline_max,11.346582126294985,0.009992075025615407,True,4
s2__composite__b03__winter_baseline_max,11.346582126294985,0.009992075025615407,True,4
s2__composite__b04__post_winter_baseline_std,10.379979251991772,0.01559756593387586,True,4
s2__composite__ndre__post_winter_baseline_mean,9.75324953402408,0.020784369274463834,True,4
s2__composite__mndwi__winter_baseline_std,9.710749612310948,0.021191870374968207,True,4
s2__composite__mndwi__prebattle_baseline_std,9.710749612310948,0.021191870374968207,True,4
s2__composite__b08__winter_baseline_max,9.582118483093598,0.022473615091770795,True,4
s2__composite__b08__prebattle_baseline_max,9.582118483093598,0.022473615091770795,True,4
s2__composite__mndwi__post_winter_baseline_std,9.53767607425051,0.022933909733512697,True,4
s2__composite__ndwi__post_winter_baseline_max,9.321625862657527,0.02530667003160172,True,4
s2__composite__b03__post_winter_baseline_max,9.211640723702809,0.026605413823693504,True,4
s2__composite__ndwi__prebattle_baseline_max,9.140667478442989,0.02747793521555231,True,4
s2__composite__ndwi__winter_baseline_max,9.140667478442989,0.02747793521555231,True,4
s2__composite__cire__post_winter_baseline_max,8.874133520001918,0.031012013845906534,True,4
s2__composite__b02__post_winter_baseline_std,8.86295008018683,0.031169641578051,True,4
s2__composite__b8a__post_winter_baseline_max,8.709649677184927,0.03341102590632034,True,4
s2__composite__b11__post_winter_baseline_max,8.700085827944488,0.033555965211167216,True,4
s2__composite__b02__winter_baseline_max,8.553968668450503,0.03584830820984194,True,4
s2__composite__b02__prebattle_baseline_max,8.553968668450503,0.03584830820984194,True,4
s2__composite__b04__post_winter_baseline_max,8.380120231111045,0.03877551869891922,True,4
s2__composite__b03__post_winter_baseline_std,8.371750609647629,0.038922182019014887,True,4
s2__composite__b03__prebattle_baseline_std,8.349635474088387,0.03931232251898529,True,4
s2__composite__b03__winter_baseline_std,8.349635474088387,0.03931232251898529,True,4
s2__composite__ndvi__prebattle_baseline_mean,8.184667164064194,0.042345452067636125,True,4
s2__composite__ndvi__winter_baseline_mean,8.184667164064194,0.042345452067636125,True,4
s2__composite__ndbi__post_winter_baseline_std,8.13639055449454,0.04327544030438224,True,4
s2__composite__b8a__post_winter_baseline_mean,7.859796484296286,0.04899992407846317,True,4
s2__composite__ndvi__post_winter_baseline_std,7.837466998329464,0.04949296013823775,True,4
s2__composite__ndre__post_winter_baseline_std,7.584063665646601,0.055437386396904396,False,4
s2__composite__cire__post_winter_baseline_mean,7.519895736746859,0.057049443073111245,False,4
s2__composite__b11__post_winter_baseline_std,7.054661409848183,0.07017578492328104,False,4
s2__composite__ndre__post_winter_baseline_max,6.939190381864362,0.07386144625460384,False,4
s2__composite__b07__post_winter_baseline_max,6.930837696206051,0.07413518793522664,False,4
s2__composite__b03__post_winter_baseline_mean,6.775942896097563,0.07939268927923221,False,4
s2__composite__b08__post_winter_baseline_mean,6.754075481455894,0.08016330896188377,False,4
s2__composite__ndvi__post_winter_baseline_mean,6.724095921145447,0.08123153883218799,False,4
s2__composite__b12__winter_baseline_std,6.534525624388231,0.08831079812673741,False,4
s2__composite__b12__prebattle_baseline_std,6.534525624388231,0.08831079812673741,False,4
s2__composite__ndwi__post_winter_baseline_mean,6.534161382857294,0.08832495560313383,False,4
s2__composite__b12__post_winter_baseline_max,6.455019709340868,0.09145339468312129,False,4
s2__composite__ndwi__prebattle_baseline_mean,6.277419775899563,0.09886617210261335,False,4
s2__composite__ndwi__winter_baseline_mean,6.277419775899563,0.09886617210261335,False,4
s2__composite__ndvi__prebattle_baseline_max,6.146334678091292,0.10470376103333981,False,4
s2__composite__ndvi__winter_baseline_max,6.146334678091292,0.10470376103333981,False,4
s2__composite__cire__post_winter_baseline_std,6.062748897265028,0.10859694567655316,False,4
s2__composite__ndvi__post_winter_baseline_max,5.992902918118148,0.11195602454505738,False,4
s2__composite__b04__post_winter_baseline_mean,5.872159240111545,0.11799834237480035,False,4
s2__composite__b07__post_winter_baseline_mean,5.854116409246582,0.11892755803635051,False,4
s2__composite__b04__prebattle_baseline_std,5.799606642804151,0.1217774163194288,False,4
s2__composite__b04__winter_baseline_std,5.799606642804151,0.1217774163194288,False,4
s2__composite__b12__post_winter_baseline_std,5.735227776719732,0.1252270821185872,False,4
s2__composite__ndwi__prebattle_baseline_std,5.084823673540612,0.16569027197540517,False,4
