feature,VIF
s2__composite__mndwi__post_winter_baseline_mean,27888.909791355803
s2__composite__ndbi__post_winter_baseline_mean,16927.776490864166
s2__composite__b03__post_winter_baseline_mean,8708.298103050913
s2__composite__b04__post_winter_baseline_mean,8534.892000166656
s2__composite__ndwi__post_winter_baseline_mean,3912.4047924011907
s2__composite__b8a__post_winter_baseline_max,2032.6795246789989
s2__composite__b07__post_winter_baseline_max,2031.3720553677454
s2__composite__b05__post_winter_baseline_max,1513.0111259285538
s2__composite__mndwi__post_winter_baseline_max,1354.6176187234307
s2__composite__b03__post_winter_baseline_max,1227.8137373288773
s2__composite__ndvi__post_winter_baseline_mean,883.1789052667808
s2__composite__b02__post_winter_baseline_mean,800.5719859888023
s2__composite__b04__post_winter_baseline_max,795.5700221159742
s2__composite__b8a__prebattle_baseline_mean,660.1405507576902
s2__composite__b02__post_winter_baseline_max,608.6459269315736
s2__composite__b07__prebattle_baseline_mean,599.5212282874986
s2__composite__b05__post_winter_baseline_mean,483.436048019505
s2__composite__ndre__post_winter_baseline_mean,400.6750026519786
s2__composite__b08__post_winter_baseline_max,349.93746393024765
s2__composite__cire__post_winter_baseline_mean,249.25235030821275
s2__composite__ndre__prebattle_baseline_mean,208.56512168772224
s2__composite__b03__post_winter_baseline_std,189.74264179490223
s2__composite__cire__prebattle_baseline_mean,147.69761417506632
s2__composite__b08__post_winter_baseline_std,102.6046229305325
s2__composite__b8a__post_winter_baseline_std,94.29170912794032
s2__composite__b07__post_winter_baseline_std,91.02198016313383
s2__composite__b04__post_winter_baseline_std,82.56355891502307
s2__composite__b02__post_winter_baseline_std,60.30820524005707
s2__composite__mndwi__post_winter_baseline_std,59.034534506705974
s2__composite__b05__post_winter_baseline_std,57.63145465350147
s2__composite__ndbi__post_winter_baseline_std,32.668495964383375
s2__composite__ndwi__prebattle_baseline_mean,28.13307308378999
s2__composite__ndwi__post_winter_baseline_max,25.946811706375865
s2__composite__ndvi__prebattle_baseline_mean,20.69189716990803
s2__composite__b11__post_winter_baseline_mean,16.17361023674729
s2__composite__b07__prebattle_baseline_std,11.65232265043328
s2__composite__ndwi__prebattle_baseline_max,10.829874406706972
s2__composite__b8a__prebattle_baseline_std,10.11389354269983
s2__composite__b08__prebattle_baseline_std,9.903109239017832
s2__composite__ndbi__prebattle_baseline_std,9.788532768470814
s2__composite__mndwi__prebattle_baseline_max,9.27843434153076
s2__composite__ndbi__prebattle_baseline_max,6.358845495775832
s2__composite__b12__post_winter_baseline_std,5.621045740145677
s2__composite__b11__post_winter_baseline_std,5.063301833852218
s2__composite__b05__prebattle_baseline_std,4.2297653042948635
s2__composite__ndre__prebattle_baseline_std,4.195276241228295
s2__composite__cire__prebattle_baseline_std,3.9058567676774114
s2__composite__b11__prebattle_baseline_std,3.302857958869511
s2__composite__b12__prebattle_baseline_std,2.5563261169255216
s2__composite__ndre__post_winter_baseline_std,2.131689171080857
