feature,VIF
s2__composite__b04__post_winter_baseline_mean,1726.7742993417953
s2__composite__b03__post_winter_baseline_mean,1644.4056818798517
s2__composite__b03__post_winter_baseline_max,754.0422715608943
s2__composite__b05__post_winter_baseline_max,582.5665577950523
s2__composite__b04__post_winter_baseline_max,573.0041794491526
s2__composite__b05__post_winter_baseline_mean,476.99568283684425
s2__composite__b12__prebattle_baseline_max,368.8912392784679
s2__composite__b11__prebattle_baseline_max,340.8745215495369
s2__composite__b11__prebattle_baseline_mean,276.85685482294383
s2__composite__b12__prebattle_baseline_mean,264.35901094825226
s2__composite__ndwi__post_winter_baseline_mean,250.75069491591387
s2__composite__ndvi__post_winter_baseline_mean,201.08722406727273
s2__composite__b11__post_winter_baseline_max,149.05023935106206
s2__composite__b02__post_winter_baseline_max,143.97361690174273
s2__composite__b03__post_winter_baseline_std,118.77216093667548
s2__composite__mndwi__post_winter_baseline_max,108.23966339338325
s2__composite__b12__post_winter_baseline_max,87.50433893892958
s2__composite__ndbi__post_winter_baseline_mean,70.23353445914032
s2__composite__ndbi__prebattle_baseline_mean,67.1915350452115
s2__composite__b04__post_winter_baseline_std,62.630157860023616
s2__composite__b11__prebattle_baseline_std,62.13149664685004
s2__composite__b12__prebattle_baseline_std,60.58543356422394
s2__composite__b08__prebattle_baseline_mean,50.9507227362242
s2__composite__b05__post_winter_baseline_std,49.665404302755654
s2__composite__ndbi__prebattle_baseline_max,45.25603894530554
s2__composite__ndbi__post_winter_baseline_max,39.79489441732534
s2__composite__b07__post_winter_baseline_std,35.24558242731399
s2__composite__b02__post_winter_baseline_std,32.99662417018647
s2__composite__b11__post_winter_baseline_std,32.64371157674992
s2__composite__b8a__post_winter_baseline_std,31.41234194995637
s2__composite__b12__post_winter_baseline_std,27.042636157236775
s2__composite__ndre__post_winter_baseline_mean,25.259761416699686
s2__composite__b07__prebattle_baseline_std,23.88419815929148
s2__composite__b08__prebattle_baseline_std,21.421828890726673
s2__composite__mndwi__post_winter_baseline_std,21.304561938208202
s2__composite__b8a__prebattle_baseline_std,20.742850169981047
s2__composite__cire__post_winter_baseline_mean,20.48060188337093
s2__composite__b08__post_winter_baseline_std,20.255640795978618
s2__composite__ndwi__post_winter_baseline_max,20.19639539685684
s2__composite__b03__prebattle_baseline_std,18.97995761908689
s2__composite__b04__prebattle_baseline_std,15.912178911844881
s2__composite__ndbi__post_winter_baseline_std,15.41385360155158
s2__composite__ndbi__prebattle_baseline_std,15.078914010797737
s2__composite__b05__prebattle_baseline_std,11.596966695770668
s2__composite__mndwi__prebattle_baseline_std,7.190832039165323
s2__composite__ndwi__prebattle_baseline_std,5.211772165788254
s2__composite__ndvi__prebattle_baseline_std,4.721888531407679
s2__composite__ndre__prebattle_baseline_std,4.703077831454331
s2__composite__cire__prebattle_baseline_std,3.7477454193953084
s2__composite__ndre__post_winter_baseline_std,2.2794417473882533
