feature,VIF
s2__composite__b03__post_winter_baseline_max,192.16481178247486
s2__composite__b03__prebattle_baseline_max,188.57724017439085
s2__composite__b03__prebattle_baseline_std,164.18081363221165
s2__composite__b03__post_winter_baseline_std,148.4326698521307
s2__composite__b02__post_winter_baseline_max,104.07897225399643
s2__composite__b02__prebattle_baseline_max,102.84781012179815
s2__composite__ndwi__post_winter_baseline_mean,96.56608369877819
s2__composite__b12__prebattle_baseline_max,94.49185678656738
s2__composite__b11__prebattle_baseline_max,92.68355509524139
s2__composite__b04__post_winter_baseline_max,92.32793450496618
s2__composite__b04__prebattle_baseline_max,90.39537357466571
s2__composite__b02__prebattle_baseline_std,80.15960716658071
s2__composite__ndvi__post_winter_baseline_mean,79.360971369028
s2__composite__b02__post_winter_baseline_std,77.93399934166247
s2__composite__b11__post_winter_baseline_max,77.37773864817719
s2__composite__b12__post_winter_baseline_max,65.81816456441516
s2__composite__ndwi__prebattle_baseline_mean,64.67525421509858
s2__composite__b11__prebattle_baseline_std,62.920355515244125
s2__composite__ndre__post_winter_baseline_mean,58.96109967034714
s2__composite__b12__prebattle_baseline_std,58.57279602875134
s2__composite__ndvi__prebattle_baseline_mean,57.16216783519826
s2__composite__mndwi__post_winter_baseline_max,52.64107436434589
s2__composite__b04__prebattle_baseline_std,51.071690732861214
s2__composite__b05__prebattle_baseline_max,49.79562611490405
s2__composite__b04__post_winter_baseline_std,48.467827867839496
s2__composite__b05__post_winter_baseline_max,46.55975365370883
s2__composite__mndwi__prebattle_baseline_max,44.78264725077664
s2__composite__ndre__prebattle_baseline_mean,40.84169600269579
s2__composite__b05__prebattle_baseline_std,39.30543174724345
s2__composite__b11__post_winter_baseline_std,39.268150845821054
s2__composite__cire__post_winter_baseline_mean,38.04238354386716
s2__composite__b07__prebattle_baseline_std,35.63607590073435
s2__composite__b08__prebattle_baseline_std,35.580624736656794
s2__composite__b8a__prebattle_baseline_std,33.22142291614258
s2__composite__mndwi__prebattle_baseline_std,32.982607806572815
s2__composite__mndwi__post_winter_baseline_std,32.26457925386211
s2__composite__b12__post_winter_baseline_std,30.974529296359176
s2__composite__b05__post_winter_baseline_std,28.419375821617574
s2__composite__cire__prebattle_baseline_mean,26.21271677889249
s2__composite__ndbi__post_winter_baseline_mean,25.265488127700245
s2__composite__b04__prebattle_baseline_mean,24.92631137122205
s2__composite__b07__post_winter_baseline_std,24.558422755191007
s2__composite__b8a__post_winter_baseline_std,22.884630977288204
s2__composite__ndbi__prebattle_baseline_std,22.815542925312528
s2__composite__b08__post_winter_baseline_std,21.732499017478155
s2__composite__ndbi__post_winter_baseline_std,19.505679476436196
s2__composite__ndbi__post_winter_baseline_max,18.723988227711214
s2__composite__ndbi__prebattle_baseline_max,15.755471328072145
s2__composite__ndwi__prebattle_baseline_max,14.428610534796341
s2__composite__ndwi__post_winter_baseline_max,13.680999953813613
