feature,VIF
s2__composite__b8a__prebattle_baseline_mean,5112.9950106620445
s2__composite__b07__prebattle_baseline_mean,5044.322840704462
s2__composite__b04__prebattle_baseline_mean,4838.297075269042
s2__composite__b05__prebattle_baseline_mean,3876.5331200277124
s2__composite__b03__prebattle_baseline_mean,3106.521524016395
s2__composite__mndwi__prebattle_baseline_mean,2587.4589698550976
s2__composite__b07__prebattle_baseline_max,2537.653225781135
s2__composite__b8a__prebattle_baseline_max,1980.0074483509768
s2__composite__ndbi__prebattle_baseline_mean,1643.6415789236291
s2__composite__b05__prebattle_baseline_max,1441.9504750338178
s2__composite__b03__prebattle_baseline_max,1246.2900267597965
s2__composite__b08__prebattle_baseline_mean,1160.1387736106863
s2__composite__ndre__prebattle_baseline_mean,948.294346241451
s2__composite__b11__prebattle_baseline_max,925.5899075834395
s2__composite__b04__prebattle_baseline_max,879.9381028467191
s2__composite__b11__prebattle_baseline_mean,858.2647248562884
s2__composite__mndwi__prebattle_baseline_max,682.3344707622733
s2__composite__b02__prebattle_baseline_max,679.0497950209952
s2__composite__b02__prebattle_baseline_mean,663.0127936539557
s2__composite__ndwi__prebattle_baseline_mean,662.0215092888861
s2__composite__b12__prebattle_baseline_max,627.1440935247041
s2__composite__b12__prebattle_baseline_mean,516.2650656415949
s2__composite__cire__prebattle_baseline_mean,492.36524765122107
s2__composite__ndvi__prebattle_baseline_mean,485.5177663851374
s2__composite__ndre__prebattle_baseline_max,460.73647078573805
s2__composite__cire__prebattle_baseline_max,346.22995065706704
s2__composite__b08__prebattle_baseline_max,326.4853408299605
s2__composite__b03__prebattle_baseline_std,225.79001568006186
s2__composite__b07__prebattle_baseline_std,213.8215298365202
s2__composite__b8a__prebattle_baseline_std,178.0829534563271
s2__composite__b04__prebattle_baseline_std,142.14417045921388
s2__composite__b08__prebattle_baseline_std,113.35513784429328
s2__composite__b05__prebattle_baseline_std,97.98623595839099
s2__composite__ndbi__prebattle_baseline_max,95.22716408485182
s2__composite__ndvi__prebattle_baseline_max,92.00147094727933
s2__composite__b02__prebattle_baseline_std,88.99612512425631
s2__composite__ndwi__prebattle_baseline_max,72.76329388005789
s2__composite__b12__prebattle_baseline_std,69.63003226236313
s2__composite__b11__prebattle_baseline_std,66.71550492876412
s2__composite__mndwi__prebattle_baseline_std,46.70769526879948
s2__composite__ndbi__prebattle_baseline_std,35.33833129323432
s2__composite__cire__prebattle_baseline_std,20.48137670354656
s2__composite__ndre__prebattle_baseline_std,19.434945335590047
s2__composite__ndvi__prebattle_baseline_std,12.17417119178087
s2__composite__ndwi__prebattle_baseline_std,10.017074025789956
s2__composite__b02__post_winter_baseline_mean,1.0
s2__composite__b02__post_winter_baseline_max,1.0
s2__composite__b03__post_winter_baseline_mean,1.0
s2__composite__b02__post_winter_baseline_std,0.06541725728239679
s2__composite__b03__post_winter_baseline_std,0.011332968963449328
