feature,VIF
s2__composite__b11__prebattle_baseline_max,634.0904747703815
s2__composite__b11__prebattle_baseline_mean,561.7415709688163
s2__composite__b12__prebattle_baseline_max,477.36665416494833
s2__composite__b04__post_winter_baseline_mean,395.54184307685335
s2__composite__b12__prebattle_baseline_mean,383.6994693771815
s2__composite__b03__post_winter_baseline_mean,382.1868896304899
s2__composite__ndwi__post_winter_baseline_mean,314.2857996780906
s2__composite__ndvi__post_winter_baseline_mean,284.8726889232067
s2__composite__b03__post_winter_baseline_max,255.10124526292913
s2__composite__b03__prebattle_baseline_max,238.0091595286651
s2__composite__b04__prebattle_baseline_max,224.45501394577502
s2__composite__cire__post_winter_baseline_max,199.27938331712377
s2__composite__b04__post_winter_baseline_max,191.17859742491788
s2__composite__b03__prebattle_baseline_mean,182.78571197574712
s2__composite__ndre__post_winter_baseline_mean,180.78747570208688
s2__composite__ndre__post_winter_baseline_max,180.53311950639255
s2__composite__b05__post_winter_baseline_max,164.12427795291822
s2__composite__b02__post_winter_baseline_max,162.45488607429428
s2__composite__cire__post_winter_baseline_mean,161.77129905353058
s2__composite__b04__prebattle_baseline_mean,140.37958718785177
s2__composite__b05__post_winter_baseline_mean,122.68282530292822
s2__composite__b03__post_winter_baseline_std,95.36488838566686
s2__composite__b02__prebattle_baseline_mean,87.3604253199092
s2__composite__b02__post_winter_baseline_mean,72.9578684548995
s2__composite__b05__prebattle_baseline_mean,71.64856496546894
s2__composite__b04__post_winter_baseline_std,67.78856944357487
s2__composite__ndwi__post_winter_baseline_max,63.27214656041661
s2__composite__b02__prebattle_baseline_max,60.4633532184667
s2__composite__b05__prebattle_baseline_max,59.18414591204766
s2__composite__b02__post_winter_baseline_std,49.92999244713104
s2__composite__b03__prebattle_baseline_std,47.055138013988
s2__composite__mndwi__post_winter_baseline_max,46.1671170776164
s2__composite__b04__prebattle_baseline_std,45.21481475574404
s2__composite__b12__prebattle_baseline_std,40.99179705090334
s2__composite__b11__prebattle_baseline_std,37.59488116544755
s2__composite__b05__post_winter_baseline_std,28.749522750634245
s2__composite__ndvi__post_winter_baseline_max,26.70078634578508
s2__composite__ndbi__post_winter_baseline_max,24.606606445548938
s2__composite__b08__post_winter_baseline_std,18.702379036434653
s2__composite__b07__post_winter_baseline_std,18.021042432877124
s2__composite__cire__post_winter_baseline_std,17.855054274328907
s2__composite__ndre__post_winter_baseline_std,16.1681811814266
s2__composite__b8a__post_winter_baseline_std,15.535221648407465
s2__composite__b11__post_winter_baseline_std,15.452921171469102
s2__composite__ndwi__post_winter_baseline_std,14.077680804353506
s2__composite__ndbi__post_winter_baseline_std,13.21848453017602
s2__composite__mndwi__post_winter_baseline_std,12.238154440548435
s2__composite__ndbi__prebattle_baseline_mean,10.842158174786476
s2__composite__ndbi__prebattle_baseline_max,10.087653203695922
s2__composite__b12__post_winter_baseline_std,9.159791730631502
