feature,VIF
s2__composite__b04__prebattle_baseline_mean,3299.5912544080347
s2__composite__b05__prebattle_baseline_mean,2261.0505698030834
s2__composite__b03__prebattle_baseline_mean,2155.6956561003185
s2__composite__b8a__prebattle_baseline_mean,2115.4210119432764
s2__composite__b07__prebattle_baseline_mean,1679.2844897713642
s2__composite__mndwi__prebattle_baseline_mean,1365.6691740535528
s2__composite__b03__prebattle_baseline_max,1172.2771218811324
s2__composite__b07__prebattle_baseline_max,909.4105450878368
s2__composite__b08__prebattle_baseline_mean,856.4571185801888
s2__composite__b04__prebattle_baseline_max,856.0752249513015
s2__composite__ndbi__prebattle_baseline_mean,846.4414560661317
s2__composite__b05__prebattle_baseline_max,787.1310680232717
s2__composite__b8a__prebattle_baseline_max,765.9359168108166
s2__composite__b02__prebattle_baseline_max,632.0655634622391
s2__composite__ndwi__prebattle_baseline_mean,559.6961647613956
s2__composite__b02__prebattle_baseline_mean,534.4895062707362
s2__composite__ndre__prebattle_baseline_mean,493.80002830104746
s2__composite__b11__prebattle_baseline_max,485.2753133771977
s2__composite__b11__prebattle_baseline_mean,458.14198458003835
s2__composite__ndvi__prebattle_baseline_mean,445.7447945191022
s2__composite__mndwi__prebattle_baseline_max,435.5501620459264
s2__composite__b12__prebattle_baseline_max,373.6587837616774
s2__composite__b12__prebattle_baseline_mean,285.13970478739094
s2__composite__b08__prebattle_baseline_max,268.71004681781864
s2__composite__cire__prebattle_baseline_mean,251.10697533977407
s2__composite__ndre__prebattle_baseline_max,213.09949748248408
s2__composite__b03__prebattle_baseline_std,184.26167247658057
s2__composite__cire__prebattle_baseline_max,177.63007344105665
s2__composite__b04__prebattle_baseline_std,120.95997140149603
s2__composite__ndvi__prebattle_baseline_max,100.81541724615286
s2__composite__ndbi__prebattle_baseline_max,82.50384065730645
s2__composite__b07__prebattle_baseline_std,82.02152548939283
s2__composite__ndwi__prebattle_baseline_max,80.72880773706001
s2__composite__b08__prebattle_baseline_std,76.29956957144611
s2__composite__b02__prebattle_baseline_std,73.35368303278635
s2__composite__b8a__prebattle_baseline_std,72.70152626602894
s2__composite__b05__prebattle_baseline_std,57.74598524840564
s2__composite__b12__prebattle_baseline_std,46.61872140120659
s2__composite__b11__prebattle_baseline_std,45.44863229411011
s2__composite__mndwi__prebattle_baseline_std,30.660715525359397
s2__composite__ndbi__prebattle_baseline_std,22.299299795999755
s2__composite__ndvi__prebattle_baseline_std,14.703979429600311
s2__composite__cire__prebattle_baseline_std,14.6616844305265
s2__composite__ndre__prebattle_baseline_std,13.543512398961525
s2__composite__ndwi__prebattle_baseline_std,11.727793942979478
s2__composite__b02__post_winter_baseline_mean,1.0
s2__composite__b02__post_winter_baseline_max,1.0
s2__composite__b03__post_winter_baseline_mean,1.0
s2__composite__b03__post_winter_baseline_std,0.002890813323211741
s2__composite__b02__post_winter_baseline_std,0.0009605991704826491
