feature,VIF
s2__composite__b03__post_winter_baseline_max,356.52546950002903
s2__composite__b03__prebattle_baseline_max,349.6716896675393
s2__composite__ndwi__post_winter_baseline_mean,284.96578743470656
s2__composite__b04__post_winter_baseline_max,272.2847732202993
s2__composite__b04__prebattle_baseline_max,251.0938165170275
s2__composite__ndwi__prebattle_baseline_mean,226.18083145062832
s2__composite__b02__post_winter_baseline_max,189.2910521783859
s2__composite__b03__post_winter_baseline_std,164.03879354487268
s2__composite__b02__prebattle_baseline_max,159.17784795772266
s2__composite__b03__prebattle_baseline_std,145.8210763851658
s2__composite__ndvi__prebattle_baseline_mean,142.2046745441311
s2__composite__mndwi__post_winter_baseline_max,125.61161206557536
s2__composite__mndwi__prebattle_baseline_max,124.05481833527924
s2__composite__ndvi__post_winter_baseline_mean,121.35775989827788
s2__composite__mndwi__post_winter_baseline_mean,111.43630583731955
s2__composite__ndwi__prebattle_baseline_max,92.14480073886709
s2__composite__b04__post_winter_baseline_std,91.07006635075118
s2__composite__b02__post_winter_baseline_std,89.69391307034198
s2__composite__ndbi__post_winter_baseline_mean,86.31997551704548
s2__composite__b04__prebattle_baseline_std,84.05517204874819
s2__composite__b02__prebattle_baseline_std,83.38143450890477
s2__composite__ndre__prebattle_baseline_mean,59.73054224836206
s2__composite__ndre__post_winter_baseline_mean,58.63510317237809
s2__composite__ndbi__prebattle_baseline_mean,46.12680663047284
s2__composite__cire__prebattle_baseline_mean,45.57702316720582
s2__composite__cire__post_winter_baseline_mean,42.27290891404751
s2__composite__ndwi__post_winter_baseline_max,37.044441033349344
s2__composite__mndwi__post_winter_baseline_std,33.3412272613006
s2__composite__b8a__post_winter_baseline_std,32.95502796562509
s2__composite__ndbi__prebattle_baseline_max,32.55015030266033
s2__composite__b07__post_winter_baseline_std,32.3214529513009
s2__composite__b02__post_winter_baseline_mean,31.89474408653093
s2__composite__b07__prebattle_baseline_std,29.198731207109773
s2__composite__b8a__prebattle_baseline_std,27.6887191067543
s2__composite__mndwi__prebattle_baseline_std,25.868956869515678
s2__composite__ndbi__post_winter_baseline_max,23.769471973433863
s2__composite__b11__post_winter_baseline_std,22.975275085824826
s2__composite__b12__prebattle_baseline_std,20.574591905958005
s2__composite__b11__prebattle_baseline_std,20.148159396939555
s2__composite__b08__prebattle_baseline_std,19.2015465089558
s2__composite__b05__post_winter_baseline_std,17.403169144856836
s2__composite__b12__post_winter_baseline_std,17.25460370270146
s2__composite__b05__prebattle_baseline_std,14.98574197242841
s2__composite__b08__post_winter_baseline_std,14.972617420620535
s2__composite__b12__prebattle_baseline_max,11.249114927101576
s2__composite__ndbi__prebattle_baseline_std,10.884966832804137
s2__composite__ndre__prebattle_baseline_std,9.961648961970514
s2__composite__ndwi__prebattle_baseline_std,9.247244263389302
s2__composite__cire__prebattle_baseline_std,7.514092785192927
s2__composite__ndre__post_winter_baseline_std,4.014055462358748
