feature,VIF
s2__composite__b03__post_winter_baseline_max,187.24629055241417
s2__composite__b03__prebattle_baseline_max,155.6840805581677
s2__composite__b03__prebattle_baseline_std,146.69039635102433
s2__composite__b03__post_winter_baseline_std,145.49550586678663
s2__composite__b02__post_winter_baseline_max,105.0789761342613
s2__composite__b04__post_winter_baseline_max,92.45928037528624
s2__composite__ndwi__post_winter_baseline_mean,91.60714427705236
s2__composite__b02__prebattle_baseline_max,91.25620797518363
s2__composite__b04__prebattle_baseline_max,86.00701568325245
s2__composite__b02__post_winter_baseline_std,78.99093629001776
s2__composite__ndvi__post_winter_baseline_mean,75.2213566724991
s2__composite__b02__prebattle_baseline_std,72.74799208214294
s2__composite__b12__prebattle_baseline_max,59.89140198926257
s2__composite__b08__prebattle_baseline_std,54.18484709590092
s2__composite__b04__prebattle_baseline_std,52.807923580642914
s2__composite__ndre__post_winter_baseline_mean,49.20495378813404
s2__composite__mndwi__post_winter_baseline_max,48.933786638325415
s2__composite__b04__post_winter_baseline_std,48.58009048218058
s2__composite__ndwi__prebattle_baseline_mean,45.855736510493905
s2__composite__mndwi__prebattle_baseline_max,41.188790127553126
s2__composite__b12__prebattle_baseline_std,40.63828968042193
s2__composite__b11__prebattle_baseline_max,40.057901094613925
s2__composite__b11__prebattle_baseline_std,39.13605564146667
s2__composite__b12__post_winter_baseline_max,36.283972696287435
s2__composite__b05__prebattle_baseline_max,35.777777395619516
s2__composite__cire__post_winter_baseline_mean,34.99623974342333
s2__composite__mndwi__prebattle_baseline_std,34.00743212063041
s2__composite__ndvi__prebattle_baseline_mean,33.49561853204084
s2__composite__b05__post_winter_baseline_max,32.490192755884635
s2__composite__mndwi__post_winter_baseline_std,31.069172456752945
s2__composite__b05__prebattle_baseline_std,30.840374174205568
s2__composite__b07__prebattle_baseline_std,27.859258743363906
s2__composite__ndre__prebattle_baseline_mean,26.32952313183207
s2__composite__b8a__prebattle_baseline_std,26.26346749866735
s2__composite__cire__prebattle_baseline_mean,24.83064194127254
s2__composite__b12__post_winter_baseline_std,24.509520744849503
s2__composite__b05__post_winter_baseline_std,24.33435620452498
s2__composite__ndbi__prebattle_baseline_std,23.917743207209952
s2__composite__b07__post_winter_baseline_std,23.478754274915907
s2__composite__b08__prebattle_baseline_max,22.982429013715283
s2__composite__b11__post_winter_baseline_std,22.58760869706483
s2__composite__b8a__post_winter_baseline_std,22.059852053311808
s2__composite__b08__post_winter_baseline_std,21.98664791900507
s2__composite__ndbi__post_winter_baseline_mean,20.929501939384107
s2__composite__ndbi__post_winter_baseline_std,19.333940150577835
s2__composite__ndbi__post_winter_baseline_max,18.33463448596669
s2__composite__ndbi__prebattle_baseline_max,13.436631597729603
s2__composite__ndwi__post_winter_baseline_max,13.020220655939323
s2__composite__ndwi__prebattle_baseline_max,11.961163872115721
s2__composite__cire__prebattle_baseline_max,8.331248522478973
