feature,VIF
s2__composite__b07__prebattle_baseline_max,1217.1274679385428
s2__composite__b05__prebattle_baseline_max,964.834689757946
s2__composite__b8a__prebattle_baseline_max,868.3897918707004
s2__composite__b05__post_winter_baseline_max,526.7487076323165
s2__composite__b04__prebattle_baseline_max,492.39068012059676
s2__composite__b03__prebattle_baseline_max,445.311670269637
s2__composite__ndre__prebattle_baseline_mean,414.1214074215387
s2__composite__b07__post_winter_baseline_max,405.71137224368175
s2__composite__b8a__post_winter_baseline_max,319.224704890912
s2__composite__cire__prebattle_baseline_mean,318.60929759600674
s2__composite__b03__post_winter_baseline_max,313.4121232554529
s2__composite__b04__post_winter_baseline_max,303.74651849065754
s2__composite__b02__prebattle_baseline_max,249.2695338647957
s2__composite__ndwi__prebattle_baseline_mean,240.64764167845624
s2__composite__b08__prebattle_baseline_max,179.204069422083
s2__composite__b02__post_winter_baseline_max,169.60203700412447
s2__composite__ndvi__prebattle_baseline_mean,163.8636747365419
s2__composite__b03__post_winter_baseline_std,153.39400337533309
s2__composite__b03__prebattle_baseline_std,147.74553289228623
s2__composite__ndre__post_winter_baseline_mean,141.10325850950977
s2__composite__b08__prebattle_baseline_std,126.42904183511419
s2__composite__ndwi__post_winter_baseline_mean,126.07690216226769
s2__composite__b08__post_winter_baseline_std,119.72549911636821
s2__composite__b08__post_winter_baseline_max,115.57196188352705
s2__composite__ndwi__prebattle_baseline_max,113.55482637724788
s2__composite__b07__prebattle_baseline_std,106.48362346325081
s2__composite__cire__post_winter_baseline_mean,105.68304699018006
s2__composite__b8a__prebattle_baseline_std,89.85537465539406
s2__composite__ndvi__post_winter_baseline_mean,86.09407672151393
s2__composite__b04__prebattle_baseline_std,83.14381807626951
s2__composite__b05__prebattle_baseline_std,79.09683644008368
s2__composite__b04__post_winter_baseline_std,72.58227337588592
s2__composite__b07__post_winter_baseline_std,67.39235901551659
s2__composite__ndwi__post_winter_baseline_max,65.82267791256135
s2__composite__b8a__post_winter_baseline_std,62.207082989232575
s2__composite__b05__post_winter_baseline_std,61.868056531846015
s2__composite__ndbi__prebattle_baseline_std,54.44426040830285
s2__composite__mndwi__post_winter_baseline_std,51.91834179907132
s2__composite__ndbi__post_winter_baseline_std,51.243472164250235
s2__composite__mndwi__post_winter_baseline_max,50.958311940882844
s2__composite__mndwi__prebattle_baseline_std,45.93036179923176
s2__composite__b02__prebattle_baseline_std,40.63992311700577
s2__composite__b02__post_winter_baseline_std,39.88964699279039
s2__composite__b11__prebattle_baseline_std,26.56100965080888
s2__composite__b11__post_winter_baseline_std,26.098077182845216
s2__composite__b12__post_winter_baseline_std,22.070834664441072
s2__composite__b12__prebattle_baseline_std,21.886072407940986
s2__composite__ndwi__post_winter_baseline_std,6.094221173621218
s2__composite__ndwi__prebattle_baseline_std,5.6062472129330905
s2__composite__cire__post_winter_baseline_std,1.7436262902341741
