feature,VIF
s2__composite__b03__post_winter_baseline_max,205.85038444534635
s2__composite__b04__post_winter_baseline_max,177.82278174593134
s2__composite__b02__prebattle_baseline_max,154.16698522085682
s2__composite__ndwi__post_winter_baseline_mean,139.79872106981134
s2__composite__b03__prebattle_baseline_max,134.77758596116735
s2__composite__b04__prebattle_baseline_max,132.80069041630114
s2__composite__ndvi__post_winter_baseline_mean,120.74388591589036
s2__composite__b03__post_winter_baseline_std,90.60106505557616
s2__composite__b02__prebattle_baseline_mean,87.63138431512137
s2__composite__b02__post_winter_baseline_max,82.05003267413345
s2__composite__b04__prebattle_baseline_mean,75.07247677878203
s2__composite__ndwi__post_winter_baseline_max,67.43952857270844
s2__composite__b11__prebattle_baseline_max,64.13284165668665
s2__composite__mndwi__prebattle_baseline_max,57.05512088745111
s2__composite__b04__post_winter_baseline_std,53.86192401254965
s2__composite__mndwi__post_winter_baseline_max,52.10265225047513
s2__composite__b03__prebattle_baseline_std,51.82687863926574
s2__composite__ndre__post_winter_baseline_mean,44.840014603862706
s2__composite__b02__post_winter_baseline_std,42.05078018438783
s2__composite__ndbi__post_winter_baseline_mean,39.35886497076468
s2__composite__cire__post_winter_baseline_mean,38.45141204209882
s2__composite__ndbi__post_winter_baseline_max,37.54816927200907
s2__composite__ndwi__prebattle_baseline_max,35.53928790217024
s2__composite__ndbi__prebattle_baseline_max,32.54489835523896
s2__composite__b08__prebattle_baseline_max,32.118781618985224
s2__composite__b02__prebattle_baseline_std,29.538345022141666
s2__composite__b04__prebattle_baseline_std,27.24390322945815
s2__composite__b08__prebattle_baseline_std,27.24117418097068
s2__composite__b8a__post_winter_baseline_std,26.584465363684753
s2__composite__b07__post_winter_baseline_std,25.43254121956209
s2__composite__mndwi__post_winter_baseline_std,23.09314680629889
s2__composite__b12__prebattle_baseline_max,21.56421967069491
s2__composite__ndbi__prebattle_baseline_std,21.36792879578554
s2__composite__b11__post_winter_baseline_std,20.52516619135766
s2__composite__mndwi__prebattle_baseline_std,20.205036400463356
s2__composite__b08__post_winter_baseline_std,19.934810413608133
s2__composite__ndbi__post_winter_baseline_std,19.574682558415837
s2__composite__b8a__prebattle_baseline_std,18.621365936716614
s2__composite__b11__prebattle_baseline_std,16.236092569295476
s2__composite__b12__post_winter_baseline_std,14.903325164192085
s2__composite__b05__prebattle_baseline_max,13.63033797906039
s2__composite__b07__prebattle_baseline_std,13.578184578047697
s2__composite__b05__post_winter_baseline_std,12.218939793519027
s2__composite__b12__prebattle_baseline_std,11.000076082157017
s2__composite__ndre__post_winter_baseline_std,8.721719217328312
s2__composite__b05__prebattle_baseline_std,8.365973904071268
s2__composite__ndwi__post_winter_baseline_std,8.293527090482414
s2__composite__cire__post_winter_baseline_std,6.928863564755068
s2__composite__ndwi__prebattle_baseline_std,6.379316337436395
s2__composite__ndre__prebattle_baseline_std,3.010155501341918
