feature,VIF
s2__composite__b07__prebattle_baseline_mean,4051.4236344091055
s2__composite__b8a__prebattle_baseline_mean,3716.157875776584
s2__composite__b04__prebattle_baseline_mean,3278.9424160952753
s2__composite__b05__prebattle_baseline_mean,2907.304881649547
s2__composite__mndwi__prebattle_baseline_mean,2151.497795425674
s2__composite__b03__prebattle_baseline_mean,1824.4343137692529
s2__composite__ndbi__prebattle_baseline_mean,1360.276089833495
s2__composite__ndre__prebattle_baseline_mean,759.2339092062351
s2__composite__b08__prebattle_baseline_mean,689.4189608847983
s2__composite__ndwi__prebattle_baseline_mean,620.2549333578324
s2__composite__b07__prebattle_baseline_max,596.8772092804589
s2__composite__b05__prebattle_baseline_max,549.0462114680078
s2__composite__b8a__prebattle_baseline_max,525.4932617726965
s2__composite__b03__prebattle_baseline_max,491.84643313140435
s2__composite__cire__prebattle_baseline_mean,471.9372286479063
s2__composite__ndvi__prebattle_baseline_mean,437.53610415141816
s2__composite__b12__prebattle_baseline_max,429.2183130212663
s2__composite__b11__prebattle_baseline_max,426.73387043444956
s2__composite__b11__prebattle_baseline_mean,344.9133488203033
s2__composite__b04__prebattle_baseline_max,340.4405413355689
s2__composite__b12__prebattle_baseline_mean,307.4853498530247
s2__composite__b02__prebattle_baseline_max,289.05358111365337
s2__composite__b02__prebattle_baseline_mean,216.88812470989262
s2__composite__mndwi__prebattle_baseline_max,201.5958681268699
s2__composite__ndre__prebattle_baseline_max,178.16389379382758
s2__composite__b03__prebattle_baseline_std,151.48916770174765
s2__composite__cire__prebattle_baseline_max,119.14153565903777
s2__composite__b08__prebattle_baseline_max,117.92179150154229
s2__composite__b04__prebattle_baseline_std,84.80370942986325
s2__composite__b07__prebattle_baseline_std,77.98719306544699
s2__composite__b8a__prebattle_baseline_std,70.78540009933427
s2__composite__b02__prebattle_baseline_std,70.08967626527436
s2__composite__b08__prebattle_baseline_std,64.58394417628169
s2__composite__b05__prebattle_baseline_std,54.503640391032505
s2__composite__b11__prebattle_baseline_std,53.98591650457896
s2__composite__mndwi__prebattle_baseline_std,53.900947394142705
s2__composite__b12__prebattle_baseline_std,53.3025930615939
s2__composite__ndvi__prebattle_baseline_max,50.68155277482107
s2__composite__ndbi__prebattle_baseline_max,40.134603435726866
s2__composite__ndbi__prebattle_baseline_std,32.75767561804214
s2__composite__ndwi__prebattle_baseline_max,30.74808824177591
s2__composite__ndre__prebattle_baseline_std,13.006222174693894
s2__composite__cire__prebattle_baseline_std,10.82984971372109
s2__composite__ndvi__prebattle_baseline_std,8.595617978185786
s2__composite__ndwi__prebattle_baseline_std,8.157249983013209
s2__composite__b02__post_winter_baseline_mean,1.0
s2__composite__b02__post_winter_baseline_std,1.0
s2__composite__b02__post_winter_baseline_max,1.0
s2__composite__b03__post_winter_baseline_mean,1.0
s2__composite__b03__post_winter_baseline_std,1.0
