feature,VIF
s2__composite__b8a__prebattle_baseline_mean,709.6675996075619
s2__composite__b07__prebattle_baseline_mean,625.5444855152222
s2__composite__ndre__prebattle_baseline_mean,327.9320950633512
s2__composite__cire__prebattle_baseline_mean,190.02866880390462
s2__composite__b03__post_winter_baseline_max,146.50439806764217
s2__composite__ndwi__post_winter_baseline_mean,139.04975774891219
s2__composite__b04__post_winter_baseline_max,102.16689704641108
s2__composite__ndvi__post_winter_baseline_mean,98.09424744654716
s2__composite__ndwi__prebattle_baseline_mean,92.55687019680336
s2__composite__b08__prebattle_baseline_mean,80.0510718601811
s2__composite__b03__post_winter_baseline_std,78.08909696821159
s2__composite__mndwi__prebattle_baseline_mean,74.50602588504226
s2__composite__b02__post_winter_baseline_max,72.03484677249858
s2__composite__ndre__post_winter_baseline_mean,71.53682969312804
s2__composite__mndwi__post_winter_baseline_max,60.927321647640404
s2__composite__b11__prebattle_baseline_mean,55.56349661426502
s2__composite__cire__post_winter_baseline_mean,54.2520176849234
s2__composite__ndwi__post_winter_baseline_max,42.596019161762996
s2__composite__b02__post_winter_baseline_std,39.73002842330974
s2__composite__b04__post_winter_baseline_std,38.39989198432289
s2__composite__mndwi__post_winter_baseline_mean,37.02320011796671
s2__composite__mndwi__prebattle_baseline_max,35.9928553496488
s2__composite__b03__prebattle_baseline_std,31.218146956198094
s2__composite__b07__post_winter_baseline_std,28.576245537397725
s2__composite__b8a__post_winter_baseline_std,26.799956267597562
s2__composite__ndvi__prebattle_baseline_mean,25.8373091663494
s2__composite__mndwi__post_winter_baseline_std,24.399790381369094
s2__composite__b08__prebattle_baseline_std,23.277898166091674
s2__composite__ndbi__post_winter_baseline_max,22.35528752943056
s2__composite__ndbi__prebattle_baseline_std,21.67260163740541
s2__composite__ndbi__post_winter_baseline_std,20.913014956220316
s2__composite__b08__post_winter_baseline_std,20.001537050898087
s2__composite__b05__post_winter_baseline_max,18.798385056866344
s2__composite__b11__post_winter_baseline_std,17.088371722106448
s2__composite__ndbi__prebattle_baseline_max,16.62269426034202
s2__composite__mndwi__prebattle_baseline_std,16.399580127935376
s2__composite__b07__prebattle_baseline_std,15.434105544316528
s2__composite__b8a__prebattle_baseline_std,14.516243198575848
s2__composite__b05__post_winter_baseline_std,13.958554287186612
s2__composite__ndre__post_winter_baseline_std,12.196134261231617
s2__composite__b12__post_winter_baseline_std,11.781907332083334
s2__composite__ndwi__prebattle_baseline_max,11.05767761795226
s2__composite__b02__prebattle_baseline_std,10.55972552289808
s2__composite__cire__post_winter_baseline_std,10.499014594105407
s2__composite__b11__prebattle_baseline_std,10.219467491278635
s2__composite__b04__prebattle_baseline_std,9.521656157720008
s2__composite__b05__prebattle_baseline_std,9.210780525778299
s2__composite__ndwi__post_winter_baseline_std,7.441795562070906
s2__composite__b12__prebattle_baseline_std,3.5208686530973083
s2__composite__ndre__prebattle_baseline_std,2.3844248200656852
