feature,VIF
s2__composite__b8a__post_winter_baseline_mean,2071.634649866594
s2__composite__b07__post_winter_baseline_mean,1863.428964145916
s2__composite__b12__post_winter_baseline_mean,721.7948093929956
s2__composite__b12__post_winter_baseline_max,681.5701532833534
s2__composite__b11__post_winter_baseline_mean,632.5436307176063
s2__composite__b08__post_winter_baseline_mean,407.5366441460955
s2__composite__ndre__post_winter_baseline_mean,396.86341785824663
s2__composite__b11__post_winter_baseline_max,321.226516166449
s2__composite__cire__post_winter_baseline_mean,299.56274503161495
s2__composite__b8a__post_winter_baseline_max,294.6488107016942
s2__composite__b07__post_winter_baseline_max,282.5599783097529
s2__composite__mndwi__prebattle_baseline_max,149.88193307503363
s2__composite__ndvi__post_winter_baseline_mean,135.74413278253385
s2__composite__b08__post_winter_baseline_max,134.1072668762782
s2__composite__b04__post_winter_baseline_mean,117.12057086050882
s2__composite__mndwi__prebattle_baseline_mean,116.67742415127739
s2__composite__ndre__prebattle_baseline_mean,116.2658620218517
s2__composite__ndre__prebattle_baseline_max,114.61351618671479
s2__composite__ndbi__post_winter_baseline_mean,99.67435560368328
s2__composite__b03__prebattle_baseline_max,93.85084063515889
s2__composite__b02__prebattle_baseline_max,93.83487075645168
s2__composite__ndwi__post_winter_baseline_max,71.48284717522375
s2__composite__ndre__post_winter_baseline_max,70.97823285073187
s2__composite__b03__post_winter_baseline_mean,67.54401164902971
s2__composite__b02__prebattle_baseline_mean,58.93535980052635
s2__composite__cire__post_winter_baseline_max,54.88965471105737
s2__composite__ndbi__post_winter_baseline_max,51.0208753927279
s2__composite__b04__prebattle_baseline_max,46.904296583242164
s2__composite__b03__prebattle_baseline_std,44.39456408626225
s2__composite__ndvi__post_winter_baseline_max,40.49705855410577
s2__composite__b08__post_winter_baseline_std,25.91736765038984
s2__composite__b02__post_winter_baseline_mean,25.716660488681825
s2__composite__mndwi__prebattle_baseline_std,23.312165061548118
s2__composite__b02__prebattle_baseline_std,21.377680152613905
s2__composite__b04__prebattle_baseline_std,21.220750696758405
s2__composite__b02__post_winter_baseline_max,20.705516883517586
s2__composite__ndbi__post_winter_baseline_std,16.84535933898671
s2__composite__ndwi__post_winter_baseline_std,15.415921946487241
s2__composite__b12__post_winter_baseline_std,15.08978143589644
s2__composite__b03__post_winter_baseline_std,13.558578810265729
s2__composite__ndre__prebattle_baseline_std,13.29374927670123
s2__composite__b04__post_winter_baseline_std,8.163432820317666
s2__composite__b8a__prebattle_baseline_max,6.911071193487036
s2__composite__ndwi__prebattle_baseline_std,5.992999618911206
s2__composite__ndwi__prebattle_baseline_max,5.464306250654446
s2__composite__mndwi__post_winter_baseline_std,4.980261452315547
s2__composite__ndvi__prebattle_baseline_std,4.507063953205285
s2__composite__cire__prebattle_baseline_std,4.209293329440123
s2__composite__b05__post_winter_baseline_std,3.447047775727972
s2__composite__b12__prebattle_baseline_std,2.336332717249437
