feature,VIF
s2__composite__b11__prebattle_baseline_mean,1225.8749795512356
s2__composite__b11__prebattle_baseline_max,1189.0560825592388
s2__composite__b12__prebattle_baseline_max,713.2372852174979
s2__composite__b12__prebattle_baseline_mean,654.5796646256224
s2__composite__b11__post_winter_baseline_max,491.17021354740444
s2__composite__b03__post_winter_baseline_max,478.1226627851633
s2__composite__b12__post_winter_baseline_max,463.01331734108055
s2__composite__b11__post_winter_baseline_mean,434.45554100808306
s2__composite__b12__post_winter_baseline_mean,382.26349644820624
s2__composite__b02__post_winter_baseline_max,324.5485182869165
s2__composite__b04__post_winter_baseline_max,322.3174701393067
s2__composite__b03__post_winter_baseline_mean,284.3917532246345
s2__composite__b07__post_winter_baseline_max,271.40654722882635
s2__composite__b05__post_winter_baseline_max,248.1565076050813
s2__composite__b07__post_winter_baseline_mean,225.8226460067928
s2__composite__b05__post_winter_baseline_mean,190.85081726237274
s2__composite__b04__post_winter_baseline_mean,182.9081837552514
s2__composite__b02__post_winter_baseline_mean,166.20268999476636
s2__composite__b03__post_winter_baseline_std,117.77957213548059
s2__composite__b8a__post_winter_baseline_max,90.01798190699704
s2__composite__b02__post_winter_baseline_std,85.9038978936864
s2__composite__b07__prebattle_baseline_max,74.47341255274114
s2__composite__b04__post_winter_baseline_std,72.47078268753782
s2__composite__b8a__prebattle_baseline_max,72.10122824488961
s2__composite__ndvi__prebattle_baseline_max,69.09034284595408
s2__composite__ndbi__prebattle_baseline_mean,60.564601332219674
s2__composite__cire__prebattle_baseline_max,59.40186370721095
s2__composite__ndbi__prebattle_baseline_max,58.1481322810345
s2__composite__ndwi__post_winter_baseline_max,43.03039194255297
s2__composite__b11__prebattle_baseline_std,42.09941107314922
s2__composite__b12__prebattle_baseline_std,41.04515746500753
s2__composite__b11__post_winter_baseline_std,40.86789057772771
s2__composite__b12__post_winter_baseline_std,39.837294988069
s2__composite__b8a__prebattle_baseline_std,30.932131721826625
s2__composite__b07__prebattle_baseline_std,30.502463356927816
s2__composite__b07__post_winter_baseline_std,28.40406939662688
s2__composite__b05__post_winter_baseline_std,26.937158323150562
s2__composite__ndvi__prebattle_baseline_std,25.219362591745874
s2__composite__b08__prebattle_baseline_max,24.794141091814193
s2__composite__ndwi__prebattle_baseline_std,20.274735287773918
s2__composite__ndwi__post_winter_baseline_std,19.593399881300623
s2__composite__b8a__post_winter_baseline_std,19.30907360690871
s2__composite__b08__post_winter_baseline_max,19.24994419451193
s2__composite__cire__prebattle_baseline_std,17.199402412795177
s2__composite__ndre__prebattle_baseline_std,16.383646337623578
s2__composite__ndvi__post_winter_baseline_std,16.03420737044366
s2__composite__ndbi__prebattle_baseline_std,13.722923979426417
s2__composite__ndre__post_winter_baseline_std,9.844220656993919
s2__composite__cire__post_winter_baseline_std,8.335844696434483
s2__composite__mndwi__post_winter_baseline_std,6.506438517712138
