feature,VIF
s2__composite__b03__prebattle_baseline_mean,4153.075859240736
s2__composite__b04__prebattle_baseline_mean,3969.8913399817134
s2__composite__b07__prebattle_baseline_max,1044.977296102315
s2__composite__b03__prebattle_baseline_max,1028.3570118138343
s2__composite__ndvi__prebattle_baseline_mean,939.1543635644367
s2__composite__ndwi__prebattle_baseline_mean,933.8144910327793
s2__composite__b04__prebattle_baseline_max,866.605273090775
s2__composite__b05__prebattle_baseline_max,756.5172118565981
s2__composite__b8a__prebattle_baseline_max,741.4645846859397
s2__composite__b02__prebattle_baseline_mean,738.0469636827851
s2__composite__b02__prebattle_baseline_max,718.8515542279374
s2__composite__ndre__prebattle_baseline_mean,481.83368933387106
s2__composite__cire__prebattle_baseline_mean,410.30006198417044
s2__composite__b03__post_winter_baseline_max,311.0749224994368
s2__composite__b05__prebattle_baseline_mean,259.0556675567976
s2__composite__b12__post_winter_baseline_max,250.9679992858983
s2__composite__b04__post_winter_baseline_max,247.26658950260693
s2__composite__b02__post_winter_baseline_max,202.93569581892828
s2__composite__mndwi__prebattle_baseline_mean,200.86117921119273
s2__composite__ndre__prebattle_baseline_max,200.40945910813582
s2__composite__b03__post_winter_baseline_mean,196.99290357616505
s2__composite__b12__post_winter_baseline_mean,194.59730976656795
s2__composite__b05__post_winter_baseline_max,188.80072890956268
s2__composite__mndwi__prebattle_baseline_max,178.74649650372362
s2__composite__cire__prebattle_baseline_max,168.09641972767838
s2__composite__b04__post_winter_baseline_mean,155.9216780855554
s2__composite__b05__post_winter_baseline_mean,154.1771304743525
s2__composite__b07__prebattle_baseline_std,149.49376924987166
s2__composite__b08__prebattle_baseline_max,145.39211877563892
s2__composite__b8a__prebattle_baseline_std,127.31758971390794
s2__composite__b02__post_winter_baseline_mean,120.51011073805346
s2__composite__b04__prebattle_baseline_std,114.28564011795392
s2__composite__b03__prebattle_baseline_std,111.76558778597817
s2__composite__ndvi__prebattle_baseline_max,85.10600767326277
s2__composite__b03__post_winter_baseline_std,70.38484398125344
s2__composite__b05__prebattle_baseline_std,69.19412552962643
s2__composite__b02__prebattle_baseline_std,62.290181809001204
s2__composite__b04__post_winter_baseline_std,57.807269182244184
s2__composite__b02__post_winter_baseline_std,50.71853955207551
s2__composite__b07__post_winter_baseline_max,47.212939867569695
s2__composite__b8a__post_winter_baseline_max,47.145683145247006
s2__composite__b08__prebattle_baseline_std,44.65159631359031
s2__composite__b11__post_winter_baseline_max,42.8486339640565
s2__composite__b12__post_winter_baseline_std,33.677238835208556
s2__composite__b05__post_winter_baseline_std,32.49672358586989
s2__composite__ndwi__prebattle_baseline_max,26.843748843282587
s2__composite__b11__post_winter_baseline_std,21.416616427030686
s2__composite__mndwi__post_winter_baseline_max,21.059940289523002
s2__composite__ndwi__post_winter_baseline_max,10.422644680397495
s2__composite__cire__post_winter_baseline_std,2.6145702907985235
