feature,VIF
s2__composite__ndwi__post_winter_baseline_mean,5882.067790885293
s2__composite__mndwi__post_winter_baseline_mean,3104.7149061836435
s2__composite__ndbi__post_winter_baseline_mean,2513.506520564913
s2__composite__b03__post_winter_baseline_max,411.32413240692
s2__composite__b03__prebattle_baseline_max,355.02990401357084
s2__composite__b04__post_winter_baseline_max,294.78544494606405
s2__composite__b04__prebattle_baseline_max,245.36174492830773
s2__composite__b03__post_winter_baseline_std,197.95919048955477
s2__composite__ndvi__post_winter_baseline_mean,168.1153082979196
s2__composite__b02__post_winter_baseline_max,146.5313305920851
s2__composite__b03__prebattle_baseline_std,140.82962636624924
s2__composite__b02__prebattle_baseline_max,119.29673810917814
s2__composite__ndwi__prebattle_baseline_mean,117.99315687761315
s2__composite__b04__post_winter_baseline_std,112.47771143886663
s2__composite__b02__post_winter_baseline_std,95.94622306470563
s2__composite__ndvi__prebattle_baseline_mean,86.70280689721561
s2__composite__ndwi__post_winter_baseline_max,83.49024085475334
s2__composite__b04__prebattle_baseline_std,80.84729071791946
s2__composite__b8a__post_winter_baseline_std,76.19045838046826
s2__composite__b07__post_winter_baseline_std,75.86418225188595
s2__composite__ndre__post_winter_baseline_mean,75.29230802803437
s2__composite__b02__prebattle_baseline_std,68.46140784732998
s2__composite__ndwi__prebattle_baseline_max,65.05844854303653
s2__composite__cire__post_winter_baseline_mean,60.93863414258121
s2__composite__b07__prebattle_baseline_std,44.16833187974792
s2__composite__mndwi__post_winter_baseline_max,40.76244923133942
s2__composite__b11__post_winter_baseline_std,37.68612342875218
s2__composite__b8a__prebattle_baseline_std,36.35034620592429
s2__composite__ndbi__post_winter_baseline_max,36.018670596857234
s2__composite__ndbi__prebattle_baseline_max,29.848451288175585
s2__composite__ndre__prebattle_baseline_mean,29.39937395549636
s2__composite__b08__post_winter_baseline_std,28.113903783229503
s2__composite__b05__prebattle_baseline_std,26.06172646609985
s2__composite__b08__prebattle_baseline_std,24.837052501647356
s2__composite__b12__post_winter_baseline_std,21.73634477429765
s2__composite__b05__prebattle_baseline_max,21.480006580862362
s2__composite__b11__prebattle_baseline_std,20.470520079981465
s2__composite__ndbi__prebattle_baseline_mean,20.275486297285045
s2__composite__ndre__post_winter_baseline_std,19.4348756443701
s2__composite__cire__prebattle_baseline_mean,19.183924099614746
s2__composite__b05__post_winter_baseline_std,19.12625617719286
s2__composite__ndbi__post_winter_baseline_std,18.82041901849582
s2__composite__b12__prebattle_baseline_std,16.068328254670075
s2__composite__ndbi__prebattle_baseline_std,15.520413047251267
s2__composite__cire__post_winter_baseline_std,15.44639761548898
s2__composite__mndwi__post_winter_baseline_std,13.257429164168483
s2__composite__ndwi__post_winter_baseline_std,11.785874930853902
s2__composite__ndwi__prebattle_baseline_std,10.26304014957772
s2__composite__ndre__prebattle_baseline_std,7.284669086533512
s2__composite__cire__prebattle_baseline_std,5.248157108962689
