feature,VIF
s2__composite__b04__prebattle_baseline_mean,8112.143126153601
s2__composite__b07__prebattle_baseline_max,5624.9951941903855
s2__composite__b07__prebattle_baseline_mean,5113.135885849942
s2__composite__b05__prebattle_baseline_max,5034.954620087323
s2__composite__mndwi__prebattle_baseline_mean,4998.196445814204
s2__composite__b03__prebattle_baseline_mean,4816.163891582983
s2__composite__b05__prebattle_baseline_mean,4589.02147972668
s2__composite__b03__prebattle_baseline_max,3953.5796264436494
s2__composite__b04__prebattle_baseline_max,3813.9045702097146
s2__composite__b8a__prebattle_baseline_max,3644.7162865621826
s2__composite__mndwi__prebattle_baseline_max,3602.176307738482
s2__composite__b8a__prebattle_baseline_mean,3264.2321463458875
s2__composite__b08__prebattle_baseline_mean,2838.941610123966
s2__composite__b02__prebattle_baseline_max,2047.417996644935
s2__composite__b02__prebattle_baseline_mean,1881.6929324167397
s2__composite__ndbi__prebattle_baseline_mean,1701.930450017518
s2__composite__b08__prebattle_baseline_max,1236.6855132969235
s2__composite__b03__post_winter_baseline_max,775.0412558408432
s2__composite__b03__post_winter_baseline_mean,528.6711268839355
s2__composite__ndbi__prebattle_baseline_max,508.0851395619283
s2__composite__b04__post_winter_baseline_max,461.63650889454357
s2__composite__ndvi__prebattle_baseline_mean,424.2770711317525
s2__composite__b02__post_winter_baseline_max,399.88495152014264
s2__composite__b04__post_winter_baseline_mean,295.0184773965766
s2__composite__b02__post_winter_baseline_mean,238.0886666230666
s2__composite__b03__prebattle_baseline_std,195.76768745777844
s2__composite__b04__prebattle_baseline_std,183.36599380251147
s2__composite__b03__post_winter_baseline_std,154.97469911062225
s2__composite__b07__prebattle_baseline_std,138.9698682871184
s2__composite__b08__prebattle_baseline_std,119.86971874296182
s2__composite__b8a__prebattle_baseline_std,104.34060755352489
s2__composite__b05__prebattle_baseline_std,101.31898144711478
s2__composite__b04__post_winter_baseline_std,90.82412872477622
s2__composite__b02__post_winter_baseline_std,79.1758715557392
s2__composite__b02__prebattle_baseline_std,75.22006845537784
s2__composite__ndwi__prebattle_baseline_max,59.39026560335325
s2__composite__mndwi__prebattle_baseline_std,48.67792763674225
s2__composite__b08__post_winter_baseline_max,40.63460819265905
s2__composite__ndbi__prebattle_baseline_std,37.1612691433604
s2__composite__b08__post_winter_baseline_std,21.738951539523896
s2__composite__mndwi__post_winter_baseline_max,19.65866314119042
s2__composite__b12__post_winter_baseline_max,17.8077401506362
s2__composite__ndwi__post_winter_baseline_max,15.704536590094087
s2__composite__b12__post_winter_baseline_std,15.347128460692629
s2__composite__b11__post_winter_baseline_std,12.46279257289794
s2__composite__b05__post_winter_baseline_max,12.028940306400141
s2__composite__mndwi__post_winter_baseline_std,8.531948048922084
s2__composite__ndbi__post_winter_baseline_std,5.663309326705308
s2__composite__b07__post_winter_baseline_std,4.708086175611927
s2__composite__ndvi__post_winter_baseline_std,2.91024639547377
