feature,VIF
s2__composite__ndwi__post_winter_baseline_mean,12700.327643563143
s2__composite__ndbi__post_winter_baseline_mean,12475.678164004383
s2__composite__mndwi__post_winter_baseline_mean,7020.515934637679
s2__composite__b07__post_winter_baseline_mean,2604.293148584723
s2__composite__b8a__post_winter_baseline_mean,2176.003925180531
s2__composite__b8a__prebattle_baseline_mean,1403.1862124853167
s2__composite__b07__prebattle_baseline_mean,1294.1377653415234
s2__composite__cire__post_winter_baseline_mean,1240.9013722039401
s2__composite__ndre__post_winter_baseline_mean,1060.4433141753059
s2__composite__b07__post_winter_baseline_max,1035.8703417531283
s2__composite__b8a__post_winter_baseline_max,904.840652319534
s2__composite__ndre__prebattle_baseline_mean,771.4006543475557
s2__composite__b04__prebattle_baseline_mean,678.6903612134948
s2__composite__b03__prebattle_baseline_mean,670.855362923476
s2__composite__ndwi__prebattle_baseline_mean,660.318086813371
s2__composite__cire__prebattle_baseline_mean,651.5822136614378
s2__composite__b08__post_winter_baseline_mean,643.8576232789331
s2__composite__ndvi__prebattle_baseline_mean,620.4034967065254
s2__composite__b11__post_winter_baseline_mean,339.1254967892659
s2__composite__b03__post_winter_baseline_mean,296.0345461845932
s2__composite__b8a__prebattle_baseline_max,247.134493725092
s2__composite__cire__post_winter_baseline_max,243.04757771429811
s2__composite__b11__post_winter_baseline_max,210.29244464319933
s2__composite__ndre__post_winter_baseline_max,192.8413578540303
s2__composite__b07__prebattle_baseline_max,142.68291695431867
s2__composite__ndbi__post_winter_baseline_max,128.90066513966332
s2__composite__b05__prebattle_baseline_mean,114.91399555863951
s2__composite__b08__post_winter_baseline_max,99.22806829534223
s2__composite__ndvi__post_winter_baseline_mean,91.23094021476938
s2__composite__b03__post_winter_baseline_max,88.41588528069785
s2__composite__b12__post_winter_baseline_max,67.26544403389094
s2__composite__b12__post_winter_baseline_mean,63.401069799479146
s2__composite__cire__prebattle_baseline_max,59.0407672350316
s2__composite__ndre__prebattle_baseline_max,59.00381273552458
s2__composite__mndwi__post_winter_baseline_max,55.95314264737769
s2__composite__b07__post_winter_baseline_std,53.979827437339004
s2__composite__b8a__post_winter_baseline_std,53.892342816546666
s2__composite__b05__prebattle_baseline_max,41.65207012297964
s2__composite__ndwi__post_winter_baseline_max,36.578608091529865
s2__composite__ndvi__post_winter_baseline_max,32.076732327548
s2__composite__ndwi__prebattle_baseline_max,28.56909347396677
s2__composite__b02__prebattle_baseline_mean,27.476543295984534
s2__composite__b08__post_winter_baseline_std,25.59919729022352
s2__composite__b11__post_winter_baseline_std,20.722765168958016
s2__composite__b08__prebattle_baseline_max,19.209560112591838
s2__composite__ndvi__prebattle_baseline_max,19.05230454110449
s2__composite__ndbi__post_winter_baseline_std,17.193602490830887
s2__composite__b8a__prebattle_baseline_std,16.0349652143461
s2__composite__b02__post_winter_baseline_std,10.330843989618733
s2__composite__b12__prebattle_baseline_max,6.884414118546263
