city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__b02__post_winter_baseline_max,bhattacharyya,0.2231519351374156,0.40001341406089885,,,,poor
Avdiivka,s2__composite__b02__post_winter_baseline_mean,bhattacharyya,0.12385497904525077,0.23298408247930835,,,,poor
Avdiivka,s2__composite__b02__post_winter_baseline_std,bhattacharyya,0.2808426749191515,0.48970574056291616,,,,poor
Avdiivka,s2__composite__b02__prebattle_baseline_max,bhattacharyya,0.11098756111422499,0.21010023792172006,,,,poor
Avdiivka,s2__composite__b02__prebattle_baseline_mean,bhattacharyya,0.04872622010018867,0.09511629311674485,,,,poor
Avdiivka,s2__composite__b02__prebattle_baseline_std,bhattacharyya,0.09769776984813101,0.18615407639597814,,,,poor
Avdiivka,s2__composite__b02__winter_baseline_max,bhattacharyya,0.11098756111422499,0.21010023792172006,,,,poor
Avdiivka,s2__composite__b02__winter_baseline_mean,bhattacharyya,0.04872622010018867,0.09511629311674485,,,,poor
Avdiivka,s2__composite__b02__winter_baseline_std,bhattacharyya,0.09769776984813101,0.18615407639597814,,,,poor
Avdiivka,s2__composite__b03__post_winter_baseline_max,bhattacharyya,0.2261968166489981,0.40487777417686743,,,,poor
Avdiivka,s2__composite__b03__post_winter_baseline_mean,bhattacharyya,0.1200708584039195,0.22628481364573827,,,,poor
Avdiivka,s2__composite__b03__post_winter_baseline_std,bhattacharyya,0.2993933044051601,0.5174643835992485,,,,poor
Avdiivka,s2__composite__b03__prebattle_baseline_max,bhattacharyya,0.08881094916617731,0.1699629155152489,,,,poor
Avdiivka,s2__composite__b03__prebattle_baseline_mean,bhattacharyya,0.03612968401417181,0.07096959366217082,,,,poor
Avdiivka,s2__composite__b03__prebattle_baseline_std,bhattacharyya,0.0940386944483374,0.17950491993418538,,,,poor
Avdiivka,s2__composite__b03__winter_baseline_max,bhattacharyya,0.08881094916617731,0.1699629155152489,,,,poor
Avdiivka,s2__composite__b03__winter_baseline_mean,bhattacharyya,0.03612968401417181,0.07096959366217082,,,,poor
Avdiivka,s2__composite__b03__winter_baseline_std,bhattacharyya,0.0940386944483374,0.17950491993418538,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline_max,bhattacharyya,0.22795595053670392,0.4076813410915805,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline_mean,bhattacharyya,0.11538891111161505,0.21796090177879823,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline_std,bhattacharyya,0.31779157082450077,0.5444910842610073,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline_max,bhattacharyya,0.099826398446946,0.190010974294901,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline_mean,bhattacharyya,0.0381129905647791,0.07479166088505806,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline_std,bhattacharyya,0.10473668823419577,0.19887676032003387,,,,poor
Avdiivka,s2__composite__b04__winter_baseline_max,bhattacharyya,0.099826398446946,0.190010974294901,,,,poor
Avdiivka,s2__composite__b04__winter_baseline_mean,bhattacharyya,0.0381129905647791,0.07479166088505806,,,,poor
Avdiivka,s2__composite__b04__winter_baseline_std,bhattacharyya,0.10473668823419577,0.19887676032003387,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline_max,bhattacharyya,0.17679379034138143,0.32409487876040877,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline_mean,bhattacharyya,0.10817345988957672,0.20505618490008914,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline_std,bhattacharyya,0.2957483476309341,0.5120507451157532,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline_max,bhattacharyya,0.13914326427435944,0.25979327039727074,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline_mean,bhattacharyya,0.07487366466348978,0.14427859896383088,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline_std,bhattacharyya,0.31821105187257487,0.5451015146255271,,,,poor
Avdiivka,s2__composite__b05__winter_baseline_max,bhattacharyya,0.13914326427435944,0.25979327039727074,,,,poor
Avdiivka,s2__composite__b05__winter_baseline_mean,bhattacharyya,0.07487366466348978,0.14427859896383088,,,,poor
Avdiivka,s2__composite__b05__winter_baseline_std,bhattacharyya,0.31821105187257487,0.5451015146255271,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline_max,bhattacharyya,0.1769947783594045,0.32443168176130377,,,,poor
