city,variable,morans_I,expected_I,p_value,z_score,significant,lisa_HH,lisa_LL,lisa_LH,lisa_HL
Avdiivka,damaged,0.038751122782222716,-7.985944737262418e-05,0.001,9.326912036179689,True,,,,
Avdiivka,damaged_LISA,0.03874802838608901,,,,True,16.0,0.0,527.0,65.0
Avdiivka,rf_residuals,0.02126274514732567,-7.985944737262418e-05,0.001,5.18708194804918,True,,,,
Bucha,damaged,0.04219095430585312,-5.809225049378413e-05,0.001,11.705428925630294,True,,,,
Bucha,damaged_LISA,0.042188503480740956,,,,True,25.0,0.0,429.0,114.0
Bucha,rf_residuals,0.03411421348794211,-5.809225049378413e-05,0.001,9.642617969656357,True,,,,
Chernihiv,damaged,0.05958474049457949,-1.9465099077354303e-05,0.001,28.857186708952668,True,,,,
Chernihiv,damaged_LISA,0.05958358069427786,,,,True,98.0,44569.0,1588.0,219.0
Chernihiv,rf_residuals,0.0648706760494745,-1.9465099077354303e-05,0.001,30.616814607205455,True,,,,
Chornobaivka,damaged,-0.00044178531758053125,-0.00010092854259184497,0.031,-0.08431843855492877,True,,,,
Chornobaivka,damaged_LISA,-0.0004417407333321125,,,,True,0.0,9868.0,35.0,6.0
Chornobaivka,rf_residuals,0.0022113526086516514,-0.00010092854259184497,0.02,0.4740659319810272,True,,,,
Dmytrivka,damaged,0.03463750565634127,-7.327080890973036e-05,0.001,8.588871395008411,True,,,,
Dmytrivka,damaged_LISA,0.0346349679242249,,,,True,20.0,0.0,105.0,0.0
Dmytrivka,rf_residuals,0.0284121232010427,-7.327080890973036e-05,0.001,7.361333711277495,True,,,,
Hostomel,damaged,0.11100474019357749,-5.223568742164647e-05,0.001,31.807907192017293,True,,,,
Hostomel,damaged_LISA,0.11099894208753451,,,,True,262.0,16236.0,2035.0,202.0
Hostomel,rf_residuals,0.09791432308087113,-5.223568742164647e-05,0.001,28.516098313727806,True,,,,
Irpin,damaged,0.039459514853055634,-5.759041695461875e-05,0.001,10.769537218210674,True,,,,
Irpin,damaged_LISA,0.039457242494008476,,,,True,80.0,0.0,1439.0,169.0
Irpin,rf_residuals,0.036360085485179654,-5.759041695461875e-05,0.001,9.97592926307017,True,,,,
Kharkiv,damaged,0.08179990762862316,-5.878791085401198e-06,0.001,69.1101298303978,True,,,,
Kharkiv,damaged_LISA,0.0817994267468824,,,,True,101.0,168557.0,1309.0,137.0
Kharkiv,rf_residuals,0.07564118163894892,-5.878791085401198e-06,0.001,67.03277394220896,True,,,,
Kherson,damaged,-0.00044178531758053125,-0.00010092854259184497,0.025,-0.10204318008118661,True,,,,
Kherson,damaged_LISA,-0.0004417407333321125,,,,True,0.0,9868.0,35.0,6.0
Kherson,rf_residuals,0.0026663768131307487,-0.00010092854259184497,0.012,0.6459554102423819,True,,,,
Kramatorsk,damaged,0.12340067340067341,-9.603380389897244e-05,0.001,25.45897390506472,True,,,,
Kramatorsk,damaged_LISA,0.12338882390255533,,,,True,11.0,10299.0,96.0,8.0
Kramatorsk,rf_residuals,0.07079137375945556,-9.603380389897244e-05,0.001,14.873213852095414,True,,,,
Lysychansk,damaged,0.06338417369135388,-2.4039039399985578e-05,0.001,27.79406128469456,True,,,,
Lysychansk,damaged_LISA,0.06338265003333246,,,,True,408.0,0.0,5702.0,594.0
Lysychansk,rf_residuals,0.03925133755336694,-2.4039039399985578e-05,0.001,16.559292619364026,True,,,,
Makariv,damaged,0.014313864031582592,-0.00018008283810552856,0.023,2.3058865760803373,True,,,,
Makariv,damaged_LISA,0.01431128681443611,,,,True,7.0,0.0,372.0,45.0
Makariv,rf_residuals,0.007999075037708909,-0.00018008283810552856,0.091,1.3679931846581785,False,,,,
Mariupol,damaged,0.15321783298932595,-3.451608449537484e-05,0.001,53.765609380414624,True,,,,
Mariupol,damaged_LISA,0.15321254469218756,,,,True,841.0,16010.0,3489.0,721.0
Mariupol,rf_residuals,0.1246210460351205,-3.451608449537484e-05,0.001,43.95378269350659,True,,,,
Moschun,damaged,0.052132031477703275,-0.0008019246190858059,0.002,3.9410295862005924,True,,,,
Moschun,damaged_LISA,0.05209025901658334,,,,True,9.0,794.0,67.0,35.0
Moschun,rf_residuals,0.04276918659644358,-0.0008019246190858059,0.002,3.34325435126327,True,,,,
Okhtyrka,damaged,0.031016858883896457,-3.78000378000378e-05,0.001,10.694539525425403,True,,,,
Okhtyrka,damaged_LISA,0.03101568648977477,,,,True,7.0,26206.0,215.0,28.0
Okhtyrka,rf_residuals,0.04027687880022371,-3.78000378000378e-05,0.001,14.63307897348236,True,,,,
Rubizhne,damaged,0.036114315006484474,-7.348618459729571e-05,0.001,8.7926398774154,True,,,,
Rubizhne,damaged_LISA,0.03611166129827619,,,,True,172.0,10693.0,2485.0,259.0
Rubizhne,rf_residuals,0.028602872474119957,-7.348618459729571e-05,0.001,6.727709179034932,True,,,,
Sievierodonetsk,damaged,0.06356334487528849,-0.00011032656663724625,0.001,12.800122297588858,True,,,,
Sievierodonetsk,damaged_LISA,0.06355633292328904,,,,True,103.0,6032.0,750.0,0.0
Sievierodonetsk,rf_residuals,0.0461562022104504,-0.00011032656663724625,0.001,9.512261615696405,True,,,,
Trostianets,damaged,0.026000050974245268,-0.00011446886446886447,0.001,5.779832246242186,True,,,,
Trostianets,damaged_LISA,0.02599707511857695,,,,True,4.0,8606.0,113.0,14.0
Trostianets,rf_residuals,0.04346703870229722,-0.00011446886446886447,0.001,9.206041294356762,True,,,,
Volnovakha,damaged,0.1367543475252549,-7.42831674342594e-05,0.001,32.93328633848617,True,,,,
Volnovakha,damaged_LISA,0.13674418973371325,,,,True,77.0,0.0,527.0,71.0
Volnovakha,rf_residuals,0.13560562943301396,-7.42831674342594e-05,0.001,32.92798530883283,True,,,,
