feature,city,auc,source
s1__coh__date_first_drop_max,Avdiivka,0.6388151914016118,coh_drop
s1__coh__date_first_drop_mean,Avdiivka,0.5837907296593429,coh_drop
s1__coh__date_first_drop_std,Avdiivka,0.6383547829167217,coh_drop
s1__coh__date_worst_drop_max,Avdiivka,0.5754726529107395,coh_drop
s1__coh__date_worst_drop_mean,Avdiivka,0.5158698602779982,coh_drop
s1__coh__date_worst_drop_std,Avdiivka,0.6206225048028873,coh_drop
s1__coh__drop_count_max,Avdiivka,0.5512137795425014,coh_drop
s1__coh__drop_count_mean,Avdiivka,0.533415083325351,coh_drop
s1__coh__drop_count_std,Avdiivka,0.5218727917110206,coh_drop
s1__coh__lu_transition_mode,Avdiivka,0.5000379532018948,coh_drop
s1__coh__max_drop_max,Avdiivka,0.5587497492377732,coh_drop
s1__coh__max_drop_mean,Avdiivka,0.5558517511788084,coh_drop
s1__coh__max_drop_std,Avdiivka,0.5711848447442949,coh_drop
s1__coh__running_min_max,Avdiivka,0.5582400919551863,coh_drop
s1__coh__running_min_mean,Avdiivka,0.5225161888479034,coh_drop
s1__coh__running_min_std,Avdiivka,0.5970644101982061,coh_drop
s1__coh__scenes_observed_max,Avdiivka,0.5071175808267654,coh_drop
s1__coh__scenes_observed_mean,Avdiivka,0.582114463242324,coh_drop
s1__coh__scenes_observed_std,Avdiivka,0.5835874089349066,coh_drop
was_observed_cohdrop,Avdiivka,0.657685161924625,coh_drop
s1__coh__date_first_drop_max,Bucha,0.5003810752183855,coh_drop
s1__coh__date_first_drop_mean,Bucha,0.5003224482617108,coh_drop
s1__coh__date_first_drop_std,Bucha,0.5001465673916867,coh_drop
s1__coh__date_worst_drop_max,Bucha,0.5044059271111085,coh_drop
s1__coh__date_worst_drop_mean,Bucha,0.501593688474163,coh_drop
s1__coh__date_worst_drop_std,Bucha,0.5013669728379083,coh_drop
s1__coh__drop_count_max,Bucha,0.5002345078266988,coh_drop
s1__coh__drop_count_mean,Bucha,0.5001465673916867,coh_drop
s1__coh__drop_count_std,Bucha,0.5002931347833734,coh_drop
s1__coh__lu_transition_mode,Bucha,0.5000293134783373,coh_drop
s1__coh__max_drop_max,Bucha,0.5030107539649263,coh_drop
s1__coh__max_drop_mean,Bucha,0.5032942412744164,coh_drop
s1__coh__max_drop_std,Bucha,0.5024371003255652,coh_drop
s1__coh__running_min_max,Bucha,0.507454157801504,coh_drop
s1__coh__running_min_mean,Bucha,0.507795901010981,coh_drop
s1__coh__running_min_std,Bucha,0.5089087000177365,coh_drop
s1__coh__scenes_observed_max,Bucha,0.50553468155544,coh_drop
s1__coh__scenes_observed_mean,Bucha,0.5055291157051227,coh_drop
s1__coh__scenes_observed_std,Bucha,0.5003810752183855,coh_drop
was_observed_cohdrop,Bucha,0.5007328369584335,coh_drop
s1__coh__date_first_drop_max,Chernihiv,0.5,coh_drop
s1__coh__date_first_drop_mean,Chernihiv,0.5,coh_drop
s1__coh__date_first_drop_std,Chernihiv,0.5,coh_drop
s1__coh__date_worst_drop_max,Chernihiv,0.5,coh_drop
s1__coh__date_worst_drop_mean,Chernihiv,0.5,coh_drop
s1__coh__date_worst_drop_std,Chernihiv,0.5,coh_drop
s1__coh__drop_count_max,Chernihiv,0.5,coh_drop
s1__coh__drop_count_mean,Chernihiv,0.5,coh_drop
s1__coh__drop_count_std,Chernihiv,0.5,coh_drop
s1__coh__lu_transition_mode,Chernihiv,0.5,coh_drop
s1__coh__max_drop_max,Chernihiv,0.5,coh_drop
s1__coh__max_drop_mean,Chernihiv,0.5,coh_drop
s1__coh__max_drop_std,Chernihiv,0.5,coh_drop
s1__coh__running_min_max,Chernihiv,0.5,coh_drop
s1__coh__running_min_mean,Chernihiv,0.5,coh_drop
s1__coh__running_min_std,Chernihiv,0.5,coh_drop
s1__coh__scenes_observed_max,Chernihiv,0.5,coh_drop
s1__coh__scenes_observed_mean,Chernihiv,0.5,coh_drop
s1__coh__scenes_observed_std,Chernihiv,0.5,coh_drop
was_observed_cohdrop,Chernihiv,0.5,coh_drop
s1__coh__date_first_drop_max,Chornobaivka,0.5,coh_drop
s1__coh__date_first_drop_mean,Chornobaivka,0.5,coh_drop
s1__coh__date_first_drop_std,Chornobaivka,0.5,coh_drop
s1__coh__date_worst_drop_max,Chornobaivka,0.5,coh_drop
s1__coh__date_worst_drop_mean,Chornobaivka,0.5,coh_drop
s1__coh__date_worst_drop_std,Chornobaivka,0.5,coh_drop
s1__coh__drop_count_max,Chornobaivka,0.5,coh_drop
s1__coh__drop_count_mean,Chornobaivka,0.5,coh_drop
s1__coh__drop_count_std,Chornobaivka,0.5,coh_drop
s1__coh__lu_transition_mode,Chornobaivka,0.5,coh_drop
s1__coh__max_drop_max,Chornobaivka,0.5,coh_drop
s1__coh__max_drop_mean,Chornobaivka,0.5,coh_drop
s1__coh__max_drop_std,Chornobaivka,0.5,coh_drop
s1__coh__running_min_max,Chornobaivka,0.5,coh_drop
s1__coh__running_min_mean,Chornobaivka,0.5,coh_drop
s1__coh__running_min_std,Chornobaivka,0.5,coh_drop
s1__coh__scenes_observed_max,Chornobaivka,0.5,coh_drop
s1__coh__scenes_observed_mean,Chornobaivka,0.5,coh_drop
s1__coh__scenes_observed_std,Chornobaivka,0.5,coh_drop
was_observed_cohdrop,Chornobaivka,0.5,coh_drop
s1__coh__date_first_drop_max,Dmytrivka,0.5002221399481673,coh_drop
s1__coh__date_first_drop_mean,Dmytrivka,0.5002961865975565,coh_drop
s1__coh__date_first_drop_std,Dmytrivka,0.5,coh_drop
s1__coh__date_worst_drop_max,Dmytrivka,0.5021473528322843,coh_drop
s1__coh__date_worst_drop_mean,Dmytrivka,0.5014068863383933,coh_drop
s1__coh__date_worst_drop_std,Dmytrivka,0.5003702332469455,coh_drop
s1__coh__drop_count_max,Dmytrivka,0.5,coh_drop
s1__coh__drop_count_mean,Dmytrivka,0.5002221399481673,coh_drop
s1__coh__drop_count_std,Dmytrivka,0.5,coh_drop
s1__coh__lu_transition_mode,Dmytrivka,0.5000740466493891,coh_drop
s1__coh__max_drop_max,Dmytrivka,0.500592373195113,coh_drop
s1__coh__max_drop_mean,Dmytrivka,0.5009626064420585,coh_drop
s1__coh__max_drop_std,Dmytrivka,0.5005183265457238,coh_drop
s1__coh__running_min_max,Dmytrivka,0.5014068863383931,coh_drop
s1__coh__running_min_mean,Dmytrivka,0.5014809329877823,coh_drop
s1__coh__running_min_std,Dmytrivka,0.5011106997408368,coh_drop
s1__coh__scenes_observed_max,Dmytrivka,0.5021473528322844,coh_drop
s1__coh__scenes_observed_mean,Dmytrivka,0.5021473528322843,coh_drop
s1__coh__scenes_observed_std,Dmytrivka,0.5001480932987783,coh_drop
was_observed_cohdrop,Dmytrivka,0.5003702332469455,coh_drop
s1__coh__date_first_drop_max,Hostomel,0.5002198598735934,coh_drop
s1__coh__date_first_drop_mean,Hostomel,0.5001296999970805,coh_drop
s1__coh__date_first_drop_std,Hostomel,0.5019311646933714,coh_drop
s1__coh__date_worst_drop_max,Hostomel,0.5026736052839464,coh_drop
s1__coh__date_worst_drop_mean,Hostomel,0.5025297800645118,coh_drop
s1__coh__date_worst_drop_std,Hostomel,0.5071146487062451,coh_drop
s1__coh__drop_count_max,Hostomel,0.5090070084207329,coh_drop
s1__coh__drop_count_mean,Hostomel,0.5022846103129456,coh_drop
s1__coh__drop_count_std,Hostomel,0.5082623098949861,coh_drop
s1__coh__lu_transition_mode,Hostomel,0.5028861137407011,coh_drop
s1__coh__max_drop_max,Hostomel,0.5109851696717507,coh_drop
s1__coh__max_drop_mean,Hostomel,0.51003956742583,coh_drop
s1__coh__max_drop_std,Hostomel,0.5035881740487844,coh_drop
s1__coh__running_min_max,Hostomel,0.5016596873715471,coh_drop
s1__coh__running_min_mean,Hostomel,0.5125537519846199,coh_drop
s1__coh__running_min_std,Hostomel,0.5074271889421248,coh_drop
s1__coh__scenes_observed_max,Hostomel,0.5008586454867446,coh_drop
s1__coh__scenes_observed_mean,Hostomel,0.5033160140953966,coh_drop
s1__coh__scenes_observed_std,Hostomel,0.5029632511073859,coh_drop
was_observed_cohdrop,Hostomel,0.5103945358388922,coh_drop
s1__coh__date_first_drop_max,Irpin,0.5073425273892954,coh_drop
s1__coh__date_first_drop_mean,Irpin,0.5056916143189256,coh_drop
s1__coh__date_first_drop_std,Irpin,0.5195625925060373,coh_drop
s1__coh__date_worst_drop_max,Irpin,0.5208780905346087,coh_drop
s1__coh__date_worst_drop_mean,Irpin,0.5190246848576825,coh_drop
s1__coh__date_worst_drop_std,Irpin,0.5263613462966144,coh_drop
s1__coh__drop_count_max,Irpin,0.5107134544253198,coh_drop
s1__coh__drop_count_mean,Irpin,0.5013867106659871,coh_drop
s1__coh__drop_count_std,Irpin,0.5100156409700499,coh_drop
s1__coh__lu_transition_mode,Irpin,0.5083786888615457,coh_drop
s1__coh__max_drop_max,Irpin,0.5180496465882225,coh_drop
