cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
cell04_auc,feature_auc_mannwhitney,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",480313,135,"{'mean_best_auc': 0.628736616545727, 'max_best_auc': 0.9228853209465145, 'n_significant_p05': 1858}","[{'feature': 's2__composite__b05__prebattle_baseline_std', 'mean_auc': 0.6908119253358789}, {'feature': 's2__composite__b05__winter_baseline_std', 'mean_auc': 0.690695596787151}, {'feature': 's2__comp",Per-feature AUC + Mann-Whitney U (Cell 4),"['auc', 'mann_whitney', 'feature_selection']",,,,
cell11_separability,feature_separability_jm_bhattacharyya,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",480313,135,"{'mean_jm': 0.1350024480044823, 'n_excellent': 0, 'n_good': 0, 'n_poor': 2295}","[{'feature': 's2__composite__b05__post_winter_baseline_std', 'mean_jm': 0.31086346648227287}, {'feature': 's2__composite__b02__post_winter_baseline_std', 'mean_jm': 0.3082785007331059}, {'feature': 's",J-M + Bhattacharyya + Chi-square separability (Cell 11),"['separability', 'jm_distance', 'bhattacharyya']",,,,
P1,,block_stats,,,,,,,,,best_auc,0.7203669513037497,ALL,s1__vh__blk02__max_std
P2,,coh_drop,,,,,,,,,best_auc,0.524454234667177,ALL,s1__coh__max_drop_std
P2b,,card_drop,,,,,,,,,best_auc,0.573759075540958,ALL,s1__vv__date_worst_drop_mean
P2c,,ms_change,,,,,,,,,best_auc,0.5009722431859932,ALL,s2__swir_z_running_max_std
P2d,,ms_maha,,,,,,,,,best_auc,0.5798613341839328,ALL,s2__mahalanobis_exceedance_count_max
P2e,,lu_change,,,,,,,,,best_auc,0.6168342746592135,ALL,s2__lu__loss_count_mean
P3,,prepost_single_card,,,,,,,,,best_auc,0.6730635893413973,ALL,delta_vv_std
P4,,composite_prepost_landuse,,,,,,,,,best_auc,0.6163082950245158,ALL,landuse__post_winter_baseline_mode
P5,,rolling_stats_roll3,,,,,,,,,best_auc,0.6449914725770782,ALL,s1__vh__baseline__skewness_std
P6,,rolling_stats_roll7,,,,,,,,,best_auc,0.6449914725770782,ALL,s1__vh__baseline__skewness_std
P7,,rolling_stats_roll13,,,,,,,,,best_auc,0.6449914725770782,ALL,s1__vh__baseline__skewness_std
P8,,fusion_composite_cohdrop,,,,,,,,,best_auc,0.6908119253358789,ALL,s2__composite__b05__prebattle_baseline_std
P9,,fusion_composite_blockstats,,,,,,,,,best_auc,0.7644403415644996,ALL,s1__vh__blk02__max_std
P10,,scene_ms,,,,,,,,,best_auc_prebattle,0.6290540425901531,ALL,s2__b11_std
P10,,scene_ms,,,,,,,,,best_auc_crossbattle,0.660956708633454,ALL,s2__b04_max
P10,,scene_ms,,,,,,,,,best_auc_postbattle,0.723665455766893,ALL,s2__b04_std
P11,,scene_card,,,,,,,,,best_auc_prebattle,0.6311162749854985,ALL,s1__vh_std
P11,,scene_card,,,,,,,,,best_auc_crossbattle,0.6458279416288804,ALL,s1__vh_std
