city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s1__vv__date_first_drop_max,0.6457606273483545,1.666531234018732e-12,higher=damaged
Avdiivka,s1__vv__date_first_drop_mean,0.645595259825813,1.7655010268124162e-12,higher=damaged
Avdiivka,s1__vv__date_first_drop_std,0.6532943379244659,1.1640620863462664e-13,higher=damaged
Avdiivka,s1__vv__date_worst_drop_max,0.7192289897399844,1.2761390398498034e-20,higher=damaged
Avdiivka,s1__vv__date_worst_drop_mean,0.6837359686108947,6.051837290467484e-15,higher=damaged
Avdiivka,s1__vv__date_worst_drop_std,0.7306596808677909,1.1887266950391683e-22,higher=damaged
Avdiivka,s1__vv__drop_count_max,0.6561164295796412,2.4811160163589402e-14,higher=damaged
Avdiivka,s1__vv__drop_count_mean,0.6469326583687711,1.0958720729513988e-12,higher=damaged
Avdiivka,s1__vv__drop_count_std,0.6247575965140887,1.418604355870002e-09,higher=damaged
Avdiivka,s1__vv__lu_transition_mode,0.704586282989917,1.1247772772791804e-21,higher=damaged
Avdiivka,s1__vv__max_z_drop_max,0.6579002300686954,2.0152133996973705e-11,higher=damaged
Avdiivka,s1__vv__max_z_drop_mean,0.630864899252322,2.7458868972224336e-08,higher=damaged
Avdiivka,s1__vv__max_z_drop_std,0.6125615158147378,1.7556257594769496e-06,higher=damaged
Avdiivka,s1__vv__z_running_min_max,0.6561864622736135,3.291707439795566e-11,higher=damaged
Avdiivka,s1__vv__z_running_min_mean,0.5144818574658466,0.5385580367386662,higher=damaged
Avdiivka,s1__vv__z_running_min_std,0.5941402063569806,6.390200430807051e-05,higher=damaged
Borodyanka,s1__vv__date_first_drop_max,0.5,1.0,higher=damaged
Borodyanka,s1__vv__date_first_drop_mean,0.5,1.0,higher=damaged
Borodyanka,s1__vv__date_first_drop_std,0.5,1.0,higher=damaged
Borodyanka,s1__vv__date_worst_drop_max,0.5,1.0,higher=damaged
Borodyanka,s1__vv__date_worst_drop_mean,0.5,1.0,higher=damaged
Borodyanka,s1__vv__date_worst_drop_std,0.5,1.0,higher=damaged
Borodyanka,s1__vv__drop_count_max,0.5,1.0,higher=damaged
Borodyanka,s1__vv__drop_count_mean,0.5,1.0,higher=damaged
Borodyanka,s1__vv__drop_count_std,0.5,1.0,higher=damaged
Borodyanka,s1__vv__lu_transition_mode,0.5,1.0,higher=damaged
Borodyanka,s1__vv__max_z_drop_max,0.5,1.0,higher=damaged
Borodyanka,s1__vv__max_z_drop_mean,0.5,1.0,higher=damaged
Borodyanka,s1__vv__max_z_drop_std,0.5,1.0,higher=damaged
Borodyanka,s1__vv__z_running_min_max,0.5,1.0,higher=damaged
