city,feature,auc_best,mann_whitney_p,direction
Avdiivka,landuse__post_winter_baseline_mode,0.5525145803550612,0.05195134497213618,higher=damaged
Avdiivka,landuse__prebattle_baseline_mode,0.7021694773121182,1.5761138863788306e-20,higher=damaged
Avdiivka,landuse__winter_baseline_mode,0.7021694773121182,1.5761138863788306e-20,higher=damaged
Avdiivka,landuse_changed,0.5053500459956661,0.724304766981599,higher=damaged
Bucha,landuse__post_winter_baseline_mode,0.6771109229441419,2.1445309092499845e-18,higher=damaged
Bucha,landuse__prebattle_baseline_mode,0.5954380064459968,1.8873342109204448e-06,higher=damaged
Bucha,landuse__winter_baseline_mode,0.5954380064459968,1.8873342109204448e-06,higher=damaged
Bucha,landuse_changed,0.5015673434493282,0.8800558425477948,lower=damaged
Chernihiv,landuse__post_winter_baseline_mode,0.6160365137677939,3.129264004252529e-22,higher=damaged
Chernihiv,landuse__prebattle_baseline_mode,0.5068590101798048,0.5718390216360686,lower=damaged
Chernihiv,landuse__winter_baseline_mode,0.5068590101798048,0.5718390216360686,lower=damaged
Chernihiv,landuse_changed,0.6051674985200317,5.088491400170999e-17,lower=damaged
Chornobaivka,landuse__post_winter_baseline_mode,0.7863273755427649,0.005805853552394969,higher=damaged
Chornobaivka,landuse__prebattle_baseline_mode,0.7054932848631728,0.044323409405534385,higher=damaged
Chornobaivka,landuse__winter_baseline_mode,0.7054932848631728,0.044323409405534385,higher=damaged
Chornobaivka,landuse_changed,0.6571745935575078,0.09728639087742999,lower=damaged
Dmytrivka,landuse__post_winter_baseline_mode,0.5,1.0,higher=damaged
Dmytrivka,landuse__prebattle_baseline_mode,0.6166062466576165,1.1923791764706668e-08,higher=damaged
Dmytrivka,landuse__winter_baseline_mode,0.6166062466576165,1.1923791764706668e-08,higher=damaged
Dmytrivka,landuse_changed,0.5,1.0,higher=damaged
Hostomel,landuse__post_winter_baseline_mode,0.6258484322683511,1.319991812293619e-29,higher=damaged
Hostomel,landuse__prebattle_baseline_mode,0.5308066373632191,0.007028605573310411,higher=damaged
Hostomel,landuse__winter_baseline_mode,0.5308066373632191,0.007028605573310411,higher=damaged
Hostomel,landuse_changed,0.5592847659529421,7.028192140807269e-08,lower=damaged
Irpin,landuse__post_winter_baseline_mode,0.5,1.0,higher=damaged
