timestep,best_auc,best_feature,n_obs
-5,0.6351658126970756,s1__vh_std,475644
-4,0.6326683396100024,s1__vh_std,485553
-3,0.6306047153696954,s1__vh_std,485553
-2,0.6306766938766001,s1__vh_std,485553
-1,0.628270978281865,s1__vv_std,485553
0,0.6605364236842386,s1__coh__date_worst_drop_max,598595
1,0.6605364236842386,s1__coh__date_worst_drop_max,598595
2,0.6605364236842386,s1__coh__date_worst_drop_max,598595
3,0.6268852550365804,s1__vh_std,430490
4,0.6519762636428694,s1__coh__date_first_drop_std,385335
5,0.866601909157447,s1__coh__date_first_drop_mean,264506
6,0.866601909157447,s1__coh__date_first_drop_mean,264506
7,0.8759334931413386,s1__coh__date_first_drop_mean,255441
8,0.8924594187395325,s1__coh__date_first_drop_mean,241832
9,0.7299478533408986,s1__vh_std,212859
10,0.7198621823449579,s1__vh_std,212859
11,0.725409826184731,s1__vh_std,212859
12,0.7092048517800321,s1__vh_std,212859
13,0.6956498172061112,s1__vh_std,212859
14,0.7192134147228578,s1__vh_std,212859
15,0.7117882417493344,s1__vh_std,212859
16,0.7144753638731105,s1__vh_std,212859
17,0.7022344708329956,s1__vh_std,212859
18,0.7202531679770879,s1__vh_std,212859
19,0.6555289291134503,s1__vv_std,42755
20,0.6655033575650897,s1__vv_mean,42755
21,0.7015701900887727,s1__vh_std,42755
22,0.7301853764007179,s1__vh_std,42755
23,0.7816132415222451,s1__vh_std,22937
24,0.7719705890317023,s1__vh_std,22937
25,0.7855241655439104,s1__vh_std,22937
26,0.7949567815085892,s1__vh_std,22937
27,0.7818847521532402,s1__vh_std,22937
28,0.7789983965504245,s1__vh_std,22937
29,0.7772178430053811,s1__vh_std,22937
30,0.7742912365003962,s1__vh_std,22937
31,0.7797390131503358,s1__vh_std,22937
32,0.7836718922095477,s1__vh_std,22937
33,0.7776598710946564,s1__vh_std,22937
34,0.7648381291673405,s1__vh_std,22937
35,0.7861403702643899,s1__vh_std,22937
36,0.7642738847023886,s1__vh_std,22937
37,0.7899539602862646,s1__vh_std,22937
38,0.7730661454052864,s1__vh_std,22937
39,0.774789615852708,s1__vh_std,22937
40,0.7727931711051214,s1__vh_std,22937
41,0.7529245939598765,s1__vh_std,22937
42,0.7675561628156312,s1__vh_std,22937
43,0.7562302907798356,s1__vh_std,22937
44,0.754852978091068,s1__vh_std,22937
45,0.7544841334602823,s1__vh_std,22937
46,0.7441103782194318,s1__vh_std,22937
47,0.7799651500370675,s1__vh_std,22937
48,0.7758976134142352,s1__vh_std,22937
49,0.7576690775737341,s1__vh_std,22937
50,0.7849855352894296,s1__vh_std,22937
51,0.7577049374683937,s1__vh_std,22937
52,0.7675261575976505,s1__vh_std,22937
53,0.7533951635979622,s1__vh_std,22937
54,0.7708208768988363,s1__vh_std,22937
55,0.779382609707493,s1__vh_std,22937
56,0.7848164815003195,s1__vh_std,22937
57,0.7751108912354758,s1__vh_std,22937
58,0.7700019539983416,s1__vh_std,22937
59,0.7896861088281938,s1__vh_std,22937
60,0.7594908520834447,s1__vh_std,10414
61,0.8593875260541927,s1__vh_std,10414
62,0.8040279336575633,s1__vh_std,10414
63,0.8023266171414319,s1__vh_std,10414
64,0.7726560133967542,s1__vh_std,10414
65,0.8678495715532752,s1__vh_std,10414
66,0.8221545258582296,s1__vv_std,10414
67,0.8211925248962286,s1__vh_std,10414
68,0.7869256943331018,s1__vv_std,10414
69,0.8189745782338375,s1__vh_std,10414
70,0.8462758092387722,s1__vh_std,10414
71,0.8296545703953111,s1__vh_std,10414
72,0.8032797106871181,s1__vh_std,10414
73,0.8096574207685319,s1__vh_max,10414
74,0.8056490834268613,s1__vh_max,10414
75,0.8054085831863609,s1__vh_std,10414
76,0.8101829583311064,s1__vh_std,10414
77,0.858416617675877,s1__vh_std,10414
78,0.8301266634599969,s1__vh_std,10414
79,0.7916911620615324,s1__vh_std,10414
80,0.777359129210981,s1__vh_std,10414
81,0.7596511855771114,s1__vh_std,10414
82,0.8255037143926033,s1__vh_std,10414
83,0.7745532930718115,s1__vh_std,10414
84,0.817228724636132,s1__vh_std,10414
85,0.8255126218089182,s1__vh_std,10414
86,0.8216468031282845,s1__vh_std,10414
87,0.8297169223095149,s1__vh_std,10414
88,0.775996294514813,s1__vh_max,10414
89,0.7980243350613722,s1__vh_std,10414
90,0.8055956389289722,s1__vh_std,10414
91,0.8201770794363387,s1__vh_std,10414
92,0.8043396932285821,s1__vh_std,10414
93,0.8206669873336541,s1__vh_std,10414
94,0.780850836406392,s1__vh_max,10414
95,0.8162489088415015,s1__vh_std,10414
96,0.7898651417169936,s1__vh_max,10414
97,0.812988794470276,s1__vh_std,10414
98,0.8342418897974453,s1__vh_std,10414
99,0.7975878716619458,s1__vh_max,10414
100,0.8164359645841127,s1__vh_std,10414
101,0.8058539540021021,s1__vh_std,10414
102,0.8219229330340441,s1__vh_std,10414
103,0.8073147702777331,s1__vh_std,10414
104,0.8121693121693122,s1__vh_std,10414
105,0.8163023533393904,s1__vh_std,10414
106,0.7954411843300732,s1__vh_std,10414
107,0.841635045338749,s1__vh_std,10414
108,0.8236776940480643,s1__vh_std,10414
109,0.8656227174745693,s1__vh_std,10414
110,0.7810913366468922,s1__vh_std,10414
111,0.8346427235316124,s1__vh_std,10414
112,0.8039032298291557,s1__vh_std,10414
113,0.8145832219906293,s1__vh_std,10414
114,0.8135321468654801,s1__vh_std,10414
115,0.7650758021128391,s1__vh_max,10414
116,0.8119377193451268,s1__vh_std,10414
117,0.8132916466249799,s1__vh_std,10414
118,0.7824987084246344,s1__vh_max,10414
119,0.8034489515970997,s1__vh_max,10414
