timestep,best_auc,best_feature,n_obs
-6.0,0.5709786841664894,s2__mndwi_mean,339861
-5.0,0.7007224857004128,s2__ndvi_mean,370835
-4.0,0.5662437167367327,s2__ndvi_mean,451340
-3.0,0.5992505900891557,s2__savi_std,480313
-7.0,0.6629364769519281,s2__ndvi_mean,53801
-2.0,0.66922593760824,s2__bsi_max,480313
-1.0,0.5660054313408416,s2__ndvi_std,480313
0.0,0.6138087102150342,s2__mndwi_mean,480313
1.0,0.7066780806473205,s2__mndwi_mean,480313
2.0,0.7099993421884252,s2__mndwi_mean,443745
3.0,0.7174962858237435,s2__mndwi_mean,406137
4.0,0.7096841624939192,s2__mndwi_mean,406137
5.0,0.6932732654741283,s2__mndwi_mean,354762
6.0,0.6374914221713397,s2__mndwi_mean,341299
7.0,0.6905280100124505,s2__mndwi_mean,277353
8.0,0.8757395141597002,s2__mndwi_mean,241832
9.0,0.7231018496060317,s2__mndwi_mean,42755
10.0,0.7278879564244184,s2__mndwi_mean,42755
11.0,0.7062010658276796,s2__mndwi_mean,42755
12.0,0.6832604070657861,s2__mndwi_mean,42755
13.0,0.7228132599644768,s2__ndvi_std,22937
14.0,0.7465612922442366,s2__bsi_std,22937
15.0,0.8104365466482342,s2__bsi_max,22937
16.0,0.7966414647230116,s2__ndvi_mean,22937
17.0,0.7904135524055769,s2__ndvi_mean,22937
18.0,0.8667190172339726,s2__bsi_max,22937
19.0,0.7719427793174765,s2__ndvi_mean,22937
20.0,0.795794732108291,s2__savi_mean,22937
21.0,0.9271106122957975,s2__bsi_max,10414
22.0,0.9321700247626173,s2__bsi_max,10414
23.0,0.9197887160850123,s2__bsi_max,10414
24.0,0.930976430976431,s2__bsi_max,10414
25.0,0.9281349651720023,s2__bsi_max,10414
26.0,0.9103023177097251,s2__bsi_max,10414
27.0,0.8514688329503144,s2__bsi_std,10414
28.0,0.9267543156432045,s2__bsi_max,10414
29.0,0.9434735360661286,s2__bsi_max,10414
30.0,0.922541107726293,s2__bsi_max,10414
31.0,0.9068551475958884,s2__bsi_max,10414
32.0,0.9099460210571322,s2__bsi_max,10414
33.0,0.884078884078884,s2__bsi_max,10414
34.0,0.9108011330233552,s2__bsi_max,10414
35.0,0.9176153065041954,s2__bsi_max,10414
36.0,0.9117453191527266,s2__bsi_max,10414
37.0,0.914399729214544,s2__bsi_max,10414
38.0,0.9196372900076604,s2__bsi_max,10414
39.0,0.9067571660164253,s2__bsi_max,10414
40.0,0.9197798086686976,s2__bsi_max,10414
41.0,0.9321433025136728,s2__bsi_max,10414
42.0,0.9274045570341867,s2__bsi_max,10414
43.0,0.9241444426629611,s2__bsi_max,10414
44.0,0.9256497960201664,s2__bsi_max,10414
45.0,0.9194324194324194,s2__bsi_max,10414
46.0,0.8785919156289527,s2__bsi_max,10414
47.0,0.7992179288475585,s2__savi_mean,10414
48.0,0.8406552295441184,s2__bsi_std,10414
49.0,0.8773181550959329,s2__bsi_max,10414
50.0,0.909447205743502,s2__bsi_max,10414
51.0,0.8901804642545383,s2__bsi_max,10414
52.0,0.8776744517485259,s2__bsi_max,10414
53.0,0.8901537420055938,s2__bsi_max,10414
54.0,0.8640639196194752,s2__bsi_max,10414
55.0,0.857704024370691,s2__bsi_max,10414
56.0,0.8591024887321184,s2__bsi_max,10414
57.0,0.8613560650597688,s2__bsi_max,10414
58.0,0.8958723032797107,s2__bsi_max,10414
59.0,0.8882920919957957,s2__bsi_max,10414
60.0,0.9108723923538738,s2__bsi_max,10414
61.0,0.8777546184953592,s2__bsi_max,10414
62.0,0.9150321557728965,s2__bsi_max,10414
63.0,0.9033990700657367,s2__bsi_max,10414
64.0,0.9045837564356083,s2__bsi_max,10414
65.0,0.9154508043396932,s2__bsi_max,10414
66.0,0.9183100849767517,s2__bsi_max,10414
67.0,0.9165107868811573,s2__bsi_max,10414
68.0,0.8237222311296385,s2__bsi_std,10414
69.0,0.8796875278356759,s2__bsi_max,10414
70.0,0.8619528619528619,s2__bsi_max,10414
71.0,0.8607325459177311,s2__bsi_max,10414
72.0,0.9034079774820516,s2__bsi_max,10414
73.0,0.8906169276539647,s2__bsi_max,10414
