timestep,best_auc,best_feature,n_obs
-7,0.677051678240517,s2__b02_max,53801
-6,0.6408587872435687,s2__b04_max,339861
-5,0.6474162128531629,s2__b04_max,370835
-4,0.6189856970859999,s2__b04_max,451340
-3,0.6406346180214849,s2__b04_std,480313
-2,0.6182468630836979,s2__b02_mean,480313
-1,0.5795595817505214,s2__b04_std,480313
0,0.6336134811368377,s2__b02_max,480313
1,0.7025177554597546,s2__b04_max,480313
2,0.6739824169035109,s2__b04_max,443745
3,0.6866549356874565,s2__b04_std,406137
4,0.690329003163676,s2__b04_std,406137
5,0.7080065074977234,s2__b04_std,299553
6,0.7625371927151576,s2__b04_std,277025
7,0.7171148632525858,s2__b02_std,268288
8,0.6675599508638098,s2__b02_max,71728
9,0.7367656863254513,s2__b02_max,22937
10,0.7625562689316459,s2__b02_max,22937
11,0.7568896737408237,s2__b02_max,22937
12,0.7510452427458727,s2__b04_max,22937
13,0.7231356330991219,s2__b02_max,22937
14,0.7325576374623196,s2__b02_max,22937
15,0.7102637605027411,s2__b04_std,22937
16,0.7467058295747528,s2__b04_std,22937
17,0.773020771661023,s2__b04_max,22937
18,0.7334010296973261,s2__b04_max,10414
19,0.7655211729285804,s2__b04_std,10414
20,0.7691553987850285,s2__b04_std,10414
21,0.7481338962820445,s2__b04_max,10414
22,0.7854559706411558,s2__b04_std,10414
23,0.8030926549445068,s2__b04_std,10414
24,0.780494539753799,s2__b04_std,10414
25,0.7871038426593981,s2__b04_std,10414
26,0.7697521956781217,s2__b04_std,10414
27,0.8042595264817486,s2__b04_std,10414
28,0.8122851085814049,s2__b04_std,10414
29,0.786302175191064,s2__b04_std,10414
30,0.8036003776744517,s2__b04_std,10414
31,0.7668127482942299,s2__b04_std,10414
32,0.7644433755544866,s2__b04_std,10414
33,0.7727807172251617,s2__b04_max,10414
34,0.7645591719665794,s2__b04_std,10414
35,0.764327579142394,s2__b04_std,10414
36,0.7888764185060482,s2__b04_std,10414
37,0.7938734790586642,s2__b04_std,10414
38,0.7617266135784654,s2__b04_std,10414
39,0.7642830420608199,s2__b04_std,10414
40,0.7776976110309444,s2__b04_std,10414
41,0.7539504391356243,s2__b04_std,10414
42,0.7561594783817005,s2__b04_std,10414
43,0.7527835675983825,s2__b04_std,10414
44,0.7667682112126556,s2__b04_std,10414
45,0.7620561879821139,s2__b04_std,10414
46,0.828291735699143,s2__b04_std,10414
47,0.7934459230755526,s2__b04_std,10414
48,0.8322733507918693,s2__b04_std,10414
49,0.7757557942743128,s2__b04_std,10414
50,0.7907959667218927,s2__b04_std,10414
51,0.7556517556517557,s2__b04_std,10414
52,0.7976680384087791,s2__b04_std,10414
53,0.7748116081449415,s2__b04_std,10414
54,0.7235182512960291,s2__b04_max,10414
55,0.7325191954821584,s2__b04_std,10414
56,0.7009958491439973,s2__b04_max,10414
57,0.7139205102168066,s2__b04_max,10414
58,0.7256426700871145,s2__b04_std,10414
59,0.6937273974311012,s2__b04_std,10414
60,0.7496659718881941,s2__b04_std,10414
61,0.7789090196497603,s2__b04_std,10414
62,0.7191669784262377,s2__b04_std,10414
63,0.7645769867992089,s2__b04_std,10414
64,0.7618424099905581,s2__b04_std,10414
65,0.7858300821263784,s2__b04_std,10414
66,0.7914862914862915,s2__b04_std,10414
67,0.8179056882760587,s2__b04_std,10414
68,0.8517894999376481,s2__b04_std,10414
69,0.7871661945736019,s2__b04_std,10414
70,0.795556980742166,s2__b04_std,10414
71,0.8034578590134146,s2__b04_std,10414
72,0.8206758947499689,s2__b04_std,10414
73,0.8000195963158926,s2__b04_std,10414
