city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s2__lu__date_first_loss_max,0.7287764791356791,2.330150327346642e-71,higher=damaged
Avdiivka,s2__lu__date_first_loss_mean,0.8164275916163185,6.701106121541211e-41,higher=damaged
Avdiivka,s2__lu__date_first_loss_std,0.6225432079130618,2.121107788108624e-07,higher=damaged
Avdiivka,s2__lu__date_persistent_loss_max,0.841613607487986,6.530891278098427e-48,higher=damaged
Avdiivka,s2__lu__date_persistent_loss_mean,0.8377934369877447,7.064012361754022e-47,higher=damaged
Avdiivka,s2__lu__date_persistent_loss_std,0.6256485931109517,8.826800178136875e-08,higher=damaged
Avdiivka,s2__lu__final_class_mode,0.6886115995828762,1.4631663722101894e-16,higher=damaged
Avdiivka,s2__lu__loss_count_max,0.7572070419455171,1.6584806400191626e-27,higher=damaged
Avdiivka,s2__lu__loss_count_mean,0.664481044182949,4.538919513907457e-12,higher=damaged
Avdiivka,s2__lu__loss_count_std,0.766064596349625,4.693646850764639e-29,higher=damaged
Avdiivka,s2__lu__loss_fraction_max,0.7254587367367114,1.9042888173370073e-21,higher=damaged
Avdiivka,s2__lu__loss_fraction_mean,0.6116714228655391,2.6711877778741236e-06,lower=damaged
Avdiivka,s2__lu__loss_fraction_std,0.6839627841745992,1.0411770492034401e-14,higher=damaged
Avdiivka,s2__lu__modal_post_class_mode,0.699074484062366,7.601452575176626e-65,higher=damaged
Avdiivka,s2__lu__urban_retained_max,0.5,1.0,higher=damaged
Avdiivka,s2__lu__urban_retained_mean,0.5,1.0,higher=damaged
Avdiivka,s2__lu__urban_retained_std,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_first_loss_max,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_first_loss_mean,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_first_loss_std,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_persistent_loss_max,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_persistent_loss_mean,0.5,1.0,higher=damaged
Borodyanka,s2__lu__date_persistent_loss_std,0.5,1.0,higher=damaged
Borodyanka,s2__lu__final_class_mode,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_count_max,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_count_mean,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_count_std,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_fraction_max,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_fraction_mean,0.5,1.0,higher=damaged
Borodyanka,s2__lu__loss_fraction_std,0.5,1.0,higher=damaged
Borodyanka,s2__lu__modal_post_class_mode,0.5,1.0,higher=damaged
Borodyanka,s2__lu__urban_retained_max,0.5,1.0,higher=damaged
Borodyanka,s2__lu__urban_retained_mean,0.5,1.0,higher=damaged
Borodyanka,s2__lu__urban_retained_std,0.5,1.0,higher=damaged
Bucha,s2__lu__date_first_loss_max,0.6441265807942543,1.3162598130162762e-61,higher=damaged
Bucha,s2__lu__date_first_loss_mean,0.6436462479118785,3.544476585329943e-61,higher=damaged
Bucha,s2__lu__date_first_loss_std,0.5097350432614993,0.2634156439730535,higher=damaged
Bucha,s2__lu__date_persistent_loss_max,0.5520824443433521,7.483480603341428e-83,higher=damaged
Bucha,s2__lu__date_persistent_loss_mean,0.5520564703752051,9.015975735837384e-83,higher=damaged
Bucha,s2__lu__date_persistent_loss_std,0.5430123346664163,2.53198963747397e-78,higher=damaged
Bucha,s2__lu__final_class_mode,0.5187400324897234,1.2840500466501257e-17,higher=damaged
Bucha,s2__lu__loss_count_max,0.6380132363341676,1.4548861235445056e-58,lower=damaged
Bucha,s2__lu__loss_count_mean,0.6317600035027751,9.273076130310595e-52,lower=damaged
Bucha,s2__lu__loss_count_std,0.5678506838203699,3.3256560430540533e-15,lower=damaged
Bucha,s2__lu__loss_fraction_max,0.5903910789066888,7.019938896427665e-23,lower=damaged
Bucha,s2__lu__loss_fraction_mean,0.618465970020104,7.197202021766612e-35,lower=damaged
Bucha,s2__lu__loss_fraction_std,0.540489520245966,2.5506710110187126e-05,lower=damaged
Bucha,s2__lu__modal_post_class_mode,0.5000001855283439,1.0,higher=damaged
Bucha,s2__lu__urban_retained_max,0.5,1.0,higher=damaged
Bucha,s2__lu__urban_retained_mean,0.5,1.0,higher=damaged
Bucha,s2__lu__urban_retained_std,0.5,1.0,higher=damaged
Chernihiv,s2__lu__date_first_loss_max,0.5005575400250374,0.9619561895990527,higher=damaged
Chernihiv,s2__lu__date_first_loss_mean,0.5076473264142243,0.5132946469165609,lower=damaged
Chernihiv,s2__lu__date_first_loss_std,0.5479162599769157,3.70522626188565e-05,higher=damaged
Chernihiv,s2__lu__date_persistent_loss_max,0.520151955176053,0.0045055056022187566,higher=damaged
Chernihiv,s2__lu__date_persistent_loss_mean,0.5031685029334024,0.7319732146705258,lower=damaged
Chernihiv,s2__lu__date_persistent_loss_std,0.5509319122813892,5.876875473764062e-11,higher=damaged
Chernihiv,s2__lu__final_class_mode,0.5005667181228484,0.9538272147410609,higher=damaged
Chernihiv,s2__lu__loss_count_max,0.5242708913215556,0.014427641977989314,lower=damaged
Chernihiv,s2__lu__loss_count_mean,0.5644681945375492,3.5316565986727965e-08,lower=damaged
Chernihiv,s2__lu__loss_count_std,0.589883435804442,1.0911152143184845e-14,higher=damaged
Chernihiv,s2__lu__loss_fraction_max,0.5283469375099796,0.010961233785356402,higher=damaged
Chernihiv,s2__lu__loss_fraction_mean,0.5672796635827082,1.3532439798658013e-08,lower=damaged
Chernihiv,s2__lu__loss_fraction_std,0.5834761233550467,1.8356981231873646e-12,higher=damaged
Chernihiv,s2__lu__modal_post_class_mode,0.5133698409823954,0.07440217464440907,higher=damaged
Chernihiv,s2__lu__urban_retained_max,0.5,1.0,higher=damaged
Chernihiv,s2__lu__urban_retained_mean,0.5,1.0,higher=damaged
Chernihiv,s2__lu__urban_retained_std,0.5,1.0,higher=damaged
Chornobaivka,s2__lu__date_first_loss_max,0.8150897034568649,0.005009145379134608,higher=damaged
Chornobaivka,s2__lu__date_first_loss_mean,0.8273755427648187,0.005122575251329136,higher=damaged
Chornobaivka,s2__lu__date_first_loss_std,0.8718485980679255,0.0014745650658106483,higher=damaged
Chornobaivka,s2__lu__date_persistent_loss_max,0.5001009795011613,0.9993635723728441,higher=damaged
Chornobaivka,s2__lu__date_persistent_loss_mean,0.5118482614695884,0.9169695527430741,lower=damaged
Chornobaivka,s2__lu__date_persistent_loss_std,0.5304032448079706,0.7941534533022276,lower=damaged
Chornobaivka,s2__lu__final_class_mode,0.6613147531051197,0.09278025391468067,higher=damaged
Chornobaivka,s2__lu__loss_count_max,0.5015735972264297,0.9891344152710979,lower=damaged
Chornobaivka,s2__lu__loss_count_mean,0.8498098219394796,0.002816122212771191,lower=damaged
Chornobaivka,s2__lu__loss_count_std,0.814769935036521,0.007209000705245963,higher=damaged
Chornobaivka,s2__lu__loss_fraction_max,0.5479820929684608,0.678298477929385,lower=damaged
Chornobaivka,s2__lu__loss_fraction_mean,0.8789508229829345,0.001245269960022883,lower=damaged
Chornobaivka,s2__lu__loss_fraction_std,0.7629001312733514,0.025113673071326045,higher=damaged
Chornobaivka,s2__lu__modal_post_class_mode,0.7824396647480562,0.005347041413060127,higher=damaged
Chornobaivka,s2__lu__urban_retained_max,0.5,1.0,higher=damaged
Chornobaivka,s2__lu__urban_retained_mean,0.5,1.0,higher=damaged
Chornobaivka,s2__lu__urban_retained_std,0.5,1.0,higher=damaged
