feature,VIF
s2__lu__loss_count_max,101.1964216749415
s2__lu__loss_count_mean,78.64398520664872
s2__lu__date_first_loss_max,18.723263343951327
s2__lu__date_persistent_loss_max,15.872631204656992
s2__lu__loss_fraction_mean,14.676598376902565
s2__lu__loss_fraction_max,9.939020057932778
s2__lu__date_first_loss_mean,9.723421738115436
s2__lu__loss_count_std,8.79230391491247
s2__lu__date_persistent_loss_std,7.546095031720807
s2__lu__date_first_loss_std,5.321370340436031
s2__lu__date_persistent_loss_mean,4.76319112895811
s2__lu__loss_fraction_std,3.5351980803458702
s2__lu__modal_post_class_mode,3.2125011299830164
s2__lu__final_class_mode,1.0335229491481204
s2__lu__urban_retained_max,0.0
s2__lu__urban_retained_mean,0.0
s2__lu__urban_retained_std,
