city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s2__date_worst_swir_rise_max,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise_mean,0.5,1.0,higher=damaged
Avdiivka,s2__date_worst_swir_rise_std,0.5,1.0,higher=damaged
Avdiivka,s2__lu_transition_mode,0.5057340962529345,0.004437713885248292,higher=damaged
Avdiivka,s2__swir_baseline_mean_max,0.5053396540475283,0.016531996627764618,lower=damaged
Avdiivka,s2__swir_baseline_mean_mean,0.5053396540475283,0.016531996627764618,lower=damaged
Avdiivka,s2__swir_baseline_mean_std,0.5057372590197591,0.010010893891844508,lower=damaged
Avdiivka,s2__swir_baseline_std_max,0.5054959850934282,0.013619842320374718,lower=damaged
Avdiivka,s2__swir_baseline_std_mean,0.5054959850934282,0.013619842320374718,lower=damaged
Avdiivka,s2__swir_baseline_std_std,0.5057372590197591,0.010010893891844508,lower=damaged
Avdiivka,s2__swir_z_running_max_max,0.5055709878495536,0.005704412645134883,lower=damaged
Avdiivka,s2__swir_z_running_max_mean,0.50573093348611,0.004459633054965974,higher=damaged
Avdiivka,s2__swir_z_running_max_std,0.5057372590197592,0.004415898103828533,lower=damaged
Borodyanka,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Borodyanka,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Borodyanka,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Borodyanka,s2__swir_baseline_std_max,0.5,1.0,higher=damaged
Borodyanka,s2__swir_baseline_std_mean,0.5,1.0,higher=damaged
Borodyanka,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std_max,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std_mean,0.5,1.0,higher=damaged
Bucha,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std_max,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std_mean,0.5,1.0,higher=damaged
Chernihiv,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise_max,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise_mean,0.5,1.0,higher=damaged
Chornobaivka,s2__date_worst_swir_rise_std,0.5,1.0,higher=damaged
Chornobaivka,s2__lu_transition_mode,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std_max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std_mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max_max,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max_mean,0.5,1.0,higher=damaged
Chornobaivka,s2__swir_z_running_max_std,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Dmytrivka,s2__swir_baseline_std_max,0.5000370233246946,0.9183254066373864,higher=damaged
Dmytrivka,s2__swir_baseline_std_mean,0.5000370233246946,0.9183254066373864,higher=damaged
Dmytrivka,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean_max,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean_mean,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_mean_std,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std_max,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std_mean,0.5,1.0,higher=damaged
Hostomel,s2__swir_baseline_std_std,0.5,1.0,higher=damaged
