feature,VIF
s2__date_worst_swir_rise_max,144016104995.6189
s2__date_worst_swir_rise_mean,144016104995.6189
s2__swir_z_running_max_std,33.87008021428778
s2__swir_baseline_mean_std,20.653838877885402
s2__swir_baseline_mean_max,11.455279034928221
s2__swir_z_running_max_max,10.836735019073592
s2__swir_baseline_std_max,8.73756214454658
s2__swir_z_running_max_mean,2.2558135373097783
s2__swir_baseline_std_mean,2.0438513427745906
s2__lu_transition_mode,1.2477995028365754
s2__swir_baseline_std_std,1.0879832065403652
s2__swir_baseline_mean_mean,0.38468501272460165
s2__date_worst_swir_rise_std,
