feature,VIF
s2__mahalanobis_running_max_std,241.54577510245392
s2__mahalanobis_exceedance_count_max,205.75066493260903
s2__mahalanobis_exceedance_count_mean,164.8232545552145
s2__mahalanobis_running_max_mean,108.04400185061483
s2__mahalanobis_running_max_max,55.297793499336464
s2__date_worst_exceedance_max,32.83381249791592
s2__date_worst_exceedance_std,12.986060279558993
s2__date_first_exceedance_max,11.342759797448299
s2__date_worst_exceedance_mean,11.005291698360567
s2__mahalanobis_exceedance_count_std,8.510374569121042
s2__date_first_exceedance_std,5.056769320772401
s2__date_first_exceedance_mean,2.3317433602949764
s2__lu_transition_mode,1.0750874614074748
