city,feature,jm_distance,bhattacharyya
Avdiivka,pre_vv_mean,0.028538823,0.014372218
Avdiivka,pre_vv_std,0.4856261,0.27814507
Avdiivka,post_vv_mean,0.018798113,0.009443568
Avdiivka,post_vv_std,0.36213648,0.19975463
Avdiivka,delta_vv_mean,0.003836751,0.0019202619
Avdiivka,delta_vv_std,0.47469068,0.27094996
Avdiivka,pre_vh_mean,0.13240886,0.06849772
Avdiivka,pre_vh_std,0.54550314,0.31848705
Avdiivka,post_vh_mean,0.02267301,0.011401271
Avdiivka,post_vh_std,0.45275295,0.25666994
Avdiivka,delta_vh_mean,0.041199803,0.020815052
Avdiivka,delta_vh_std,0.47921026,0.27391735
Borodyanka,pre_vv_mean,0.004843354,0.0024245433
Borodyanka,pre_vv_std,0.056024313,0.028412048
Borodyanka,post_vv_mean,0.0038160086,0.0019098427
Borodyanka,post_vv_std,0.030008554,0.015118029
Borodyanka,delta_vv_mean,0.13233817,0.06845981
Borodyanka,delta_vv_std,0.29177332,0.15769133
Borodyanka,pre_vh_mean,0.04068494,0.020552184
Borodyanka,pre_vh_std,0.002156496,0.001078776
Borodyanka,post_vh_mean,0.03277886,0.016525233
Borodyanka,post_vh_std,0.00018262863,9.134984e-05
Borodyanka,delta_vh_mean,0.0037072897,0.0018553225
Borodyanka,delta_vh_std,0.14454925,0.07501951
Bucha,pre_vv_mean,0.119348764,0.06152902
Bucha,pre_vv_std,0.2317822,0.12317502
Bucha,post_vv_mean,0.051773667,0.026227757
Bucha,post_vv_std,0.1648314,0.0860108
Bucha,delta_vv_mean,0.050232768,0.025437154
Bucha,delta_vv_std,0.22785544,0.120956756
Bucha,pre_vh_mean,0.020106196,0.010103994
Bucha,pre_vh_std,0.21437728,0.113380015
Bucha,post_vh_mean,0.012821317,0.0064313635
Bucha,post_vh_std,0.1730634,0.090506576
Bucha,delta_vh_mean,0.028428555,0.014316205
Bucha,delta_vh_std,0.19764638,0.10405374
Chernihiv,pre_vv_mean,0.009158969,0.004589964
Chernihiv,pre_vv_std,0.17527437,0.09171754
Chernihiv,post_vv_mean,0.00048589706,0.00024296716
Chernihiv,post_vv_std,0.20584846,0.108614996
Chernihiv,delta_vv_mean,0.02705121,0.013617832
Chernihiv,delta_vv_std,0.19684684,0.10361023
