timestep,best_auc,best_feature,n_obs
-4,0.6906808139566472,s1__vh__roll3_std,598595
-3,0.6854950236058954,s1__vh__roll3_std,598595
-2,0.6822559731425858,s1__vh__roll3_std,598595
-1,0.6844558166357622,s1__vh__roll3_std,598595
0,0.6829082315139943,s1__vh__roll3_std,598595
1,0.6751230488521092,s1__vh__roll3_std,598595
2,0.6653244306357403,s1__vv__roll7_std,543532
3,0.6608964322848931,s1__vh__roll3_std,498377
4,0.6665335040367071,s1__vh__roll3_max,377548
5,0.6772792992925192,s1__vh__roll3_max,377548
6,0.6497740588556832,s1__vv__roll7_std,255441
7,0.6567855294579782,s1__vv__roll7_std,241832
8,0.7179569899177584,s1__vh__roll3_std,212859
9,0.7205944594434501,s1__vh__roll3_std,212859
10,0.7235608540496277,s1__vh__roll3_std,212859
11,0.717926396102614,s1__vh__roll3_std,212859
12,0.710670840062102,s1__vh__roll3_std,212859
13,0.715635185381477,s1__vh__roll3_std,212859
14,0.7192848280033172,s1__vh__roll3_std,212859
15,0.7192852228963116,s1__vh__roll3_std,212859
16,0.7147334368368655,s1__vh__roll3_std,212859
17,0.7092896914223007,s1__vh__roll3_std,212859
18,0.6691338244364211,s1__vh__roll3_std,42755
19,0.6679673737534737,s1__vh__roll3_std,42755
20,0.7103340166228908,s1__vv__roll7_std,42755
21,0.7186666759066119,s1__vh__roll3_std,42755
22,0.789562428783347,s1__vh__roll3_std,22937
23,0.7889513469049617,s1__vh__roll3_std,22937
24,0.7860122992120337,s1__vh__roll3_std,22937
25,0.7733127736603951,s1__vh__roll3_std,22937
26,0.7737204055241801,s1__vh__roll3_std,22937
27,0.7667591949526833,s1__vh__roll3_std,22937
28,0.7558921832016153,s1__vh__roll3_std,22937
29,0.7565120470950193,s1__vh__roll3_std,22937
30,0.742204680960372,s1__vv__roll3_std,22937
31,0.7620593532485039,s1__vh__roll3_std,22937
32,0.7670233872378294,s1__vh__roll3_std,22937
33,0.7676827701988175,s1__vh__roll3_std,22937
34,0.7702244317121489,s1__vh__roll3_std,22937
35,0.7573456066872118,s1__vh__roll3_std,22937
36,0.761705877144001,s1__vh__roll3_std,22937
37,0.744673890849799,s1__vh__roll3_std,22937
38,0.7509464450769121,s1__vh__roll3_std,22937
39,0.7722457588356219,s1__vh__roll3_std,22937
40,0.7721469611666614,s1__vh__roll3_std,22937
41,0.7665798954793845,s1__vh__roll3_std,22937
42,0.7682726288742409,s1__vh__roll3_std,22937
43,0.7650979304449773,s1__vh__roll3_std,22937
44,0.750239492867906,s1__vh__roll3_std,22937
45,0.7552723193082114,s1__vh__roll3_std,22937
46,0.7636496298014752,s1__vh__roll3_std,22937
47,0.7660171146836021,s1__vh__roll3_std,22937
48,0.7547014883319955,s1__vh__roll3_std,22937
49,0.7694977199693509,s1__vh__roll3_std,22937
50,0.7555804216684512,s1__vh__roll3_std,22937
51,0.7719274107911936,s1__vh__roll3_std,22937
52,0.7588429402479017,s1__vh__roll3_std,22937
53,0.7605071320939472,s1__vh__roll3_std,22937
54,0.7600753496888606,s1__vh__roll3_std,22937
55,0.7630539164493727,s1__vh__roll3_std,22937
56,0.7539857541079704,s1__vh__roll3_std,22937
