timestep,best_auc,best_feature,n_obs
-4,0.6227485226935177,s1__coh_vv__roll3_std,164342
-3,0.6393694403910604,s1__coh_vv__roll3_std,164342
-2,0.6490552762725212,s1__coh_vv__roll3_max,205942
-1,0.6230464392321694,s1__coh_vv__roll7_std,205942
0,0.6152909506813578,s1__coh_vv__roll7_std,240718
1,0.7081799496394795,s1__coh_vv__roll13_std,143033
2,0.7180851766914063,s1__coh_vv__roll13_std,125818
3,0.7220390062719336,s1__coh_vv__roll13_std,42755
4,0.7116397570534468,s1__coh_vv__roll13_std,42755
5,0.6466775807597761,s1__coh_vv__roll13_std,42755
6,0.6802885477401314,s1__coh_vv__roll7_std,42755
7,0.6615286999909984,s1__coh_vv__roll7_std,42755
8,0.699187444060394,s1__coh_vv__roll3_std,22937
9,0.6786375289166141,s1__coh_vv__roll3_std,22937
10,0.6753245137508059,s1__coh_vv__roll3_std,22937
11,0.6988251859408722,s1__coh_vv__roll3_std,22937
12,0.7079767774249521,s1__coh_vv__roll3_std,22937
13,0.6809047524606109,s1__coh_vv__roll3_std,22937
14,0.675753368817553,s1__coh_vv__roll3_std,22937
15,0.682624563735108,s1__coh_vv__roll3_std,22937
16,0.6937272262225114,s1__coh_vv__roll3_std,22937
17,0.7055163495505438,s1__coh_vv__roll3_std,22937
18,0.6995555568565949,s1__coh_vv__roll3_std,22937
19,0.6687233657950762,s1__coh_vv__roll7_std,22937
20,0.6854135853381331,s1__coh_vv__roll3_std,22937
21,0.6816204866846356,s1__coh_vv__roll3_std,22937
22,0.6851259743462704,s1__coh_vv__roll3_std,22937
23,0.6850813324365921,s1__coh_vv__roll3_std,22937
24,0.6653196031407413,s1__coh_vv__roll3_std,22937
25,0.6603914290460756,s1__coh_vv__roll3_std,22937
26,0.6505702089168189,s1__coh_vv__roll3_std,22937
27,0.6805673767169754,s1__coh_vv__roll3_std,22937
28,0.6714853095184602,s1__coh_vv__roll3_std,22937
29,0.6864388855915675,s1__coh_vv__roll3_std,22937
30,0.6560831188448137,s1__coh_vv__roll3_std,22937
31,0.6708815459859239,s1__coh_vv__roll3_std,22937
32,0.6578395218485555,s1__coh_vv__roll3_std,22937
33,0.6562155809046792,s1__coh_vv__roll3_std,22937
34,0.6818788242931028,s1__coh_vv__roll3_std,22937
35,0.6717253512623049,s1__coh_vv__roll3_std,22937
36,0.6474342977205549,s1__coh_vv__roll7_std,22937
37,0.667785153857244,s1__coh_vv__roll3_std,22937
38,0.679352531306054,s1__coh_vv__roll3_std,22937
39,0.6732519582063905,s1__coh_vv__roll3_std,22937
40,0.6624969171468111,s1__coh_vv__roll7_std,22937
41,0.675323781916221,s1__coh_vv__roll3_std,22937
42,0.6959234618117737,s1__coh_vv__roll3_std,22937
43,0.6975173975376694,s1__coh_vv__roll3_std,22937
44,0.6827475119453699,s1__coh_vv__roll7_std,22937
45,0.6913860873854405,s1__coh_vv__roll3_std,22937
46,0.7052602074458314,s1__coh_vv__roll3_std,22937
47,0.6966059520583706,s1__coh_vv__roll13_std,22937
48,0.6900307297342196,s1__coh_vv__roll3_std,22937
49,0.6848105532387365,s1__coh_vv__roll7_std,22937
50,0.6866313305883985,s1__coh_vv__roll3_std,12523
51,0.7031736380519333,s1__coh_vv__roll3_std,12523
52,0.6957434785769517,s1__coh_vv__roll3_std,12523
53,0.7119057689892868,s1__coh_vv__roll3_std,12523
54,0.6999600155972217,s1__coh_vv__roll3_std,12523
55,0.682988123641026,s1__coh_vv__roll3_std,12523
56,0.6970570157756643,s1__coh_vv__roll3_std,12523
