city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s1__vh__baseline__kurtosis_mean,0.571668296244621,0.015553100800584118,higher=damaged
Avdiivka,s1__vh__baseline__kurtosis_std,0.8124443127126961,5.248382031601839e-26,higher=damaged
Avdiivka,s1__vh__baseline__kurtosis_max,0.7758854391637283,1.244588064249085e-20,higher=damaged
Avdiivka,s1__vh__baseline__max_mean,0.5708794118338083,0.016729136548178657,lower=damaged
Avdiivka,s1__vh__baseline__max_std,0.8103288735308948,1.1191949765713448e-25,higher=damaged
Avdiivka,s1__vh__baseline__max_max,0.6182847682957024,6.528829340295238e-05,higher=damaged
Avdiivka,s1__vh__baseline__mean_mean,0.5836190366031523,0.004762866510614954,lower=damaged
Avdiivka,s1__vh__baseline__mean_std,0.8166896494389253,1.1308165669347787e-26,higher=damaged
Avdiivka,s1__vh__baseline__mean_max,0.5761268938195921,0.010177411830515426,higher=damaged
Avdiivka,s1__vh__baseline__skewness_mean,0.5125543769981908,0.6717311314384615,higher=damaged
Avdiivka,s1__vh__baseline__skewness_std,0.8046087838167548,8.45659842121232e-25,higher=damaged
Avdiivka,s1__vh__baseline__skewness_max,0.7754670502952218,1.418803926764431e-20,higher=damaged
Avdiivka,s1__vh__baseline__std_mean,0.6344989183337459,5.62108361714629e-06,higher=damaged
Avdiivka,s1__vh__baseline__std_std,0.8255363600710629,4.323107591948311e-28,higher=damaged
Avdiivka,s1__vh__baseline__std_max,0.777380976047915,7.726685037312006e-21,higher=damaged
Avdiivka,s1__vv__baseline__kurtosis_mean,0.5906385716583561,0.0022163111859055296,higher=damaged
Avdiivka,s1__vv__baseline__kurtosis_std,0.7923227901748195,5.746521090108522e-23,higher=damaged
Avdiivka,s1__vv__baseline__kurtosis_max,0.7765333545389318,1.0126674694326436e-20,higher=damaged
Avdiivka,s1__vv__baseline__max_mean,0.6599257563079125,6.72089153664084e-08,lower=damaged
Avdiivka,s1__vv__baseline__max_std,0.7650154614115338,3.6889549515597534e-19,higher=damaged
Avdiivka,s1__vv__baseline__max_max,0.5057941888226013,0.8449429981635901,lower=damaged
Avdiivka,s1__vv__baseline__mean_mean,0.6930146228265015,7.248029797274438e-11,lower=damaged
Avdiivka,s1__vv__baseline__mean_std,0.775239331083853,1.528023198874226e-20,higher=damaged
Avdiivka,s1__vv__baseline__mean_max,0.5276344492177123,0.350912972051301,lower=damaged
Avdiivka,s1__vv__baseline__skewness_mean,0.5968800660747171,0.0010743665656102307,higher=damaged
Avdiivka,s1__vv__baseline__skewness_std,0.7786225879384724,5.191353553453532e-21,higher=damaged
Avdiivka,s1__vv__baseline__skewness_max,0.7952361502440751,2.1459960578830926e-23,higher=damaged
Avdiivka,s1__vv__baseline__std_mean,0.6503714895547366,3.8554228571459937e-07,higher=damaged
Avdiivka,s1__vv__baseline__std_std,0.767029692054949,1.9884970266459381e-19,higher=damaged
Avdiivka,s1__vv__baseline__std_max,0.7560585057643684,5.448929380080601e-18,higher=damaged
Avdiivka,s1__coh__baseline__max_mean,0.53632482880395,0.22012300173182375,lower=damaged
Avdiivka,s1__coh__baseline__max_std,0.7307491419865428,6.733989238602329e-15,higher=damaged
Avdiivka,s1__coh__baseline__max_max,0.6837712108697971,5.520522098395452e-10,higher=damaged
Avdiivka,s1__coh__baseline__mean_mean,0.5399457449942437,0.1775193825076572,lower=damaged
Avdiivka,s1__coh__baseline__mean_std,0.7224238360566262,5.988144840591128e-14,higher=damaged
Avdiivka,s1__coh__baseline__mean_max,0.6869773527822408,2.7585358017079445e-10,higher=damaged
Avdiivka,s1__coh__baseline__median_mean,0.5312743420089534,0.2910998337742018,lower=damaged
Avdiivka,s1__coh__baseline__median_std,0.7279342795126809,1.422078122659334e-14,higher=damaged
Avdiivka,s1__coh__baseline__median_max,0.6871056707505517,2.6823549206837155e-10,higher=damaged
Avdiivka,s1__coh__baseline__min_mean,0.519474510810337,0.5109331766569604,lower=damaged
Avdiivka,s1__coh__baseline__min_std,0.7167344703630675,2.549298999773362e-13,higher=damaged
Avdiivka,s1__coh__baseline__min_max,0.6902892214713914,1.3323424421854816e-10,higher=damaged
Avdiivka,s1__coh__baseline__std_mean,0.5331295306634761,0.26342287102674833,higher=damaged
Avdiivka,s1__coh__baseline__std_std,0.6898111918570502,1.4798663005967824e-10,higher=damaged
Avdiivka,s1__coh__baseline__std_max,0.7447421260660783,1.435656158050821e-16,higher=damaged
Avdiivka,s1__vh__baseline__median_mean,0.5940182139223188,0.0015051628744942752,lower=damaged
Avdiivka,s1__vh__baseline__median_std,0.8317624924771331,4.1217794067342836e-29,higher=damaged
Avdiivka,s1__vh__baseline__median_max,0.5852907847818505,0.003988358001611592,higher=damaged
Avdiivka,s1__vh__baseline__min_mean,0.5988789347078417,0.000844548611039244,lower=damaged
Avdiivka,s1__vh__baseline__min_std,0.8423008315365804,6.9830753540746155e-31,higher=damaged
Avdiivka,s1__vh__baseline__min_max,0.5841286938857392,0.004513429265193193,higher=damaged
Avdiivka,s1__vv__baseline__median_mean,0.7093652236618333,1.5790008227084582e-12,lower=damaged
Avdiivka,s1__vv__baseline__median_std,0.7562771884990954,5.1077231111385705e-18,higher=damaged
Avdiivka,s1__vv__baseline__median_max,0.5430253762337051,0.1464016065249394,lower=damaged
Avdiivka,s1__vv__baseline__min_mean,0.698944358798727,1.8729580203386286e-11,lower=damaged
Avdiivka,s1__vv__baseline__min_std,0.7595881535405818,1.906198378340253e-18,higher=damaged
Avdiivka,s1__vv__baseline__min_max,0.5296025938302552,0.3176701855440377,lower=damaged
Borodyanka,s1__vh__baseline__kurtosis_mean,0.5288799386984637,0.42158707506105986,lower=damaged
Borodyanka,s1__vh__baseline__kurtosis_std,0.5484914464421435,0.17719268942808342,higher=damaged
Borodyanka,s1__vh__baseline__kurtosis_max,0.5292630733001906,0.4154540232733289,higher=damaged
Borodyanka,s1__vh__baseline__max_mean,0.6095219850733251,0.002304476511196118,lower=damaged
Borodyanka,s1__vh__baseline__max_std,0.5382122254202021,0.28760796100467967,higher=damaged
Borodyanka,s1__vh__baseline__max_max,0.5862473367472807,0.016387153580733536,lower=damaged
Borodyanka,s1__vh__baseline__mean_mean,0.5952400976837489,0.0080386799767428,lower=damaged
Borodyanka,s1__vh__baseline__mean_std,0.5276557769222143,0.4415353817878649,higher=damaged
Borodyanka,s1__vh__baseline__mean_max,0.5801452173588009,0.02572369199041794,lower=damaged
Borodyanka,s1__vh__baseline__skewness_mean,0.5394550766892187,0.2722168585420124,higher=damaged
Borodyanka,s1__vh__baseline__skewness_std,0.5742113034052256,0.03890218426103059,higher=damaged
