timestep,best_auc,best_feature,n_obs
-4,0.6176066418658096,s1__coh_vh_std,164342
-3,0.6585244899600536,s1__coh_vv__zscore_max,205942
-2,0.66113413512634,s1__coh_vv__zscore_max,205942
-1,0.7036550447395915,s1__coh_vv__zscore_max,257317
0,0.6412421746462396,s1__coh_vv_max,362825
1,0.6458820350163708,s1__coh_vv__zscore_std,249783
2,0.6166209400933864,s1__coh_vv__zscore_std,199118
3,0.6359986697073357,s1__coh_vv__zscore_std,143033
4,0.6997320053665017,s1__coh_vv__zscore_max,125818
5,0.7166411118968468,s1__coh_vv__zscore_max,42755
6,0.7250659246971429,s1__coh_vv__zscore_max,42755
7,0.7181843115743279,s1__coh_vv__zscore_max,42755
8,0.6973990311217443,s1__coh_vv__zscore_max,42755
9,0.6909090007864702,s1__coh_vv__zscore_max,42755
10,0.7089903683250283,s1__coh_vh_std,22937
11,0.70752070266805,s1__coh_vv__zscore_max,22937
12,0.7296178680712978,s1__coh_vv__zscore_std,22937
13,0.739917697882583,s1__coh_vh_max,22937
14,0.7234368081211296,s1__coh_vv__zscore_max,22937
15,0.7468620762586275,s1__coh_vh_max,22937
16,0.7230947927750497,s1__coh_vv__zscore_std,22937
17,0.7101262978408422,s1__coh_vv__zscore_std,22937
18,0.7184603078535365,s1__coh_vv_std,22937
19,0.7294840359793535,s1__coh_vv__zscore_std,22937
20,0.7363075578753084,s1__coh_vv_std,22937
21,0.7207106992020808,s1__coh_vh_std,22937
22,0.7388601969074133,s1__coh_vh_max,22937
23,0.735508394508606,s1__coh_vv_std,22937
24,0.7091740588058363,s1__coh_vv_std,22937
25,0.7060518541527603,s1__coh_vv__zscore_max,22937
26,0.7212676253211838,s1__coh_vh_std,22937
27,0.71959318779095,s1__coh_vh_std,22937
28,0.7108375188172967,s1__coh_vh_std,22937
29,0.7127124790237911,s1__coh_vv_std,22937
30,0.7191046137374512,s1__coh_vv__zscore_std,22937
31,0.7209733062805253,s1__coh_vv__zscore_max,22937
32,0.72527441967347,s1__coh_vh_max,22937
33,0.7190311388297526,s1__coh_vh_max,22937
34,0.7326596567289454,s1__coh_vv__zscore_std,22937
35,0.7306472186056349,s1__coh_vv__zscore_max,22937
36,0.7428889462972463,s1__coh_vh_max,22937
37,0.7263365034465894,s1__coh_vv__zscore_max,22937
38,0.7525560277313312,s1__coh_vv__zscore_max,22937
39,0.7261184067041616,s1__coh_vv__zscore_max,22937
40,0.7276169956843282,s1__coh_vv__zscore_max,22937
41,0.7135514080457871,s1__coh_vv__zscore_max,22937
42,0.7314723267729242,s1__coh_vh_std,22937
43,0.7297547110021817,s1__coh_vv_std,22937
44,0.7253234525906578,s1__coh_vh_max,22937
45,0.7331299321077056,s1__coh_vh_max,22937
46,0.7213184878248339,s1__coh_vh_max,22937
47,0.7417024102994535,s1__coh_vv__zscore_max,22937
48,0.7335419549790001,s1__coh_vh_max,22937
49,0.7133023376992145,s1__coh_vv_std,22937
50,0.747531704903804,s1__coh_vh_max,22937
51,0.7105096193881395,s1__coh_vv__zscore_max,22937
52,0.7257747391100331,s1__coh_vh_std,12523
53,0.7415305765023892,s1__coh_vv_std,12523
54,0.7467227659954134,s1__coh_vh_max,12523
55,0.753294582609098,s1__coh_vv_std,12523
56,0.7670677223430198,s1__coh_vh_max,12523
57,0.7329438433933209,s1__coh_vh_std,12523
58,0.7377849301759974,s1__coh_vv_std,12523
