city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Avdiivka,s2__composite__ndwi__prebattle_baseline,0.7536621117768006,0.7536621117768006,higher=damaged,76609.0,4.2444700891510175e-16,-0.116302274,-0.17895557,1186
Avdiivka,s2__composite__ndwi__winter_baseline,0.7536621117768006,0.7536621117768006,higher=damaged,76609.0,4.2444700891510175e-16,-0.116302274,-0.17895557,1186
Avdiivka,s2__composite__ndwi__post_winter_baseline,0.7497663528416414,0.7497663528416414,higher=damaged,76213.0,1.1802807183305623e-15,-0.049244776,-0.09034379,1186
Avdiivka,s2__composite__ndvi__prebattle_baseline,0.2540605416678964,0.7459394583321036,lower=damaged,25825.0,3.1753765613097637e-15,0.0889049,0.14210698,1186
Avdiivka,s2__composite__ndvi__winter_baseline,0.2540605416678964,0.7459394583321036,lower=damaged,25825.0,3.1753765613097637e-15,0.0889049,0.14210698,1186
Avdiivka,s2__composite__ndvi__post_winter_baseline,0.25549685683085915,0.7445031431691409,lower=damaged,25971.0,4.586168273905181e-15,0.036578875,0.069649786,1186
Avdiivka,s2__composite__mndwi__prebattle_baseline,0.7200365965233304,0.7200365965233304,higher=damaged,73191.0,1.745262300242337e-12,-0.12513342,-0.18888624,1186
Avdiivka,s2__composite__mndwi__winter_baseline,0.7200365965233304,0.7200365965233304,higher=damaged,73191.0,1.745262300242337e-12,-0.12513342,-0.18888624,1186
Avdiivka,s2__composite__ndre__prebattle_baseline,0.2920933801611428,0.7079066198388573,lower=damaged,29691.0,2.6536558077299233e-11,0.07878345,0.11072701,1186
Avdiivka,s2__composite__ndre__winter_baseline,0.2920933801611428,0.7079066198388573,lower=damaged,29691.0,2.6536558077299233e-11,0.07878345,0.11072701,1186
Avdiivka,s2__composite__b11__prebattle_baseline,0.29255083670277127,0.7074491632972287,lower=damaged,29737.5,2.931969020369988e-11,0.23506056,0.26049662,1186
Avdiivka,s2__composite__b11__winter_baseline,0.29255083670277127,0.7074491632972287,lower=damaged,29737.5,2.931969020369988e-11,0.23506056,0.26049662,1186
Avdiivka,s2__composite__ndre__post_winter_baseline,0.2975336697852414,0.7024663302147587,lower=damaged,30244.0,8.57139624205072e-11,0.010013156,0.03532561,1186
Avdiivka,s2__composite__b8a__prebattle_baseline,0.30122283544353606,0.698777164556464,lower=damaged,30619.0,1.866355703991462e-10,0.23467858,0.25812855,1186
Avdiivka,s2__composite__b8a__winter_baseline,0.30122283544353606,0.698777164556464,lower=damaged,30619.0,1.866355703991462e-10,0.23467858,0.25812855,1186
Avdiivka,s2__composite__mndwi__post_winter_baseline,0.6914578598904073,0.6914578598904073,higher=damaged,70286.0,8.39244916702819e-10,0.28502774,0.17374119,1186
Avdiivka,s2__composite__b02__post_winter_baseline,0.6840942852364509,0.6840942852364509,higher=damaged,69537.5,3.6070911734393444e-09,0.412557,0.33311045,1186
Avdiivka,s2__composite__b12__prebattle_baseline,0.32478430678117837,0.6752156932188216,lower=damaged,33014.0,1.946909066204322e-08,0.21214049,0.22693081,1186
Avdiivka,s2__composite__b12__winter_baseline,0.32478430678117837,0.6752156932188216,lower=damaged,33014.0,1.946909066204322e-08,0.21214049,0.22693081,1186
Avdiivka,s2__composite__b08__prebattle_baseline,0.32542868104949385,0.6745713189505061,lower=damaged,33079.5,2.193413177228703e-08,0.23248497,0.255576,1186
Avdiivka,s2__composite__b08__winter_baseline,0.32542868104949385,0.6745713189505061,lower=damaged,33079.5,2.193413177228703e-08,0.23248497,0.255576,1186
Avdiivka,s2__composite__cire__prebattle_baseline,0.3256795443142579,0.6743204556857421,lower=damaged,33105.0,2.297587740097926e-08,0.12662838,0.16908339,1186
Avdiivka,s2__composite__cire__winter_baseline,0.3256795443142579,0.6743204556857421,lower=damaged,33105.0,2.297587740097926e-08,0.12662838,0.16908339,1186
Avdiivka,s2__composite__b03__post_winter_baseline,0.6698590246829776,0.6698590246829776,higher=damaged,68090.5,5.182318425347863e-08,0.40676022,0.33299273,1186
Avdiivka,s2__composite__b07__prebattle_baseline,0.33418430087851336,0.6658156991214866,lower=damaged,33969.5,1.0646858398674403e-07,0.22429831,0.24098718,1186
Avdiivka,s2__composite__b07__winter_baseline,0.33418430087851336,0.6658156991214866,lower=damaged,33969.5,1.0646858398674403e-07,0.22429831,0.24098718,1186
Avdiivka,s2__composite__b11__post_winter_baseline,0.33568948046709757,0.6643105195329024,lower=damaged,34122.5,1.3861709629994446e-07,0.21236332,0.22480837,1186
Avdiivka,s2__composite__b08__delta,0.6617625357849068,0.6617625357849068,higher=damaged,67267.5,2.1556074091223558e-07,0.21341129,0.13888294,1186
Avdiivka,s2__composite__b04__post_winter_baseline,0.6590817420732127,0.6590817420732127,higher=damaged,66995.0,3.406311453783008e-07,0.41758496,0.3467896,1186
Avdiivka,s2__composite__b8a__delta,0.6563271650483526,0.6563271650483526,higher=damaged,66715.0,5.41050200493681e-07,0.18283026,0.13424444,1186
Avdiivka,s2__composite__b02__delta,0.6557368985430255,0.6557368985430255,higher=damaged,66655.0,5.968578558396792e-07,0.23698552,0.16598412,1186
Avdiivka,s2__composite__b12__delta,0.6542809078298853,0.6542809078298853,higher=damaged,66507.0,7.592660148574712e-07,-0.0111171715,-0.02164565,1186
Avdiivka,s2__composite__b07__delta,0.6506507688221232,0.6506507688221232,higher=damaged,66138.0,1.3709177565191445e-06,0.19313683,0.14401357,1186
