feature,H_statistic,p_value,significant,n_groups
s2__composite__ndwi__winter_baseline,166.33016482920686,4.4253563812282975e-34,True,6
s2__composite__ndwi__prebattle_baseline,166.33016482920686,4.4253563812282975e-34,True,6
s2__composite__ndvi__prebattle_baseline,163.22627085459135,2.0315469282968868e-33,True,6
s2__composite__ndvi__winter_baseline,163.22627085459135,2.0315469282968868e-33,True,6
s2__visibility__fire__freq__crossbattle,163.06322258080857,2.2008437803718426e-33,True,6
s2__composite__b02__prebattle_baseline,131.11492714468136,1.380228054781483e-26,True,6
s2__composite__b02__winter_baseline,131.11492714468136,1.380228054781483e-26,True,6
s2__composite__ndvi__post_winter_baseline,130.771489089003,1.6324683383062234e-26,True,6
s2__composite__ndre__prebattle_baseline,111.36763876865182,2.105849661466496e-22,True,6
s2__composite__ndre__winter_baseline,111.36763876865182,2.105849661466496e-22,True,6
s2__composite__ndwi__post_winter_baseline,109.82012377367023,4.472122347043112e-22,True,6
s2__composite__b03__winter_baseline,104.8458133314101,5.0238040919920035e-21,True,6
s2__composite__b03__prebattle_baseline,104.8458133314101,5.0238040919920035e-21,True,6
s2__composite__b04__prebattle_baseline,97.66606677248424,1.6397891328155922e-19,True,6
s2__composite__b04__winter_baseline,97.66606677248424,1.6397891328155922e-19,True,6
s2__composite__cire__winter_baseline,96.6878572824733,2.634992537592395e-19,True,6
s2__composite__cire__prebattle_baseline,96.6878572824733,2.634992537592395e-19,True,6
s2__composite__mndwi__prebattle_baseline,88.54116312210402,1.3604967945858046e-17,True,6
s2__composite__mndwi__winter_baseline,88.54116312210402,1.3604967945858046e-17,True,6
s2__composite__ndre__post_winter_baseline,83.33760158817465,1.6791441273515282e-16,True,6
s2__visibility__clear__freq__crossbattle,82.88035901400882,2.0935245405202136e-16,True,6
s2__composite__b11__winter_baseline,82.24771660089226,2.840418644230162e-16,True,6
s2__composite__b11__prebattle_baseline,82.24771660089226,2.840418644230162e-16,True,6
s2__composite__cire__post_winter_baseline,80.59858073203874,6.28945459861281e-16,True,6
s2__composite__b12__prebattle_baseline,72.36866905306763,3.2912719178320144e-14,True,6
s2__composite__b12__winter_baseline,72.36866905306763,3.2912719178320144e-14,True,6
s2__composite__b12__delta,60.2414385643492,1.0835338403346513e-11,True,6
s2__composite__b11__delta,57.15222959696249,4.7044696115743916e-11,True,6
s2__composite__b05__winter_baseline,55.0073804325511,1.3008066053131912e-10,True,6
s2__composite__b05__prebattle_baseline,55.0073804325511,1.3008066053131912e-10,True,6
s2__composite__b8a__prebattle_baseline,50.95337582014262,8.841049349101887e-10,True,6
s2__composite__b8a__winter_baseline,50.95337582014262,8.841049349101887e-10,True,6
s2__composite__b02__delta,50.335580174657856,1.183087698691541e-09,True,6
s2__composite__mndwi__post_winter_baseline,45.13252854227406,1.3635941791511938e-08,True,6
s2__visibility__fire__freq__postbattle,43.381959407994145,3.091596027305373e-08,True,6
s2__composite__b07__prebattle_baseline,41.71490792647202,6.727007649392114e-08,True,6
s2__composite__b07__winter_baseline,41.71490792647202,6.727007649392114e-08,True,6
s2__composite__b08__prebattle_baseline,41.58000690436815,7.163148661209396e-08,True,6
s2__composite__b08__winter_baseline,41.58000690436815,7.163148661209396e-08,True,6
s2__composite__ndre__delta,41.335528955619665,8.026582691775391e-08,True,6
s2__composite__b03__delta,37.70597441410365,4.3227576281499354e-07,True,6
s2__composite__b08__post_winter_baseline,34.96225679578342,1.5309732229937366e-06,True,6
s2__composite__b11__post_winter_baseline,33.52398525742613,2.961198161975978e-06,True,6
s2__composite__b8a__delta,31.574585123693442,7.212200895652915e-06,True,6
s2__composite__b8a__post_winter_baseline,29.346256585914094,1.982843351641121e-05,True,6
s2__composite__mndwi__delta,28.8674499757213,2.4617993631225098e-05,True,6
s2__composite__b02__post_winter_baseline,28.077296557740002,3.515399204585601e-05,True,6
s2__composite__ndbi__delta,27.35043677376366,4.874262248302701e-05,True,6
s2__composite__ndbi__post_winter_baseline,25.693555867386976,0.0001023133797591724,True,6
s2__composite__b08__delta,25.683426781267546,0.00010277659444071034,True,6
s2__composite__b04__delta,24.8349364114631,0.00014993927925641536,True,6
s2__composite__b12__post_winter_baseline,24.015105354792283,0.00021566660966816946,True,6
s2__composite__b07__delta,23.816615480898264,0.0002354557770294733,True,6
s2__composite__ndbi__winter_baseline,23.489627689968238,0.0002720410652438527,True,6
s2__composite__ndbi__prebattle_baseline,23.489627689968238,0.0002720410652438527,True,6
s2__composite__b05__delta,22.47552517086701,0.0004250877002467002,True,6
s2__composite__cire__delta,20.819645640195894,0.0008761345285261958,True,6
s2__composite__b03__post_winter_baseline,17.5566972678514,0.00355650907346363,True,6
s2__composite__b07__post_winter_baseline,17.480725034576984,0.0036728076941473353,True,6
s2__composite__ndvi__delta,15.891108089517585,0.007161940505016713,True,6
s2__composite__b04__post_winter_baseline,14.51335338134695,0.01265723905991321,True,6
s2__qa__cloud_freq__prebattle,13.031599621609622,0.023084438137082972,True,6
s2__composite__b05__post_winter_baseline,10.717299625742642,0.05728232088301557,False,6
s2__qa__cloud_freq__postbattle,7.508856201987157,0.18546170460225625,False,6
s2__obs_count__delta,6.5383835909912795,0.2572955726118749,False,6
s2__composite__ndwi__delta,5.0547552547725045,0.40923442655612363,False,6
s2__qa__cloud_freq__crossbattle,3.5884454543770734,0.6100489868291459,False,6
s2__visibility__cloud__freq__crossbattle,3.3962961933161684,0.6391340828048933,False,6
s2__visibility__smoke__freq__postbattle,2.803310742267075,0.7302777833753784,False,6
s2__visibility__smoke__freq__prebattle,2.527328671538248,0.7723738122052747,False,6
s2__visibility__clear__freq__postbattle,2.337497144756044,0.8007441744229663,False,6
s2__visibility__clear__freq__prebattle,2.286210957650557,0.8082899660965563,False,6
s2__visibility__fire__freq__prebattle,2.116864686072458,0.8327497298070902,False,6
s2__visibility__cloud__freq__postbattle,1.7515875893023691,0.8823375763352913,False,6
s2__visibility__cloud__freq__prebattle,1.2963450277996875,0.9353073234018131,False,6
