feature,H_statistic,p_value,significant,n_groups
s2__visibility__clear__freq__crossbattle,15.984630200307205,0.0003380505558472777,True,3
s2__visibility__fire__freq__crossbattle,15.984630200307205,0.0003380505558472777,True,3
s2__composite__b12__delta,7.7872718113041515,0.020371143666874928,True,3
s2__composite__b05__delta,5.833446068224703,0.054110716054009175,False,3
s2__composite__b11__delta,4.485407642361906,0.10617104841011271,False,3
s2__composite__b03__delta,4.357814480237982,0.11316512540742403,False,3
s2__composite__b02__delta,3.8895524133506476,0.14301922650510393,False,3
s2__composite__b02__winter_baseline,3.4304014836039434,0.1799275980973075,False,3
s2__composite__b02__prebattle_baseline,3.4304014836039434,0.1799275980973075,False,3
s2__composite__b04__delta,3.2328125070970968,0.19861117629561525,False,3
s2__visibility__fire__freq__prebattle,2.955349648841865,0.2281676018098513,False,3
s2__visibility__clear__freq__prebattle,2.955349648841865,0.2281676018098513,False,3
s2__composite__b03__winter_baseline,2.907070598553146,0.233742476067812,False,3
s2__composite__b03__prebattle_baseline,2.907070598553146,0.233742476067812,False,3
s2__composite__b08__delta,2.5361988951589054,0.2813658645142678,False,3
s2__composite__b04__winter_baseline,2.471073079580956,0.2906787597999221,False,3
s2__composite__b04__prebattle_baseline,2.471073079580956,0.2906787597999221,False,3
s2__composite__b05__post_winter_baseline,2.378905437588615,0.30438780421488953,False,3
s2__composite__ndre__post_winter_baseline,1.9898454706043935,0.36975201221789455,False,3
s2__composite__ndwi__delta,1.914688443916873,0.3839111159919376,False,3
s2__composite__mndwi__delta,1.810776884806728,0.4043847743971135,False,3
s2__composite__cire__post_winter_baseline,1.7547853950585477,0.4158657872706718,False,3
s2__composite__ndre__prebattle_baseline,1.6682713334673167,0.43424965569515117,False,3
s2__composite__ndre__winter_baseline,1.6682713334673167,0.43424965569515117,False,3
s2__composite__ndbi__winter_baseline,1.5930576582537128,0.4508913718532468,False,3
s2__composite__ndbi__prebattle_baseline,1.5930576582537128,0.4508913718532468,False,3
s2__composite__ndbi__delta,1.4697555248529284,0.47956407614123353,False,3
s2__composite__ndre__delta,1.4090718938986129,0.4943379200575928,False,3
s2__composite__cire__prebattle_baseline,1.3953793829635401,0.4977338953383178,False,3
s2__composite__cire__winter_baseline,1.3953793829635401,0.4977338953383178,False,3
s2__composite__b08__winter_baseline,1.369462638999721,0.5042256869863906,False,3
s2__composite__b08__prebattle_baseline,1.369462638999721,0.5042256869863906,False,3
s2__composite__ndvi__delta,1.131797855572188,0.5678494615980405,False,3
s2__composite__ndwi__winter_baseline,1.066194537957756,0.5867847221182552,False,3
s2__composite__ndwi__prebattle_baseline,1.066194537957756,0.5867847221182552,False,3
s2__composite__mndwi__prebattle_baseline,1.035134194304419,0.5959687196205745,False,3
s2__composite__mndwi__winter_baseline,1.035134194304419,0.5959687196205745,False,3
s2__composite__b12__winter_baseline,0.9913269449797701,0.609166607904277,False,3
s2__composite__b12__prebattle_baseline,0.9913269449797701,0.609166607904277,False,3
s2__composite__b07__delta,0.9334764681589718,0.6270442077355198,False,3
s2__composite__cire__delta,0.9091724342217731,0.6347105459828004,False,3
s2__composite__b11__winter_baseline,0.8993784662087592,0.637826336136011,False,3
s2__composite__b11__prebattle_baseline,0.8993784662087592,0.637826336136011,False,3
s2__composite__ndvi__winter_baseline,0.7970273794002196,0.6713170903993895,False,3
s2__composite__ndvi__prebattle_baseline,0.7970273794002196,0.6713170903993895,False,3
s2__qa__cloud_freq__prebattle,0.7388790117608255,0.6911215916865061,False,3
s2__visibility__fire__freq__postbattle,0.7015355642475252,0.7041472504505282,False,3
s2__composite__ndbi__post_winter_baseline,0.6269694552011629,0.7308955414470075,False,3
s2__composite__b12__post_winter_baseline,0.6083589873318829,0.7377284369841981,False,3
s2__composite__b8a__winter_baseline,0.5475023837785784,0.760521275584352,False,3
s2__composite__b8a__prebattle_baseline,0.5475023837785784,0.760521275584352,False,3
s2__composite__b8a__delta,0.5440380885663672,0.7618397522597002,False,3
s2__qa__cloud_freq__postbattle,0.5324557792501429,0.7662644838761038,False,3
s2__visibility__clear__freq__postbattle,0.5139322640308944,0.7733944066317139,False,3
s2__visibility__cloud__freq__postbattle,0.5135019291305535,0.7735608338383817,False,3
s2__composite__b02__post_winter_baseline,0.48578596084634906,0.784355450668442,False,3
s2__composite__b11__post_winter_baseline,0.47126427834751894,0.7900712567478049,False,3
s2__composite__b8a__post_winter_baseline,0.41967001152426064,0.8107179987339943,False,3
s2__composite__b05__prebattle_baseline,0.4073307296817441,0.8157352992307505,False,3
s2__composite__b05__winter_baseline,0.4073307296817441,0.8157352992307505,False,3
s2__composite__b03__post_winter_baseline,0.28881242924391004,0.8655360832255061,False,3
s2__composite__b04__post_winter_baseline,0.28693384327278204,0.8663494571356352,False,3
s2__composite__b07__post_winter_baseline,0.25502846480327435,0.8802808872339246,False,3
s2__composite__mndwi__post_winter_baseline,0.23922119087308147,0.8872658748358653,False,3
s2__composite__ndwi__post_winter_baseline,0.07566911206674831,0.962872229115137,False,3
s2__composite__b07__prebattle_baseline,0.056496137305714456,0.9721471776460118,False,3
s2__composite__b07__winter_baseline,0.056496137305714456,0.9721471776460118,False,3
s2__composite__ndvi__post_winter_baseline,0.05269350768969616,0.9739972937396499,False,3
s2__composite__b08__post_winter_baseline,0.01927713324627359,0.990407735478762,False,3
