feature,H_statistic,p_value,significant,n_groups
s2__obs_count__winter_baseline,192.0648051695018,1.9079819350887273e-40,True,5
s2__obs_count__prebattle_baseline,192.0648051695018,1.9079819350887273e-40,True,5
s2__qa__cloud_freq__prebattle,141.36403322871712,1.440789149996953e-29,True,5
s2__visibility__clear__freq__crossbattle,101.1560563862249,5.580924989351643e-21,True,5
s2__composite__b8a__prebattle_baseline,78.02365695268725,4.566322305963717e-16,True,5
s2__composite__b8a__winter_baseline,78.02365695268725,4.566322305963717e-16,True,5
s2__composite__b07__winter_baseline,72.65757816133579,6.232341895895858e-15,True,5
s2__composite__b07__prebattle_baseline,72.65757816133579,6.232341895895858e-15,True,5
s2__visibility__fire__freq__crossbattle,69.05374585463373,3.59522928709491e-14,True,5
s2__composite__b05__winter_baseline,62.05224597848752,1.0740644889607811e-12,True,5
s2__composite__b05__prebattle_baseline,62.05224597848752,1.0740644889607811e-12,True,5
s2__visibility__cloud__freq__prebattle,59.82653267085841,3.154847640895828e-12,True,5
s2__visibility__clear__freq__prebattle,57.355338327925004,1.0420206303919856e-11,True,5
s2__visibility__cloud__freq__crossbattle,37.83997595267046,1.209045642484364e-07,True,5
s2__composite__b03__prebattle_baseline,37.6882951639905,1.2993409839165008e-07,True,5
s2__composite__b03__winter_baseline,37.6882951639905,1.2993409839165008e-07,True,5
s2__composite__b08__winter_baseline,36.73835787267024,2.0392861144721322e-07,True,5
s2__composite__b08__prebattle_baseline,36.73835787267024,2.0392861144721322e-07,True,5
s2__composite__ndbi__prebattle_baseline,36.04766733738052,2.829088511242373e-07,True,5
s2__composite__ndbi__winter_baseline,36.04766733738052,2.829088511242373e-07,True,5
s2__composite__b02__winter_baseline,35.778224906872154,3.214169143196705e-07,True,5
s2__composite__b02__prebattle_baseline,35.778224906872154,3.214169143196705e-07,True,5
s2__composite__b04__winter_baseline,34.36305379350222,6.277518927320376e-07,True,5
s2__composite__b04__prebattle_baseline,34.36305379350222,6.277518927320376e-07,True,5
s2__composite__b11__prebattle_baseline,27.93512595373736,1.2856287258228945e-05,True,5
s2__composite__b11__winter_baseline,27.93512595373736,1.2856287258228945e-05,True,5
s2__composite__b12__winter_baseline,27.7891150227589,1.376251958499129e-05,True,5
s2__composite__b12__prebattle_baseline,27.7891150227589,1.376251958499129e-05,True,5
s2__qa__cloud_freq__crossbattle,27.50983005351447,1.5676641166251406e-05,True,5
s2__composite__ndvi__prebattle_baseline,26.304173648399164,2.747525621744857e-05,True,5
s2__composite__ndvi__winter_baseline,26.304173648399164,2.747525621744857e-05,True,5
s2__composite__mndwi__winter_baseline,25.40325705030095,4.1737363258261894e-05,True,5
s2__composite__mndwi__prebattle_baseline,25.40325705030095,4.1737363258261894e-05,True,5
s2__composite__ndwi__prebattle_baseline,21.574830893292322,0.0002435025917284919,True,5
s2__composite__ndwi__winter_baseline,21.574830893292322,0.0002435025917284919,True,5
s2__composite__cire__winter_baseline,12.617031183813868,0.013306862436299825,True,5
s2__composite__cire__prebattle_baseline,12.617031183813868,0.013306862436299825,True,5
s2__qa__cloud_freq__postbattle,9.304733692895924,0.05391791518282604,False,5
s2__composite__ndre__prebattle_baseline,6.550703816941457,0.16162353733125812,False,5
s2__composite__ndre__winter_baseline,6.550703816941457,0.16162353733125812,False,5
s2__visibility__smoke__freq__prebattle,3.8954248661661164,0.4203435146560486,False,5
s2__visibility__cloud__freq__postbattle,3.3060378152744523,0.5079761884573168,False,5
s2__visibility__fire__freq__postbattle,3.1948717527650006,0.5257596449913374,False,5
s2__visibility__clear__freq__postbattle,2.5871842640545,0.6290950462073219,False,5
s2__visibility__fire__freq__prebattle,1.6846446673677637,0.7935050141406879,False,5
s2__visibility__smoke__freq__postbattle,1.6398805256626359,0.8016071853742791,False,5
