feature,H_statistic,p_value,significant,n_groups
s2__composite__ndvi__post_winter_baseline,349.93898529349025,1.8078076672778833e-74,True,5
s2__composite__ndre__post_winter_baseline,327.53773495975014,1.2386816461228878e-69,True,5
s2__composite__b02__post_winter_baseline,320.99297069072287,3.202027996865847e-68,True,5
s2__composite__cire__post_winter_baseline,300.4153652539476,8.81467193185785e-64,True,5
s2__composite__b02__prebattle_baseline,290.71507435575376,1.0900308598358221e-61,True,5
s2__composite__b02__winter_baseline,290.71507435575376,1.0900308598358221e-61,True,5
s2__composite__ndwi__post_winter_baseline,274.3336631469494,3.711981012047263e-58,True,5
s2__qa__cloud_freq__postbattle,254.19822332215256,8.111539153351311e-54,True,5
s2__composite__b04__post_winter_baseline,248.40897075152316,1.433168523245516e-52,True,5
s2__composite__b03__post_winter_baseline,240.2162958121107,8.334268645799713e-51,True,5
s2__composite__b03__winter_baseline,213.3186487481128,5.134470120277095e-45,True,5
s2__composite__b03__prebattle_baseline,213.3186487481128,5.134470120277095e-45,True,5
s2__composite__ndvi__winter_baseline,203.4431242284623,6.83201007960492e-43,True,5
s2__composite__ndvi__prebattle_baseline,203.4431242284623,6.83201007960492e-43,True,5
s2__composite__b04__prebattle_baseline,196.38294424360842,2.2514371261049053e-41,True,5
s2__composite__b04__winter_baseline,196.38294424360842,2.2514371261049053e-41,True,5
s2__composite__ndwi__winter_baseline,195.47813432512783,3.5233150978483547e-41,True,5
s2__composite__ndwi__prebattle_baseline,195.47813432512783,3.5233150978483547e-41,True,5
s2__composite__cire__winter_baseline,194.83350570827346,4.847421920172333e-41,True,5
s2__composite__cire__prebattle_baseline,194.83350570827346,4.847421920172333e-41,True,5
s2__composite__ndre__winter_baseline,174.3848223320443,1.1974246192327032e-36,True,5
s2__composite__ndre__prebattle_baseline,174.3848223320443,1.1974246192327032e-36,True,5
s2__composite__mndwi__post_winter_baseline,167.3786563789187,3.8195769241716245e-35,True,5
s2__visibility__cloud__freq__postbattle,147.95912520169077,5.572205074541108e-31,True,5
s2__composite__b05__post_winter_baseline,145.17242501665848,2.202951296192331e-30,True,5
s2__visibility__clear__freq__crossbattle,138.62984093455944,5.545746545737313e-29,True,5
s2__visibility__fire__freq__crossbattle,119.68418167293176,6.2389900688023715e-25,True,5
s2__composite__b12__prebattle_baseline,106.38988158074193,4.28242233765088e-22,True,5
s2__composite__b12__winter_baseline,106.38988158074193,4.28242233765088e-22,True,5
s2__composite__b12__post_winter_baseline,104.10184494464661,1.3160261903596216e-21,True,5
s2__composite__mndwi__prebattle_baseline,102.62899180675092,2.710314149481172e-21,True,5
s2__composite__mndwi__winter_baseline,102.62899180675092,2.710314149481172e-21,True,5
s2__composite__b11__post_winter_baseline,95.99080396026741,7.014828995747805e-20,True,5
s2__visibility__clear__freq__postbattle,93.00438435764532,3.0273887496777166e-19,True,5
s2__composite__b05__winter_baseline,91.72166989830836,5.671559185740532e-19,True,5
s2__composite__b05__prebattle_baseline,91.72166989830836,5.671559185740532e-19,True,5
s2__composite__ndre__delta,75.27027401384098,1.7468279366679632e-15,True,5
s2__composite__b8a__post_winter_baseline,70.64580258821185,1.6582095563984964e-14,True,5
s2__composite__b11__prebattle_baseline,70.48552724834063,1.79260060055249e-14,True,5
s2__composite__b11__winter_baseline,70.48552724834063,1.79260060055249e-14,True,5
s2__composite__b07__post_winter_baseline,62.806227545316254,7.453971357928601e-13,True,5
s2__composite__b12__delta,62.55927465438029,8.401459912490154e-13,True,5
s2__composite__b08__post_winter_baseline,46.52521037271723,1.9147688960200615e-09,True,5
s2__composite__b11__delta,40.4953828317569,3.418622110721178e-08,True,5
s2__composite__b8a__winter_baseline,38.4500242686744,9.048406569369053e-08,True,5
s2__composite__b8a__prebattle_baseline,38.4500242686744,9.048406569369053e-08,True,5
s2__composite__ndbi__prebattle_baseline,37.159661132156664,1.6699022111674917e-07,True,5
s2__composite__ndbi__winter_baseline,37.159661132156664,1.6699022111674917e-07,True,5
s2__composite__ndbi__post_winter_baseline,36.84384656037329,1.93978058232816e-07,True,5
s2__composite__b07__prebattle_baseline,34.78646911969144,5.138925449782662e-07,True,5
s2__composite__b07__winter_baseline,34.78646911969144,5.138925449782662e-07,True,5
s2__composite__mndwi__delta,31.71308595332199,2.1895728298728316e-06,True,5
s2__composite__ndvi__delta,27.014678201003942,1.9743535547211128e-05,True,5
s2__composite__b08__winter_baseline,23.042445500092228,0.00012417760417196273,True,5
s2__composite__b08__prebattle_baseline,23.042445500092228,0.00012417760417196273,True,5
s2__visibility__cloud__freq__crossbattle,22.3628906802022,0.0001696910003514585,True,5
s2__composite__cire__delta,20.94942633683522,0.00032406468760447476,True,5
s2__qa__cloud_freq__crossbattle,19.23205940636009,0.0007075766407321179,True,5
s2__composite__b02__delta,16.559690782918896,0.0023531498062399053,True,5
s2__composite__b8a__delta,13.990100155919086,0.00732671905721894,True,5
s2__composite__ndwi__delta,13.697537237240857,0.008325668358785687,True,5
s2__composite__b08__delta,13.23812225587639,0.010169034826705036,True,5
s2__qa__cloud_freq__prebattle,10.892021226958692,0.02780472847929818,True,5
s2__composite__b07__delta,10.09375351524006,0.03887768445802787,True,5
s2__composite__b03__delta,8.635049675264025,0.07089772746568933,False,5
s2__visibility__clear__freq__prebattle,7.873153618930184,0.09633682138754367,False,5
s2__composite__b05__delta,6.956787503343946,0.13818950556514603,False,5
s2__visibility__cloud__freq__prebattle,6.3739087321160435,0.1729105659398303,False,5
s2__visibility__smoke__freq__postbattle,5.265333330406441,0.2611397255130082,False,5
s2__composite__ndbi__delta,4.897143672229736,0.29801494243832494,False,5
